Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2023-2024,1,2023-08-11,Almería,Rayo Vallecano,0,2,0.0
2023-2024,1,2023-08-11,Sevilla,Valencia,1,2,0.0
2023-2024,1,2023-08-12,Real Sociedad,Girona,1,1,0.5
2023-2024,1,2023-08-12,Las Palmas,Mallorca,1,1,0.5
2023-2024,1,2023-08-12,Athletic Club,Real Madrid,0,2,0.0
2023-2024,1,2023-08-13,Celta Vigo,Osasuna,0,2,0.0
2023-2024,1,2023-08-13,Villarreal,Betis,1,2,0.0
2023-2024,1,2023-08-13,Getafe,Barcelona,0,0,0.5
2023-2024,1,2023-08-14,Cádiz,Alavés,1,0,1.0
2023-2024,1,2023-08-14,Atlético Madrid,Granada,3,1,1.0
2023-2024,2,2023-08-18,Mallorca,Villarreal,0,1,0.0
2023-2024,2,2023-08-18,Valencia,Las Palmas,1,0,1.0
2023-2024,2,2023-08-19,Real Sociedad,Celta Vigo,1,1,0.5
2023-2024,2,2023-08-19,Almería,Real Madrid,1,3,0.0
2023-2024,2,2023-08-19,Osasuna,Athletic Club,0,2,0.0
2023-2024,2,2023-08-20,Girona,Getafe,3,0,1.0
2023-2024,2,2023-08-20,Barcelona,Cádiz,2,0,1.0
2023-2024,2,2023-08-20,Betis,Atlético Madrid,0,0,0.5
2023-2024,2,2023-08-21,Alavés,Sevilla,4,3,1.0
2023-2024,2,2023-08-21,Granada,Rayo Vallecano,0,2,0.0
2023-2024,3,2023-08-25,Las Palmas,Real Sociedad,0,0,0.5
2023-2024,3,2023-08-25,Celta Vigo,Real Madrid,0,1,0.0
2023-2024,3,2023-08-26,Cádiz,Almería,1,1,0.5
2023-2024,3,2023-08-26,Granada,Mallorca,3,2,1.0
2023-2024,3,2023-08-26,Sevilla,Girona,1,2,0.0
2023-2024,3,2023-08-27,Villarreal,Barcelona,3,4,0.0
2023-2024,3,2023-08-27,Valencia,Osasuna,1,2,0.0
2023-2024,3,2023-08-27,Athletic Club,Betis,4,2,1.0
2023-2024,3,2023-08-28,Getafe,Alavés,1,0,1.0
2023-2024,3,2023-08-28,Rayo Vallecano,Atlético Madrid,0,7,0.0
2023-2024,4,2023-09-01,Cádiz,Villarreal,3,1,1.0
2023-2024,4,2023-09-01,Almería,Celta Vigo,2,3,0.0
2023-2024,4,2023-09-02,Real Sociedad,Granada,5,3,1.0
2023-2024,4,2023-09-02,Real Madrid,Getafe,2,1,1.0
2023-2024,4,2023-09-02,Alavés,Valencia,1,0,1.0
2023-2024,4,2023-09-02,Betis,Rayo Vallecano,1,0,1.0
2023-2024,4,2023-09-03,Girona,Las Palmas,1,0,1.0
2023-2024,4,2023-09-03,Mallorca,Athletic Club,0,0,0.5
2023-2024,4,2023-09-03,Osasuna,Barcelona,1,2,0.0
2023-2024,5,2023-09-15,Rayo Vallecano,Alavés,2,0,1.0
2023-2024,5,2023-09-16,Athletic Club,Cádiz,3,0,1.0
2023-2024,5,2023-09-16,Valencia,Atlético Madrid,3,0,1.0
2023-2024,5,2023-09-16,Celta Vigo,Mallorca,0,1,0.0
2023-2024,5,2023-09-16,Barcelona,Betis,5,0,1.0
2023-2024,5,2023-09-17,Getafe,Osasuna,3,2,1.0
2023-2024,5,2023-09-17,Villarreal,Almería,2,1,1.0
2023-2024,5,2023-09-17,Sevilla,Las Palmas,1,0,1.0
2023-2024,5,2023-09-17,Real Madrid,Real Sociedad,2,1,1.0
2023-2024,5,2023-09-18,Granada,Girona,2,4,0.0
2023-2024,6,2023-09-22,Alavés,Athletic Club,0,2,0.0
2023-2024,6,2023-09-23,Girona,Mallorca,5,3,1.0
2023-2024,6,2023-09-23,Osasuna,Sevilla,0,0,0.5
2023-2024,6,2023-09-23,Barcelona,Celta Vigo,3,2,1.0
2023-2024,6,2023-09-23,Almería,Valencia,2,2,0.5
2023-2024,6,2023-09-24,Real Sociedad,Getafe,4,3,1.0
2023-2024,6,2023-09-24,Rayo Vallecano,Villarreal,1,1,0.5
2023-2024,6,2023-09-24,Las Palmas,Granada,1,0,1.0
2023-2024,6,2023-09-24,Betis,Cádiz,1,1,0.5
2023-2024,6,2023-09-24,Atlético Madrid,Real Madrid,3,1,1.0
2023-2024,7,2023-09-26,Sevilla,Almería,5,1,1.0
2023-2024,7,2023-09-26,Mallorca,Barcelona,2,2,0.5
2023-2024,7,2023-09-27,Athletic Club,Getafe,2,2,0.5
2023-2024,7,2023-09-27,Real Madrid,Las Palmas,2,0,1.0
2023-2024,7,2023-09-27,Villarreal,Girona,1,2,0.0
2023-2024,7,2023-09-27,Cádiz,Rayo Vallecano,0,0,0.5
2023-2024,7,2023-09-27,Valencia,Real Sociedad,0,1,0.0
2023-2024,7,2023-09-28,Celta Vigo,Alavés,1,1,0.5
2023-2024,7,2023-09-28,Granada,Betis,1,1,0.5
2023-2024,7,2023-09-28,Osasuna,Atlético Madrid,0,2,0.0
2023-2024,8,2023-09-29,Barcelona,Sevilla,1,0,1.0
2023-2024,8,2023-09-30,Getafe,Villarreal,0,0,0.5
2023-2024,8,2023-09-30,Rayo Vallecano,Mallorca,2,2,0.5
2023-2024,8,2023-09-30,Girona,Real Madrid,0,3,0.0
