,Jugadores,F. Nacim./Edad,Valor de mercado,Temporada,Valor de mercado (num),League,Team
0,Marc-André ter Stegen Portero,30/04/1992 (26),"60,00 mill. €",2017/2018,60000000.0,laliga,fc-barcelona
3,Jasper Cillessen Portero,22/04/1989 (29),"9,00 mill. €",2017/2018,9000000.0,laliga,fc-barcelona
6,Adrián Ortolá Portero,20/08/1993 (24),"1,50 mill. €",2017/2018,1500000.0,laliga,fc-barcelona
9,Samuel Umtiti Defensa central,14/11/1993 (24),"60,00 mill. €",2017/2018,60000000.0,laliga,fc-barcelona
12,Gerard Piqué Defensa central,02/02/1987 (31),"50,00 mill. €",2017/2018,50000000.0,laliga,fc-barcelona
15,Yerry Mina Defensa central,23/09/1994 (23),"9,00 mill. €",2017/2018,9000000.0,laliga,fc-barcelona
18,Thomas Vermaelen Defensa central,14/11/1985 (32),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
21,David Costas Defensa central,26/03/1995 (23),"3,50 mill. €",2017/2018,3500000.0,laliga,fc-barcelona
24,Jordi Alba Lateral izquierdo,21/03/1989 (29),"60,00 mill. €",2017/2018,60000000.0,laliga,fc-barcelona
27,Lucas Digne Lateral izquierdo,20/07/1993 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
30,Marc Cucurella Lateral izquierdo,22/07/1998 (19),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
33,Nélson Semedo Lateral derecho,16/11/1993 (24),"30,00 mill. €",2017/2018,30000000.0,laliga,fc-barcelona
36,Sergio Busquets Pivote,16/07/1988 (29),"80,00 mill. €",2017/2018,80000000.0,laliga,fc-barcelona
39,Javier Mascherano Pivote,08/06/1984 (34),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
42,Uri Busquets Pivote,20/01/1999 (19),"2,50 mill. €",2017/2018,2500000.0,laliga,fc-barcelona
45,Sergi Roberto Mediocentro,07/02/1992 (26),"55,00 mill. €",2017/2018,55000000.0,laliga,fc-barcelona
48,Ivan Rakitic Mediocentro,10/03/1988 (30),"50,00 mill. €",2017/2018,50000000.0,laliga,fc-barcelona
51,Paulinho Mediocentro,25/07/1988 (29),"40,00 mill. €",2017/2018,40000000.0,laliga,fc-barcelona
54,André Gomes Mediocentro,30/07/1993 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
57,Andrés Iniesta Mediocentro,11/05/1984 (34),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-barcelona
60,Carles Aleñá Mediocentro,05/01/1998 (20),"10,00 mill. €",2017/2018,10000000.0,laliga,fc-barcelona
63,Philippe Coutinho Mediocentro ofensivo,12/06/1992 (26),"100,00 mill. €",2017/2018,100000000.0,laliga,fc-barcelona
66,Rafinha Mediocentro ofensivo,12/02/1993 (25),"28,00 mill. €",2017/2018,28000000.0,laliga,fc-barcelona
69,Denis Suárez Mediocentro ofensivo,06/01/1994 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
72,José Manuel Arnáiz Extremo izquierdo,15/04/1995 (23),"5,00 mill. €",2017/2018,5000000.0,laliga,fc-barcelona
75,Arda Turan Extremo izquierdo,30/01/1987 (31),"4,00 mill. €",2017/2018,4000000.0,laliga,fc-barcelona
78,Lionel Messi Extremo derecho,24/06/1987 (31),"180,00 mill. €",2017/2018,180000000.0,laliga,fc-barcelona
81,Ousmane Dembélé Extremo derecho,15/05/1997 (21),"80,00 mill. €",2017/2018,80000000.0,laliga,fc-barcelona
84,Aleix Vidal Extremo derecho,21/08/1989 (28),"7,50 mill. €",2017/2018,7500000.0,laliga,fc-barcelona
87,Luis Suárez Delantero centro,24/01/1987 (31),"70,00 mill. €",2017/2018,70000000.0,laliga,fc-barcelona
90,Paco Alcácer Delantero centro,30/08/1993 (24),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-barcelona
93,Gerard Deulofeu Delantero centro,13/03/1994 (24),"14,00 mill. €",2017/2018,14000000.0,laliga,fc-barcelona
0,Keylor Navas Portero,15/12/1986 (31),"18,00 mill. €",2017/2018,18000000.0,laliga,real-madrid
3,Kiko Casilla Portero,02/10/1986 (31),"6,00 mill. €",2017/2018,6000000.0,laliga,real-madrid
6,Luca Zidane Portero,13/05/1998 (20),300 mil €,2017/2018,300000.0,laliga,real-madrid
9,Moha Ramos Portero,13/04/2000 (18),-,2017/2018,0.0,laliga,real-madrid
12,Raphaël Varane Defensa central,25/04/1993 (25),"70,00 mill. €",2017/2018,70000000.0,laliga,real-madrid
15,Sergio Ramos Defensa central,30/03/1986 (32),"45,00 mill. €",2017/2018,45000000.0,laliga,real-madrid
18,Nacho Fernández Defensa central,18/01/1990 (28),"30,00 mill. €",2017/2018,30000000.0,laliga,real-madrid
21,Jesús Vallejo Defensa central,05/01/1997 (21),"12,00 mill. €",2017/2018,12000000.0,laliga,real-madrid
24,Manu Hernando Defensa central,19/07/1998 (19),200 mil €,2017/2018,200000.0,laliga,real-madrid
27,Marcelo Lateral izquierdo,12/05/1988 (30),"60,00 mill. €",2017/2018,60000000.0,laliga,real-madrid
30,Theo Hernández Lateral izquierdo,06/10/1997 (20),"15,00 mill. €",2017/2018,15000000.0,laliga,real-madrid
33,Luismi Quezada Lateral izquierdo,11/02/1996 (22),300 mil €,2017/2018,300000.0,laliga,real-madrid
36,Daniel Carvajal Lateral derecho,11/01/1992 (26),"60,00 mill. €",2017/2018,60000000.0,laliga,real-madrid
39,Lucas Vázquez Lateral derecho,01/07/1991 (26),"25,00 mill. €",2017/2018,25000000.0,laliga,real-madrid
42,Achraf Hakimi Lateral derecho,04/11/1998 (19),"5,00 mill. €",2017/2018,5000000.0,laliga,real-madrid
45,Álvaro Tejero Lateral derecho,20/07/1996 (21),300 mil €,2017/2018,300000.0,laliga,real-madrid
48,Casemiro Pivote,23/02/1992 (26),"60,00 mill. €",2017/2018,60000000.0,laliga,real-madrid
51,Toni Kroos Mediocentro,04/01/1990 (28),"80,00 mill. €",2017/2018,80000000.0,laliga,real-madrid
54,Mateo Kovacic Mediocentro,06/05/1994 (24),"30,00 mill. €",2017/2018,30000000.0,laliga,real-madrid
57,Luka Modric Mediocentro,09/09/1985 (32),"25,00 mill. €",2017/2018,25000000.0,laliga,real-madrid
60,Dani Ceballos Mediocentro,07/08/1996 (21),"12,00 mill. €",2017/2018,12000000.0,laliga,real-madrid
63,Jaime Seoane Mediocentro,22/01/1997 (21),250 mil €,2017/2018,250000.0,laliga,real-madrid
66,Marcos Llorente Interior derecho,30/01/1995 (23),"12,00 mill. €",2017/2018,12000000.0,laliga,real-madrid
69,Isco Mediocentro ofensivo,21/04/1992 (26),"75,00 mill. €",2017/2018,75000000.0,laliga,real-madrid
72,Óscar Rodríguez Mediocentro ofensivo,28/06/1998 (20),800 mil €,2017/2018,800000.0,laliga,real-madrid
75,Gareth Bale Extremo derecho,16/07/1989 (28),"90,00 mill. €",2017/2018,90000000.0,laliga,real-madrid
78,Marco Asensio Extremo derecho,21/01/1996 (22),"75,00 mill. €",2017/2018,75000000.0,laliga,real-madrid
81,Franchu Extremo derecho,12/05/1998 (20),200 mil €,2017/2018,200000.0,laliga,real-madrid
84,Cristo Mediapunta,24/10/1997 (20),500 mil €,2017/2018,500000.0,laliga,real-madrid
87,Cristiano Ronaldo Delantero centro,05/02/1985 (33),"100,00 mill. €",2017/2018,100000000.0,laliga,real-madrid
90,Karim Benzema Delantero centro,19/12/1987 (30),"40,00 mill. €",2017/2018,40000000.0,laliga,real-madrid
93,Borja Mayoral Delantero centro,05/04/1997 (21),"7,50 mill. €",2017/2018,7500000.0,laliga,real-madrid
0,Jan Oblak Portero,07/01/1993 (25),"70,00 mill. €",2017/2018,70000000.0,laliga,atletico-madrid
3,Miguel Ángel Moyá Portero,02/04/1984 (34),"2,00 mill. €",2017/2018,2000000.0,laliga,atletico-madrid
6,Axel Werner Portero,28/02/1996 (22),"1,00 mill. €",2017/2018,1000000.0,laliga,atletico-madrid
9,Miguel San Román Portero,14/07/1997 (20),250 mil €,2017/2018,250000.0,laliga,atletico-madrid
12,Álex dos Santos Portero,15/01/1999 (19),-,2017/2018,0.0,laliga,atletico-madrid
15,José María Giménez Defensa central,20/01/1995 (23),"45,00 mill. €",2017/2018,45000000.0,laliga,atletico-madrid
18,Stefan Savic Defensa central,08/01/1991 (27),"40,00 mill. €",2017/2018,40000000.0,laliga,atletico-madrid
21,Diego Godín Defensa central,16/02/1986 (32),"35,00 mill. €",2017/2018,35000000.0,laliga,atletico-madrid
24,Antonio Montoro Defensa central,10/05/1997 (21),300 mil €,2017/2018,300000.0,laliga,atletico-madrid
27,Lucas Hernández Lateral izquierdo,14/02/1996 (22),"35,00 mill. €",2017/2018,35000000.0,laliga,atletico-madrid
30,Filipe Luís Lateral izquierdo,09/08/1985 (32),"8,00 mill. €",2017/2018,8000000.0,laliga,atletico-madrid
33,Sergi González Lateral izquierdo,26/05/1995 (23),300 mil €,2017/2018,300000.0,laliga,atletico-madrid
36,Sime Vrsaljko Lateral derecho,10/01/1992 (26),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
39,Juanfran Torres Lateral derecho,09/01/1985 (33),"5,00 mill. €",2017/2018,5000000.0,laliga,atletico-madrid
42,Carlos Isaac Lateral derecho,30/04/1998 (20),200 mil €,2017/2018,200000.0,laliga,atletico-madrid
45,Thomas Partey Pivote,13/06/1993 (25),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
48,Koke Mediocentro,08/01/1992 (26),"70,00 mill. €",2017/2018,70000000.0,laliga,atletico-madrid
51,Saúl Ñíguez Mediocentro,21/11/1994 (23),"70,00 mill. €",2017/2018,70000000.0,laliga,atletico-madrid
54,Gabi Mediocentro,10/07/1983 (34),"3,00 mill. €",2017/2018,3000000.0,laliga,atletico-madrid
57,Augusto Fernández Mediocentro,10/04/1986 (32),"2,50 mill. €",2017/2018,2500000.0,laliga,atletico-madrid
60,Keidi Bare Mediocentro,28/08/1997 (20),500 mil €,2017/2018,500000.0,laliga,atletico-madrid
63,Toni Moya Mediocentro,20/03/1998 (20),300 mil €,2017/2018,300000.0,laliga,atletico-madrid
66,Roberto Olabe Mediocentro,05/05/1996 (22),250 mil €,2017/2018,250000.0,laliga,atletico-madrid
69,Nico Gaitán Mediocentro ofensivo,23/02/1988 (30),"8,00 mill. €",2017/2018,8000000.0,laliga,atletico-madrid
72,Yannick Carrasco Extremo izquierdo,04/09/1993 (24),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
75,Vitolo Extremo izquierdo,02/11/1989 (28),"25,00 mill. €",2017/2018,25000000.0,laliga,atletico-madrid
78,Ángel Correa Extremo derecho,09/03/1995 (23),"24,00 mill. €",2017/2018,24000000.0,laliga,atletico-madrid
81,Arona Sané Extremo derecho,21/06/1995 (23),250 mil €,2017/2018,250000.0,laliga,atletico-madrid
84,Juan Moreno Extremo derecho,11/05/1997 (21),100 mil €,2017/2018,100000.0,laliga,atletico-madrid
87,Juan Agüero Extremo derecho,27/05/1999 (19),-,2017/2018,0.0,laliga,atletico-madrid
90,Antoine Griezmann Delantero centro,21/03/1991 (27),"100,00 mill. €",2017/2018,100000000.0,laliga,atletico-madrid
93,Diego Costa Delantero centro,07/10/1988 (29),"60,00 mill. €",2017/2018,60000000.0,laliga,atletico-madrid
96,Kévin Gameiro Delantero centro,09/05/1987 (31),"20,00 mill. €",2017/2018,20000000.0,laliga,atletico-madrid
99,Luciano Vietto Delantero centro,05/12/1993 (24),"6,00 mill. €",2017/2018,6000000.0,laliga,atletico-madrid
102,Fernando Torres Delantero centro,20/03/1984 (34),"4,00 mill. €",2017/2018,4000000.0,laliga,atletico-madrid
105,Alberto Ródenas Delantero centro,26/09/1998 (19),200 mil €,2017/2018,200000.0,laliga,atletico-madrid
0,Neto Portero,19/07/1989 (28),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-valencia
3,Jaume Doménech Portero,05/11/1990 (27),"2,50 mill. €",2017/2018,2500000.0,laliga,fc-valencia
6,Cristian Rivero Portero,21/03/1998 (20),250 mil €,2017/2018,250000.0,laliga,fc-valencia
9,Gabriel Paulista Defensa central,26/11/1990 (27),"20,00 mill. €",2017/2018,20000000.0,laliga,fc-valencia
12,Jeison Murillo Defensa central,27/05/1992 (26),"15,00 mill. €",2017/2018,15000000.0,laliga,fc-valencia
