Place,2022,Country,Confederation,Points
1,5,Italy,UEFA,1619.5
2,2,England,UEFA,1567
3,3,Spain,UEFA,1447
4,1,Brazil,CONMEBOL,1290.5
5,4,Germany,UEFA,1282.75
6,6,France,UEFA,1143.25
7,7,Portugal,UEFA,1097
8,8,Netherlands,UEFA,1049.75
9,14,Belgium,UEFA,1004.75
10,9,Argentina,CONMEBOL,966.5
11,12,Colombia,CONMEBOL,877.5
12,15,Turkey,UEFA,838.25
13,10,Paraguay,CONMEBOL,802
14,22,Czech Republic,UEFA,784.25
15,25,Greece,UEFA,762.75
16,21,Scotland,UEFA,691.75
17,11,Ecuador,CONMEBOL,675.5
18,19,Roumania,UEFA,668.5
19,27,Denmark,UEFA,657.25
20,13,Egypt,CAF,633.5
21,23,Israel,UEFA,622.75
22,29,Croatia,UEFA,620
23,28,Austria,UEFA,612.75
24,73,Ukraine,UEFA,609.25
25,17,Serbia,UEFA,608
26,45,Poland,UEFA,561.25
27,16,Uruguay,CONMEBOL,551
28,24,Morocco,CAF,540.5
29,49,Switzerland,UEFA,508.75
30,47,Bulgaria,UEFA,498.5
31,18,Korea Republic,AFC,484.5
32,38,Cyprus,UEFA,482
33,40,Saudi Arabia,AFC,479.5
34,35,Peru,CONMEBOL,472.5
35,32,Norway,UEFA,472.5
36,26,Mexico,CONCACAF,470
37,34,Chile,CONMEBOL,464
38,50,Northern Ireland,UEFA,445.5
39,30,Japan,AFC,438.5
40,41,Azerbaijan,UEFA,429.75
41,66,Albania,UEFA,410.5
42,61,Slovenia,UEFA,408.75
43,56,Kosovo,UEFA,402.75
44,20,Algeria,CAF,390.5
45,55,Armenia,UEFA,388
46,46,Latvia,UEFA,386.25
47,62,Slovakia,UEFA,383.5
48,54,Hungary,UEFA,382.75
49,53,Republic of Ireland,UEFA,381
50,37,Costa Rica,CONCACAF,376.5
51,71,Bosnia and Herzegovina,UEFA,374.5
52,68,Tunisia,CAF,373.75
53,65,Georgia,UEFA,372.25
54,44,Sweden,UEFA,368.5
55,51,Lithuania,UEFA,361.75
56,69,Faroe Islands,UEFA,353
57,58,Estonia,UEFA,350.25
58,78,Belarus,UEFA,348.5
59,80,Russia,UEFA,345.5
60,75,North Macedonia,UEFA,337.25
61,31,Bolivia,CONMEBOL,332
62,52,South Africa,CAF,331.25
63,43,USA,CONCACAF,319.5
64,39,Tanzania,CAF,309
65,76,Finland,UEFA,302.5
66,47,Venezuela,CONMEBOL,281
67,57,Uzbekistan,AFC,280.5
68,63,Iran,AFC,268.5
69,69,Moldova,UEFA,262.5
70,64,United Arab Emirates,AFC,260
71,36,Honduras,CONCACAF,254.5
72,59,Nicaragua,CONCACAF,252.5
73,77,Nigeria,CAF,249.25
74,74,China,AFC,246.5
75,67,Qatar,AFC,244.5
76,71,Thailand,AFC,241.5
77,42,Guatemala,CONCACAF,229.5
78,60,Angola,CAF,221.5
79,92,Luxemburg,UEFA,205.25
80,95,Iraq,AFC,205
81,79,Zambia,CAF,203.25
82,132,Kazakhstan,UEFA,197.75
83,90,Iceland,UEFA,193.25
84,104,Montenegro,UEFA,186.25
85,108,San Marino,UEFA,181.25
86,85,Côte d'Ivoire,CAF,181
87,84,Malaysia,AFC,176
88,81,Congo DR,CAF,175
89,96,Wales,UEFA,174.25
90,87,Australia,AFC,168
91,115,Ghana,CAF,152.5
92,105,Jamaica,CONCACAF,151.5
93,88,Malta,UEFA,151.25
94,89,Indonesia,AFC,148.75
95,98,Mali,CAF,144.25
96,112,Andorra,UEFA,139
97,33,Sudan,CAF,135
98,110,Turkmenistan,AFC,128
99,120,Kuwait,AFC,128
100,103,Botswana,CAF,125.5
