date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result,competition,homecountry_name,awaycountry_name
1990-09-18,Odense,Real Madrid,dk,es,1.0,4.0,0.0,champions,denmark,spain
1990-09-18,Hibernians FC,Partizan,mt,rs,0.0,3.0,0.0,europa,malta,serbia
1990-09-18,Glenavon FC,Bordeaux,nir,fr,0.0,0.0,0.5,europa,northern ireland,france
1990-09-18,Sporting CP,Mechelen,pt,be,1.0,0.0,1.0,europa,portugal,belgium
1990-09-18,Dortmund,Chemnitzer,de,de,2.0,0.0,1.0,europa,germany,germany
1990-09-18,Roda JC Kerkrade,Monaco,nl,fr,1.0,3.0,0.0,europa,netherlands,france
1990-09-18,FC Avenir Beggen,Inter Bratislava,lu,sk,2.0,1.0,1.0,europa,luxembourg,slovakia
1990-09-18,FH,Dundee United,is,sct,1.0,3.0,0.0,europa,iceland,scotland
1990-09-19,Malmö,Beşiktaş,se,tr,3.0,2.0,1.0,champions,sweden,turkey
1990-09-19,Marseille,KS Dinamo Tirana,fr,al,5.0,1.0,1.0,champions,france,albania
1990-09-19,Chornomorets Odesa,Rosenborg,ua,no,3.0,1.0,1.0,europa,ukraine,norway
1990-09-19,Vejle BK,Admira Wacker Mödling,dk,at,0.0,1.0,0.0,europa,denmark,austria
1990-09-19,Rapid Wien,Inter,at,it,2.0,1.0,1.0,europa,austria,italy
1990-09-19,Leverkusen,Twente,de,nl,1.0,0.0,1.0,europa,germany,netherlands
1990-09-19,Slavia Sofia,AC Omonia,bg,cy,2.0,1.0,1.0,europa,bulgaria,cyprus
1990-09-19,Roma,Benfica,it,pt,1.0,0.0,1.0,europa,italy,portugal
1990-09-19,Katowice,TPS,pl,fi,3.0,0.0,1.0,europa,poland,finland
1990-09-19,Aston Villa,Baník Ostrava,eng,cz,3.0,1.0,1.0,europa,england,czech republic
1990-09-19,Iraklis Thessaloniki,Valencia,gr,es,0.0,0.0,0.5,europa,greece,spain
1990-09-19,Partizani Tirana,U Craiova,al,ro,0.0,1.0,0.0,europa,albania,romania
1990-09-19,Brøndby,Eint Frankfurt,dk,de,5.0,0.0,1.0,europa,denmark,germany
1990-09-19,Lausanne-Sport,Real Sociedad,ch,es,3.0,2.0,1.0,europa,switzerland,spain
1990-09-19,Lillestrøm,Club Brugge,no,be,1.0,1.0,0.5,champions,norway,belgium
1990-09-19,Fenerbahçe,Vitória Guimarães,tr,pt,3.0,0.0,1.0,europa,turkey,portugal
1990-09-19,Norrköping,Köln,se,de,0.0,0.0,0.5,europa,sweden,germany
1990-09-19,Derry City FC,Vitesse,ie,nl,0.0,1.0,0.0,europa,ireland,netherlands
1990-09-19,FC Dnipro,Hearts,ua,sct,1.0,1.0,0.5,europa,ukraine,scotland
1990-09-19,Atalanta,Dinamo Zagreb,it,hr,0.0,0.0,0.5,europa,italy,croatia
1990-09-19,Magdeburg,RoPS,de,fi,0.0,0.0,0.5,europa,germany,finland
1990-09-19,Politehnica Timișoara,Atlético Madrid,ro,es,2.0,0.0,1.0,europa,romania,spain
1990-09-19,Sevilla,PAOK,es,gr,0.0,0.0,0.5,europa,spain,greece
1990-09-19,MTK Budapest,Luzern,hu,ch,1.0,1.0,0.5,europa,hungary,switzerland
1990-09-19,Zagłębie Lubin,Bologna,pl,it,0.0,1.0,0.0,europa,poland,italy
1990-09-19,Torpedo Moscow,GAIS,ru,se,4.0,1.0,1.0,europa,russia,sweden
1990-09-19,Porto,Portadown FC,pt,nir,5.0,0.0,1.0,champions,portugal,northern ireland
1990-09-19,Valletta FC,Rangers,mt,sct,0.0,4.0,0.0,champions,malta,scotland
1990-09-19,Dinamo București,St Patrick's Athletic FC,ro,ie,4.0,0.0,1.0,champions,romania,ireland
1990-09-19,Anderlecht,Petrolul Ploiești,be,ro,2.0,0.0,1.0,europa,belgium,romania
1990-09-19,FC Tirol Innsbruck,Lahti,at,fi,5.0,0.0,1.0,champions,austria,finland
1990-09-19,Knattspyrnufélag Akureyrar,CSKA Sofia,is,bg,1.0,0.0,1.0,champions,iceland,bulgaria
1990-09-19,Napoli,Újpest,it,hu,3.0,0.0,1.0,champions,italy,hungary
1990-09-19,Red Star,Grasshopper,rs,ch,1.0,1.0,0.5,champions,serbia,switzerland
1990-09-19,APOEL FC,Bayern Munich,cy,de,2.0,3.0,0.0,champions,cyprus,germany
1990-09-19,Union Luxembourg,Dresden,lu,de,1.0,3.0,0.0,champions,luxembourg,germany
1990-09-19,Sparta Prague,Spartak Moscow,cz,ru,0.0,2.0,0.0,champions,czech republic,russia
1990-09-19,Lech Poznań,Panathinaikos,pl,gr,3.0,0.0,1.0,champions,poland,greece
