date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
1990-09-18,Odense,Real Madrid,dk,es,1.0,4.0,1.0
1990-09-19,Knattspyrnufélag Akureyrar,CSKA Sofia,is,bg,1.0,0.0,0.0
1990-09-19,Marseille,KS Dinamo Tirana,fr,al,5.0,1.0,0.0
1990-09-19,Dinamo București,St Patrick's Athletic FC,ro,ie,4.0,0.0,0.0
1990-09-19,Valletta FC,Rangers,mt,sct,0.0,4.0,1.0
1990-09-19,Porto,Portadown FC,pt,nir,5.0,0.0,0.0
1990-09-19,Lillestrøm,Club Brugge,no,be,1.0,1.0,0.5
1990-09-19,FC Tirol Innsbruck,Lahti,at,fi,5.0,0.0,0.0
1990-09-19,Malmö,Beşiktaş,se,tr,3.0,2.0,0.0
1990-09-19,Lech Poznań,Panathinaikos,pl,gr,3.0,0.0,0.0
1990-09-19,Sparta Prague,Spartak Moscow,cz,ru,0.0,2.0,1.0
1990-09-19,Union Luxembourg,Dresden,lu,de,1.0,3.0,1.0
1990-09-19,APOEL FC,Bayern Munich,cy,de,2.0,3.0,1.0
1990-09-19,Red Star,Grasshopper,rs,ch,1.0,1.0,0.5
1990-09-19,Napoli,Újpest,it,hu,3.0,0.0,0.0
1990-10-02,Real Madrid,Odense,es,dk,6.0,0.0,0.0
1990-10-03,Dresden,Union Luxembourg,de,lu,3.0,0.0,0.0
1990-10-03,Bayern Munich,APOEL FC,de,cy,4.0,0.0,0.0
1990-10-03,Újpest,Napoli,hu,it,0.0,2.0,1.0
1990-10-03,Beşiktaş,Malmö,tr,se,2.0,2.0,0.5
1990-10-03,CSKA Sofia,Knattspyrnufélag Akureyrar,bg,is,3.0,0.0,0.0
1990-10-03,Portadown FC,Porto,nir,pt,1.0,8.0,1.0
1990-10-03,Grasshopper,Red Star,ch,rs,1.0,4.0,1.0
1990-10-03,Lahti,FC Tirol Innsbruck,fi,at,1.0,2.0,1.0
1990-10-03,St Patrick's Athletic FC,Dinamo București,ie,ro,1.0,1.0,0.5
1990-10-03,Spartak Moscow,Sparta Prague,ru,cz,2.0,0.0,0.0
1990-10-03,KS Dinamo Tirana,Marseille,al,fr,0.0,0.0,0.5
1990-10-03,Panathinaikos,Lech Poznań,gr,pl,1.0,2.0,1.0
1990-10-03,Rangers,Valletta FC,sct,mt,6.0,0.0,0.0
1990-10-03,Club Brugge,Lillestrøm,be,no,2.0,0.0,0.0
1990-10-23,Bayern Munich,CSKA Sofia,de,bg,4.0,0.0,0.0
1990-10-24,Milan,Club Brugge,it,be,0.0,0.0,0.5
1990-10-24,Napoli,Spartak Moscow,it,ru,0.0,0.0,0.5
1990-10-24,Dinamo București,Porto,ro,pt,0.0,0.0,0.5
