,date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
0,2024-10-02,Vitória,NK Celje,pt,si,3.0,1.0,0.0
1,2024-10-02,Başakşehir,Rapid Wien,tr,at,1.0,2.0,1.0
2,2024-10-03,Legia Warsaw,Betis,pl,es,1.0,0.0,0.0
3,2024-10-03,Heidenheim,Olimpija,de,si,2.0,1.0,0.0
4,2024-10-03,Molde,Larne FC,no,nir,3.0,0.0,0.0
5,2024-10-03,Cercle Brugge,St. Gallen,be,ch,6.0,2.0,0.0
6,2024-10-03,AC Omonia,KV,cy,is,4.0,0.0,0.0
7,2024-10-03,Dinamo Minsk,Hearts,by,sct,1.0,2.0,1.0
8,2024-10-03,Shamrock Rov,APOEL,ie,cy,1.0,1.0,0.5
9,2024-10-03,Chelsea,Gent,eng,be,4.0,2.0,0.0
10,2024-10-03,FC Noah,Mladá Boleslav,am,cz,2.0,0.0,0.0
11,2024-10-03,FC Copenhagen,Jagiellonia,dk,pl,1.0,2.0,1.0
12,2024-10-03,Fiorentina,The New Saints,it,wls,2.0,0.0,0.0
13,2024-10-03,LASK,Djurgården,at,se,2.0,2.0,0.5
14,2024-10-03,Lugano,HJK,ch,fi,3.0,0.0,0.0
15,2024-10-03,Borac Banja Luka,Panathinaikos,ba,gr,1.0,1.0,0.5
16,2024-10-03,Petrocub,Pafos FC,md,cy,1.0,4.0,1.0
17,2024-10-03,Astana FK,TSC Bačka Top,kz,rs,1.0,0.0,0.0
19,2024-10-24,KV,Cercle Brugge,is,be,3.0,1.0,0.0
20,2024-10-24,Larne FC,Shamrock Rov,nir,ie,1.0,4.0,1.0
21,2024-10-24,Hearts,AC Omonia,sct,cy,2.0,0.0,0.0
22,2024-10-24,Gent,Molde,be,no,2.0,1.0,0.0
23,2024-10-24,Djurgården,Vitória,se,pt,1.0,2.0,1.0
24,2024-10-24,Rapid Wien,FC Noah,at,am,1.0,0.0,0.0
25,2024-10-24,Jagiellonia,Petrocub,pl,md,2.0,0.0,0.0
26,2024-10-24,NK Celje,Başakşehir,si,tr,5.0,1.0,0.0
27,2024-10-24,St. Gallen,Fiorentina,ch,it,2.0,4.0,1.0
28,2024-10-24,APOEL,Borac Banja Luka,cy,ba,0.0,1.0,1.0
29,2024-10-24,Panathinaikos,Chelsea,gr,eng,1.0,4.0,1.0
30,2024-10-24,The New Saints,Astana FK,wls,kz,2.0,0.0,0.0
31,2024-10-24,Mladá Boleslav,Lugano,cz,ch,0.0,1.0,1.0
32,2024-10-24,Olimpija,LASK,si,at,2.0,0.0,0.0
33,2024-10-24,Betis,FC Copenhagen,es,dk,1.0,1.0,0.5
34,2024-10-24,TSC Bačka Top,Legia Warsaw,rs,pl,0.0,3.0,1.0
35,2024-10-24,Pafos FC,Heidenheim,cy,de,0.0,1.0,1.0
36,2024-10-24,HJK,Dinamo Minsk,fi,by,1.0,0.0,0.0
38,2024-11-07,KV,Borac Banja Luka,is,ba,2.0,0.0,0.0
39,2024-11-07,Shamrock Rov,The New Saints,ie,wls,2.0,1.0,0.0
40,2024-11-07,TSC Bačka Top,Lugano,rs,ch,4.0,1.0,0.0
41,2024-11-07,Legia Warsaw,Dinamo Minsk,pl,by,4.0,0.0,0.0
42,2024-11-07,Gent,AC Omonia,be,cy,1.0,0.0,0.0
