,date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
0,2000-09-11,Bohemian FC,Kaiserslautern,ie,de,1,3,1.0
1,2000-09-12,Lierse,Bordeaux,be,fr,0,0,0.5
2,2000-09-12,Košice,Grazer AK,sk,at,2,3,1.0
3,2000-09-12,Vasas,AEK Athens,hu,gr,2,2,0.5
4,2000-09-12,Basel,Brann,ch,no,3,2,0.0
5,2000-09-12,Gent,Ajax,be,nl,0,6,1.0
6,2000-09-12,Rapid Wien,Örgryte,at,se,3,0,0.0
7,2000-09-12,Norrköping,Slovan Liberec,se,cz,2,2,0.5
8,2000-09-12,FK Drnovice,1860 Munich,cz,de,0,0,0.5
9,2000-09-14,FK Pobeda,Parma,mk,it,0,2,1.0
10,2000-09-14,Kryvbas Kryvyi Rih,Nantes,ua,fr,0,1,1.0
11,2000-09-14,Lillestrøm,Dynamo Moscow,no,ru,3,1,0.0
12,2000-09-14,Stuttgart,Hearts,de,sct,1,0,0.0
13,2000-09-14,Zaragoza,Wisła Kraków,es,pl,4,1,0.0
14,2000-09-14,Club Brugge,APOEL FC,be,cy,2,0,0.0
15,2000-09-14,Celtic,HJK Helsinki,sct,fi,2,0,0.0
16,2000-09-14,Brøndby,Osijek,dk,hr,1,2,1.0
17,2000-09-14,Tirol Innsbruck,Fiorentina,at,it,3,1,0.0
18,2000-09-14,Slavia Prague,AB,cz,dk,3,0,0.0
19,2000-09-14,CSKA Sofia,MTK Budapest,bg,hu,1,2,1.0
20,2000-09-14,Leicester City,Red Star,eng,rs,1,1,0.5
21,2000-09-14,Gueugnon,Iraklis,fr,gr,0,0,0.5
22,2000-09-14,Napredak Kruševac,OFI Crete,rs,gr,0,0,0.5
23,2000-09-14,AIK Stockholm,Herfølge BK,se,dk,0,1,1.0
24,2000-09-14,Alavés,Gaziantepspor,es,tr,0,0,0.5
25,2000-09-14,Rapid București,Liverpool,ro,eng,0,1,1.0
26,2000-09-14,ND Gorica,Roma,si,it,1,4,1.0
27,2000-09-14,Roda JC,Inter Bratislava,nl,sk,0,2,1.0
28,2000-09-14,PAOK,Beitar Jerusalem,gr,il,3,1,0.0
29,2000-09-14,Chelsea,St. Gallen,eng,ch,1,0,0.0
30,2000-09-14,CSKA Moscow,Viborg,ru,dk,0,0,0.5
31,2000-09-14,Molde,Rayo Vallecano,no,es,0,1,1.0
32,2000-09-14,Partizan,Porto,rs,pt,1,1,0.5
33,2000-09-14,Zimbru Chișinău,Hertha BSC,md,de,1,2,1.0
34,2000-09-14,Alania,Amica Wronki,ru,pl,0,3,1.0
35,2000-09-14,NK Olimpija Ljubljana,Espanyol,si,es,2,1,0.0
36,2000-09-14,Lokomotiv Moscow,Naftex,ru,bg,4,2,0.0
37,2000-09-14,KS Polonia Warsaw,Udinese,pl,it,0,1,1.0
38,2000-09-14,ŠK Slovan Bratislava,Dinamo Zagreb,sk,hr,0,3,1.0
39,2000-09-14,Ruch Chorzów,Inter,pl,it,0,3,1.0
40,2000-09-14,Dunaújváros FC,Feyenoord,hu,nl,0,1,1.0
41,2000-09-14,Zürich,Genk,ch,be,1,2,1.0
42,2000-09-14,Celta Vigo,Rijeka,es,hr,0,0,0.5
43,2000-09-14,Vorskla Poltava,Boavista,ua,pt,1,2,1.0
44,2000-09-14,Lausanne-Sport,Torpedo Moscow,ch,ru,3,2,0.0
45,2000-09-14,Antalyaspor,Werder Bremen,tr,de,2,0,0.0
46,2000-09-14,Vitesse,Maccabi Haifa FC,nl,il,3,0,0.0
47,2000-09-14,Halmstad,Benfica,se,pt,2,1,0.0
48,2000-09-21,Kaiserslautern,Bohemian FC,de,ie,0,1,1.0
49,2000-09-21,Hertha BSC,Zimbru Chișinău,de,md,2,0,0.0
50,2000-09-26,Inter Bratislava,Roda JC,sk,nl,2,1,0.0
51,2000-09-26,1860 Munich,FK Drnovice,de,cz,1,0,0.0
52,2000-09-26,Grazer AK,Košice,at,sk,0,0,0.5
53,2000-09-26,Udinese,KS Polonia Warsaw,it,pl,2,0,0.0
54,2000-09-26,Viborg,CSKA Moscow,dk,ru,1,0,0.0
55,2000-09-26,Bordeaux,Lierse,fr,be,5,1,0.0
56,2000-09-28,Rijeka,Celta Vigo,hr,es,0,1,1.0
57,2000-09-28,Gaziantepspor,Alavés,tr,es,3,4,1.0
58,2000-09-28,Wisła Kraków,Zaragoza,pl,es,4,1,0.0
59,2000-09-28,Nantes,Kryvbas Kryvyi Rih,fr,ua,5,0,0.0
60,2000-09-28,Herfølge BK,AIK Stockholm,dk,se,1,1,0.5
61,2000-09-28,Naftex,Lokomotiv Moscow,bg,ru,0,0,0.5
62,2000-09-28,Rayo Vallecano,Molde,es,no,1,1,0.5
63,2000-09-28,Amica Wronki,Alania,pl,ru,2,0,0.0
64,2000-09-28,St. Gallen,Chelsea,ch,eng,2,0,0.0
65,2000-09-28,Ajax,Gent,nl,be,3,0,0.0
66,2000-09-28,Genk,Zürich,be,ch,2,0,0.0
67,2000-09-28,Liverpool,Rapid București,eng,ro,0,0,0.5
68,2000-09-28,Roma,ND Gorica,it,si,7,0,0.0
69,2000-09-28,Iraklis,Gueugnon,gr,fr,1,0,0.0
70,2000-09-28,Slovan Liberec,Norrköping,cz,se,2,1,0.0
71,2000-09-28,Brann,Basel,no,ch,4,4,0.5
72,2000-09-28,Parma,FK Pobeda,it,mk,4,0,0.0
73,2000-09-28,AEK Athens,Vasas,gr,hu,2,0,0.0
74,2000-09-28,Örgryte,Rapid Wien,se,at,1,1,0.5
75,2000-09-28,AB,Slavia Prague,dk,cz,0,2,1.0
76,2000-09-28,Fiorentina,Tirol Innsbruck,it,at,2,2,0.5
77,2000-09-28,Feyenoord,Dunaújváros FC,nl,hu,3,1,0.0
78,2000-09-28,Red Star,Leicester City,rs,eng,3,1,0.0
79,2000-09-28,APOEL FC,Club Brugge,cy,be,0,1,1.0
80,2000-09-28,Werder Bremen,Antalyaspor,de,tr,6,0,0.0
81,2000-09-28,Torpedo Moscow,Lausanne-Sport,ru,ch,0,2,1.0
82,2000-09-28,Espanyol,NK Olimpija Ljubljana,es,si,2,0,0.0
83,2000-09-28,Inter,Ruch Chorzów,it,pl,4,1,0.0
84,2000-09-28,Beitar Jerusalem,PAOK,il,gr,3,3,0.5
85,2000-09-28,Osijek,Brøndby,hr,dk,0,0,0.5
86,2000-09-28,Porto,Partizan,pt,rs,1,0,0.0
87,2000-09-28,Dinamo Zagreb,ŠK Slovan Bratislava,hr,sk,1,1,0.5
88,2000-09-28,HJK Helsinki,Celtic,fi,sct,2,1,0.0
89,2000-09-28,Hearts,Stuttgart,sct,de,3,2,0.0
90,2000-09-28,Benfica,Halmstad,pt,se,2,2,0.5
91,2000-09-28,Dynamo Moscow,Lillestrøm,ru,no,2,1,0.0
92,2000-09-28,Boavista,Vorskla Poltava,pt,ua,2,1,0.0
93,2000-09-28,Maccabi Haifa FC,Vitesse,il,nl,2,1,0.0
94,2000-09-28,MTK Budapest,CSKA Sofia,hu,bg,0,1,1.0
95,2000-09-28,OFI Crete,Napredak Kruševac,gr,rs,6,0,0.0
96,2000-10-23,Iraklis,Kaiserslautern,gr,de,1,3,1.0
97,2000-10-24,Werder Bremen,Genk,de,be,4,1,0.0
98,2000-10-24,Udinese,PAOK,it,gr,1,0,0.0
99,2000-10-24,Osijek,Rapid Wien,hr,at,2,1,0.0
100,2000-10-26,Wisła Kraków,Porto,pl,pt,0,0,0.5
101,2000-10-26,Lokomotiv Moscow,Inter Bratislava,ru,sk,1,0,0.0
102,2000-10-26,Hertha BSC,Amica Wronki,de,pl,3,1,0.0
103,2000-10-26,Basel,Feyenoord,ch,nl,1,2,1.0
104,2000-10-26,Red Star,Celta Vigo,rs,es,1,0,0.0
105,2000-10-26,Nantes,MTK Budapest,fr,hu,2,1,0.0
106,2000-10-26,Bordeaux,Celtic,fr,sct,1,1,0.5
107,2000-10-26,Rayo Vallecano,Viborg,es,dk,1,0,0.0
108,2000-10-26,AEK Athens,Herfølge BK,gr,dk,5,0,0.0
109,2000-10-26,Parma,Dinamo Zagreb,it,hr,2,0,0.0
110,2000-10-26,Lillestrøm,Alavés,no,es,1,3,1.0
111,2000-10-26,Liverpool,Slovan Liberec,eng,cz,1,0,0.0
112,2000-10-26,Halmstad,1860 Munich,se,de,3,2,0.0
113,2000-10-26,OFI Crete,Slavia Prague,gr,cz,2,2,0.5
114,2000-10-26,Espanyol,Grazer AK,es,at,4,0,0.0
115,2000-10-26,Lausanne-Sport,Ajax,ch,nl,1,0,0.0
116,2000-10-26,Tirol Innsbruck,Stuttgart,at,de,1,0,0.0
117,2000-10-26,Boavista,Roma,pt,it,0,1,1.0
118,2000-10-26,Club Brugge,St. Gallen,be,ch,2,1,0.0
119,2000-10-26,Inter,Vitesse,it,nl,0,0,0.5
120,2000-11-07,Rapid Wien,Osijek,at,hr,0,2,1.0
121,2000-11-07,1860 Munich,Halmstad,de,se,3,1,0.0
122,2000-11-07,Herfølge BK,AEK Athens,dk,gr,2,1,0.0
123,2000-11-07,Amica Wronki,Hertha BSC,pl,de,1,1,0.5
124,2000-11-09,MTK Budapest,Nantes,hu,fr,0,1,1.0
125,2000-11-09,Roma,Boavista,it,pt,1,1,0.5
126,2000-11-09,PAOK,Udinese,gr,it,3,0,0.0
127,2000-11-09,Ajax,Lausanne-Sport,nl,ch,2,2,0.5
128,2000-11-09,Inter Bratislava,Lokomotiv Moscow,sk,ru,1,2,1.0
129,2000-11-09,Celtic,Bordeaux,sct,fr,1,2,1.0
130,2000-11-09,Porto,Wisła Kraków,pt,pl,3,0,0.0
131,2000-11-09,Celta Vigo,Red Star,es,rs,5,3,0.0
132,2000-11-09,Alavés,Lillestrøm,es,no,2,2,0.5
133,2000-11-09,Dinamo Zagreb,Parma,hr,it,1,0,0.0
134,2000-11-09,Slavia Prague,OFI Crete,cz,gr,4,1,0.0
135,2000-11-09,Grazer AK,Espanyol,at,es,1,0,0.0
136,2000-11-09,Viborg,Rayo Vallecano,dk,es,2,1,0.0
137,2000-11-09,St. Gallen,Club Brugge,ch,be,1,1,0.5
138,2000-11-09,Kaiserslautern,Iraklis,de,gr,2,3,1.0
139,2000-11-09,Slovan Liberec,Liverpool,cz,eng,2,3,1.0
140,2000-11-09,Stuttgart,Tirol Innsbruck,de,at,3,1,0.0
141,2000-11-09,Feyenoord,Basel,nl,ch,1,0,0.0
142,2000-11-09,Genk,Werder Bremen,be,de,2,5,1.0
143,2000-11-09,Vitesse,Inter,nl,it,1,1,0.5
144,2000-11-21,Hertha BSC,Inter,de,it,0,0,0.5
145,2000-11-23,Bordeaux,Werder Bremen,fr,de,4,1,0.0
146,2000-11-23,Roma,Hamburger SV,it,de,1,0,0.0
147,2000-11-23,Lokomotiv Moscow,Rayo Vallecano,ru,es,0,0,0.5
148,2000-11-23,Osijek,Slavia Prague,hr,cz,2,0,0.0
149,2000-11-23,Shakhtar Donetsk,Celta Vigo,ua,es,0,0,0.5
150,2000-11-23,Leverkusen,AEK Athens,de,gr,4,4,0.5
151,2000-11-23,PSV Eindhoven,PAOK,nl,gr,3,0,0.0
152,2000-11-23,Alavés,Rosenborg,es,no,1,1,0.5
153,2000-11-23,Club Brugge,Barcelona,be,es,0,2,1.0
154,2000-11-23,Feyenoord,Stuttgart,nl,de,2,2,0.5
155,2000-11-23,Nantes,Lausanne-Sport,fr,ch,4,3,0.0
156,2000-11-23,Parma,1860 Munich,it,de,2,2,0.5
157,2000-11-23,Espanyol,Porto,es,pt,0,2,1.0
158,2000-11-23,Olympiacos,Liverpool,gr,eng,2,2,0.5
159,2000-11-30,Rangers,Kaiserslautern,sct,de,1,0,0.0
160,2000-12-05,Stuttgart,Feyenoord,de,nl,2,1,0.0
161,2000-12-05,1860 Munich,Parma,de,it,0,2,1.0
162,2000-12-07,Kaiserslautern,Rangers,de,sct,3,0,0.0
163,2000-12-07,Lausanne-Sport,Nantes,ch,fr,1,3,1.0
164,2000-12-07,Liverpool,Olympiacos,eng,gr,2,0,0.0
165,2000-12-07,Rosenborg,Alavés,no,es,1,3,1.0
166,2000-12-07,Slavia Prague,Osijek,cz,hr,5,1,0.0
167,2000-12-07,Werder Bremen,Bordeaux,de,fr,0,0,0.5
168,2000-12-07,Barcelona,Club Brugge,es,be,1,1,0.5
169,2000-12-07,Rayo Vallecano,Lokomotiv Moscow,es,ru,2,0,0.0
170,2000-12-07,AEK Athens,Leverkusen,gr,de,2,0,0.0
171,2000-12-07,Inter,Hertha BSC,it,de,2,1,0.0
172,2000-12-07,Porto,Espanyol,pt,es,0,0,0.5
173,2000-12-07,PAOK,PSV Eindhoven,gr,nl,0,1,1.0
174,2000-12-07,Hamburger SV,Roma,de,it,0,3,1.0
175,2000-12-07,Celta Vigo,Shakhtar Donetsk,es,ua,1,0,0.0
176,2001-02-15,Stuttgart,Celta Vigo,de,es,0,0,0.5
177,2001-02-15,Roma,Liverpool,it,eng,0,2,1.0
178,2001-02-15,Porto,Nantes,pt,fr,3,1,0.0
179,2001-02-15,AEK Athens,Barcelona,gr,es,0,1,1.0
180,2001-02-15,Alavés,Inter,es,it,3,3,0.5
181,2001-02-15,Rayo Vallecano,Bordeaux,es,fr,4,1,0.0
182,2001-02-15,PSV Eindhoven,Parma,nl,it,2,1,0.0
183,2001-02-15,Slavia Prague,Kaiserslautern,cz,de,0,0,0.5
