date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
1990-09-18,FH,Dundee United,is,sct,1.0,3.0,1.0
1990-09-18,FC Avenir Beggen,Inter Bratislava,lu,sk,2.0,1.0,0.0
1990-09-18,Hibernians FC,Partizan,mt,rs,0.0,3.0,1.0
1990-09-18,Glenavon FC,Bordeaux,nir,fr,0.0,0.0,0.5
1990-09-18,Sporting CP,Mechelen,pt,be,1.0,0.0,0.0
1990-09-18,Dortmund,Chemnitzer,de,de,2.0,0.0,0.0
1990-09-18,Roda JC Kerkrade,Monaco,nl,fr,1.0,3.0,1.0
1990-09-19,Torpedo Moscow,GAIS,ru,se,4.0,1.0,0.0
1990-09-19,Zagłębie Lubin,Bologna,pl,it,0.0,1.0,1.0
1990-09-19,MTK Budapest,Luzern,hu,ch,1.0,1.0,0.5
1990-09-19,Sevilla,PAOK,es,gr,0.0,0.0,0.5
1990-09-19,Politehnica Timișoara,Atlético Madrid,ro,es,2.0,0.0,0.0
1990-09-19,Magdeburg,RoPS,de,fi,0.0,0.0,0.5
1990-09-19,Atalanta,Dinamo Zagreb,it,hr,0.0,0.0,0.5
1990-09-19,FC Dnipro,Hearts,ua,sct,1.0,1.0,0.5
1990-09-19,Derry City FC,Vitesse,ie,nl,0.0,1.0,1.0
1990-09-19,Norrköping,Köln,se,de,0.0,0.0,0.5
1990-09-19,Anderlecht,Petrolul Ploiești,be,ro,2.0,0.0,0.0
1990-09-19,Fenerbahçe,Vitória Guimarães,tr,pt,3.0,0.0,0.0
1990-09-19,Lausanne-Sport,Real Sociedad,ch,es,3.0,2.0,0.0
1990-09-19,Brøndby,Eint Frankfurt,dk,de,5.0,0.0,0.0
1990-09-19,Partizani Tirana,U Craiova,al,ro,0.0,1.0,1.0
1990-09-19,Iraklis Thessaloniki,Valencia,gr,es,0.0,0.0,0.5
1990-09-19,Aston Villa,Baník Ostrava,eng,cz,3.0,1.0,0.0
1990-09-19,Katowice,TPS,pl,fi,3.0,0.0,0.0
1990-09-19,Roma,Benfica,it,pt,1.0,0.0,0.0
1990-09-19,Slavia Sofia,AC Omonia,bg,cy,2.0,1.0,0.0
1990-09-19,Leverkusen,Twente,de,nl,1.0,0.0,0.0
1990-09-19,Rapid Wien,Inter,at,it,2.0,1.0,0.0
1990-09-19,Vejle BK,Admira Wacker Mödling,dk,at,0.0,1.0,1.0
1990-09-19,Chornomorets Odesa,Rosenborg,ua,no,3.0,1.0,0.0
1990-09-20,Antwerp,Ferencváros,be,hu,0.0,0.0,0.5
1990-10-02,Chemnitzer,Dortmund,de,de,0.0,2.0,1.0
1990-10-02,Vitesse,Derry City FC,nl,ie,0.0,0.0,0.5
1990-10-02,Real Sociedad,Lausanne-Sport,es,ch,1.0,0.0,0.0
1990-10-02,Bordeaux,Glenavon FC,fr,nir,2.0,0.0,0.0
1990-10-02,Luzern,MTK Budapest,ch,hu,2.0,1.0,0.0
1990-10-02,Admira Wacker Mödling,Vejle BK,at,dk,3.0,0.0,0.0
1990-10-03,Bologna,Zagłębie Lubin,it,pl,1.0,0.0,0.0
1990-10-03,Partizan,Hibernians FC,rs,mt,2.0,0.0,0.0
1990-10-03,Mechelen,Sporting CP,be,pt,2.0,2.0,0.5
1990-10-03,Rosenborg,Chornomorets Odesa,no,ua,2.0,1.0,0.0
1990-10-03,Dinamo Zagreb,Atalanta,hr,it,1.0,1.0,0.5
1990-10-03,Twente,Leverkusen,nl,de,1.0,1.0,0.5
1990-10-03,AC Omonia,Slavia Sofia,cy,bg,4.0,2.0,0.0
1990-10-03,Ferencváros,Antwerp,hu,be,3.0,1.0,0.0
1990-10-03,Vitória Guimarães,Fenerbahçe,pt,tr,2.0,3.0,1.0
1990-10-03,Atlético Madrid,Politehnica Timișoara,es,ro,1.0,0.0,0.0
1990-10-03,Köln,Norrköping,de,se,3.0,1.0,0.0
1990-10-03,Inter Bratislava,FC Avenir Beggen,sk,lu,5.0,0.0,0.0
1990-10-03,Monaco,Roda JC Kerkrade,fr,nl,3.0,1.0,0.0
1990-10-03,Baník Ostrava,Aston Villa,cz,eng,1.0,2.0,1.0
1990-10-03,U Craiova,Partizani Tirana,ro,al,1.0,0.0,0.0
1990-10-03,Inter,Rapid Wien,it,at,3.0,1.0,0.0
1990-10-03,TPS,Katowice,fi,pl,0.0,1.0,1.0
1990-10-03,Valencia,Iraklis Thessaloniki,es,gr,2.0,0.0,0.0
1990-10-03,Hearts,FC Dnipro,sct,ua,3.0,1.0,0.0
1990-10-03,GAIS,Torpedo Moscow,se,ru,1.0,1.0,0.5
