Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017,1,2017-04-01,Göteborg,Malmö,1,1,0.5
2017,1,2017-04-01,Halmstad,Östersund,1,0,1.0
2017,1,2017-04-02,AIK Stockholm,Häcken,0,0,0.5
2017,1,2017-04-02,Sundsvall,AFC Eskilstuna,3,1,1.0
2017,1,2017-04-02,Norrköping,Hammarby,2,1,1.0
2017,1,2017-04-03,Djurgården,Sirius,0,2,0.0
2017,1,2017-04-03,Kalmar,Elfsborg,1,5,0.0
2017,1,2017-04-03,Örebro,Jönköping,2,1,1.0
2017,2,2017-04-08,AFC Eskilstuna,Örebro,2,2,0.5
2017,2,2017-04-09,Hammarby,Kalmar,1,1,0.5
2017,2,2017-04-09,Östersund,Norrköping,1,0,1.0
2017,2,2017-04-09,Sirius,Göteborg,0,2,0.0
2017,2,2017-04-09,Jönköping,Halmstad,2,2,0.5
2017,2,2017-04-09,Häcken,Djurgården,0,0,0.5
2017,2,2017-04-10,Elfsborg,AIK Stockholm,1,2,0.0
2017,2,2017-04-11,Malmö,Sundsvall,2,0,1.0
2017,3,2017-04-16,Örebro,Östersund,2,1,1.0
2017,3,2017-04-16,Halmstad,Malmö,0,3,0.0
2017,3,2017-04-16,Djurgården,Elfsborg,3,0,1.0
2017,3,2017-04-16,Sundsvall,Häcken,1,2,0.0
2017,3,2017-04-17,AIK Stockholm,Hammarby,1,2,0.0
2017,3,2017-04-17,Kalmar,Jönköping,1,3,0.0
2017,3,2017-04-17,Göteborg,AFC Eskilstuna,1,1,0.5
2017,3,2017-04-17,Norrköping,Sirius,0,2,0.0
2017,4,2017-04-20,Elfsborg,Örebro,3,0,1.0
2017,4,2017-04-22,Jönköping,AIK Stockholm,2,1,1.0
2017,4,2017-04-23,Häcken,Norrköping,1,2,0.0
2017,4,2017-04-23,Hammarby,Sundsvall,0,0,0.5
2017,4,2017-04-23,Östersund,Göteborg,1,1,0.5
2017,4,2017-04-23,AFC Eskilstuna,Halmstad,0,0,0.5
2017,4,2017-04-24,Sirius,Kalmar,3,0,1.0
2017,4,2017-04-24,Malmö,Djurgården,3,2,1.0
2017,5,2017-04-26,Göteborg,Hammarby,1,1,0.5
2017,5,2017-04-26,AFC Eskilstuna,Östersund,1,3,0.0
2017,5,2017-04-26,Sundsvall,Elfsborg,1,1,0.5
2017,5,2017-04-26,Örebro,Häcken,0,0,0.5
2017,5,2017-04-27,Norrköping,Jönköping,3,0,1.0
2017,5,2017-04-27,AIK Stockholm,Sirius,1,0,1.0
2017,5,2017-04-27,Halmstad,Djurgården,0,1,0.0
2017,5,2017-04-27,Kalmar,Malmö,0,0,0.5
2017,6,2017-04-29,Hammarby,AFC Eskilstuna,4,0,1.0
2017,6,2017-04-30,AIK Stockholm,Sundsvall,0,0,0.5
2017,6,2017-05-01,Malmö,Örebro,2,1,1.0
2017,6,2017-05-01,Kalmar,Halmstad,2,0,1.0
2017,6,2017-05-01,Djurgården,Norrköping,3,3,0.5
2017,6,2017-05-01,Sirius,Jönköping,1,1,0.5
2017,6,2017-05-02,Elfsborg,Östersund,4,4,0.5
2017,6,2017-05-02,Häcken,Göteborg,4,0,1.0
2017,7,2017-05-05,Häcken,Sirius,2,2,0.5
2017,7,2017-05-06,Halmstad,AIK Stockholm,0,1,0.0
2017,7,2017-05-07,Göteborg,Kalmar,3,0,1.0
2017,7,2017-05-07,Östersund,Hammarby,2,1,1.0
2017,7,2017-05-07,Jönköping,AFC Eskilstuna,1,0,1.0
2017,7,2017-05-07,Örebro,Djurgården,0,4,0.0
