Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2024,Allsvenskan,1,2024-03-30,Norrköping,Malmö,1,5,0.0
2024,Allsvenskan,1,2024-03-31,Hammarby,Kalmar,3,1,1.0
2024,Allsvenskan,1,2024-03-31,GAIS,Brommapojkarna,0,4,0.0
2024,Allsvenskan,1,2024-03-31,Häcken,Mjällby,0,1,0.0
2024,Allsvenskan,1,2024-04-01,Göteborg,Djurgården,1,4,0.0
2024,Allsvenskan,1,2024-04-01,Sirius,Halmstad,3,0,1.0
2024,Allsvenskan,1,2024-04-01,AIK Stockholm,Västerås,1,0,1.0
2024,Allsvenskan,1,2024-04-01,Elfsborg,Värnamo,2,2,0.5
2024,Allsvenskan,2,2024-04-06,Brommapojkarna,AIK Stockholm,2,2,0.5
2024,Allsvenskan,2,2024-04-06,Mjällby,Norrköping,3,0,1.0
2024,Allsvenskan,2,2024-04-07,Malmö,Hammarby,2,0,1.0
2024,Allsvenskan,2,2024-04-07,Halmstad,Göteborg,1,0,1.0
2024,Allsvenskan,2,2024-04-07,Västerås,Elfsborg,0,1,0.0
2024,Allsvenskan,2,2024-04-08,Kalmar,Sirius,1,2,0.0
2024,Allsvenskan,2,2024-04-08,Värnamo,GAIS,1,2,0.0
2024,Allsvenskan,2,2024-04-08,Djurgården,Häcken,3,3,0.5
2024,Allsvenskan,3,2024-04-13,Mjällby,AIK Stockholm,1,1,0.5
2024,Allsvenskan,3,2024-04-13,Västerås,Halmstad,0,1,0.0
2024,Allsvenskan,3,2024-04-14,Kalmar,Göteborg,0,1,0.0
2024,Allsvenskan,3,2024-04-14,Norrköping,GAIS,1,0,1.0
2024,Allsvenskan,3,2024-04-14,Djurgården,Sirius,2,0,1.0
2024,Allsvenskan,3,2024-04-15,Häcken,Brommapojkarna,4,3,1.0
2024,Allsvenskan,3,2024-04-15,Värnamo,Malmö,0,4,0.0
2024,Allsvenskan,3,2024-04-15,Hammarby,Elfsborg,3,0,1.0
2024,Allsvenskan,4,2024-04-20,Göteborg,Norrköping,1,1,0.5
2024,Allsvenskan,4,2024-04-20,Sirius,Värnamo,0,1,0.0
2024,Allsvenskan,4,2024-04-20,Malmö,Västerås,1,0,1.0
2024,Allsvenskan,4,2024-04-21,AIK Stockholm,Djurgården,2,0,1.0
2024,Allsvenskan,4,2024-04-21,GAIS,Mjällby,2,1,1.0
2024,Allsvenskan,4,2024-04-21,Häcken,Hammarby,2,1,1.0
2024,Allsvenskan,4,2024-04-21,Halmstad,Brommapojkarna,0,2,0.0
2024,Allsvenskan,4,2024-04-22,Elfsborg,Kalmar,1,2,0.0
2024,Allsvenskan,5,2024-04-24,AIK Stockholm,Värnamo,2,0,1.0
2024,Allsvenskan,5,2024-04-24,Göteborg,Häcken,0,1,0.0
2024,Allsvenskan,5,2024-04-24,Brommapojkarna,Sirius,1,1,0.5
2024,Allsvenskan,5,2024-04-25,Djurgården,Malmö,0,1,0.0
2024,Allsvenskan,5,2024-04-25,Norrköping,Elfsborg,4,2,1.0
2024,Allsvenskan,5,2024-04-25,Kalmar,GAIS,2,3,0.0
2024,Allsvenskan,5,2024-04-25,Västerås,Mjällby,2,1,1.0
2024,Allsvenskan,5,2024-04-25,Halmstad,Hammarby,2,1,1.0
2024,Allsvenskan,6,2024-04-28,Malmö,AIK Stockholm,5,0,1.0
2024,Allsvenskan,6,2024-04-28,Värnamo,Halmstad,1,3,0.0
2024,Allsvenskan,6,2024-04-28,Djurgården,GAIS,1,0,1.0
2024,Allsvenskan,6,2024-04-28,Häcken,Norrköping,1,2,0.0
2024,Allsvenskan,6,2024-04-29,Elfsborg,Sirius,2,0,1.0
2024,Allsvenskan,6,2024-04-29,Mjällby,Kalmar,3,2,1.0
2024,Allsvenskan,6,2024-04-29,Brommapojkarna,Göteborg,0,3,0.0
2024,Allsvenskan,6,2024-04-29,Hammarby,Västerås,2,1,1.0
2024,Allsvenskan,7,2024-05-04,Mjällby,Brommapojkarna,1,1,0.5
2024,Allsvenskan,7,2024-05-04,Kalmar,Halmstad,5,2,1.0
2024,Allsvenskan,7,2024-05-04,Sirius,Häcken,0,3,0.0
2024,Allsvenskan,7,2024-05-05,Västerås,Djurgården,0,2,0.0
2024,Allsvenskan,7,2024-05-05,Elfsborg,Malmö,3,1,1.0
2024,Allsvenskan,7,2024-05-05,AIK Stockholm,Norrköping,6,2,1.0
2024,Allsvenskan,7,2024-05-05,Hammarby,Värnamo,1,2,0.0
2024,Allsvenskan,7,2024-05-06,GAIS,Göteborg,2,1,1.0
2024,Allsvenskan,8,2024-05-11,Halmstad,Mjällby,1,3,0.0
2024,Allsvenskan,8,2024-05-11,AIK Stockholm,Sirius,1,3,0.0
2024,Allsvenskan,8,2024-05-11,GAIS,Västerås,2,0,1.0
2024,Allsvenskan,8,2024-05-12,Häcken,Kalmar,3,1,1.0
2024,Allsvenskan,8,2024-05-12,Norrköping,Hammarby,1,2,0.0
2024,Allsvenskan,8,2024-05-12,Värnamo,Brommapojkarna,1,1,0.5
2024,Allsvenskan,8,2024-05-12,Djurgården,Elfsborg,2,0,1.0
2024,Allsvenskan,8,2024-05-13,Göteborg,Malmö,0,3,0.0
2024,Allsvenskan,9,2024-05-15,Halmstad,Häcken,3,0,1.0
2024,Allsvenskan,9,2024-05-15,Mjällby,Hammarby,3,0,1.0
2024,Allsvenskan,9,2024-05-15,Västerås,Värnamo,0,2,0.0
2024,Allsvenskan,9,2024-05-15,Elfsborg,AIK Stockholm,6,1,1.0
2024,Allsvenskan,9,2024-05-16,Sirius,Göteborg,2,2,0.5
2024,Allsvenskan,9,2024-05-16,Malmö,GAIS,1,0,1.0
2024,Allsvenskan,9,2024-05-16,Brommapojkarna,Djurgården,0,5,0.0
2024,Allsvenskan,9,2024-05-16,Kalmar,Norrköping,1,1,0.5
2024,Allsvenskan,10,2024-05-19,Brommapojkarna,Norrköping,2,1,1.0
2024,Allsvenskan,10,2024-05-19,Hammarby,AIK Stockholm,2,1,1.0
2024,Allsvenskan,10,2024-05-19,Värnamo,Kalmar,0,2,0.0
2024,Allsvenskan,10,2024-05-19,GAIS,Elfsborg,2,1,1.0
2024,Allsvenskan,10,2024-05-20,Djurgården,Halmstad,2,0,1.0
2024,Allsvenskan,10,2024-05-20,Sirius,Västerås,0,0,0.5
2024,Allsvenskan,10,2024-05-20,Häcken,Malmö,2,2,0.5
2024,Allsvenskan,10,2024-05-21,Göteborg,Mjällby,1,0,1.0
2024,Allsvenskan,11,2024-05-24,Elfsborg,Halmstad,2,0,1.0
2024,Allsvenskan,11,2024-05-24,Malmö,Kalmar,5,0,1.0
2024,Allsvenskan,11,2024-05-25,GAIS,Häcken,3,0,1.0
2024,Allsvenskan,11,2024-05-25,Mjällby,Djurgården,1,3,0.0
2024,Allsvenskan,11,2024-05-26,Hammarby,Sirius,3,0,1.0
2024,Allsvenskan,11,2024-05-26,Västerås,Brommapojkarna,1,1,0.5
2024,Allsvenskan,11,2024-05-27,Norrköping,Värnamo,0,4,0.0
2024,Allsvenskan,11,2024-05-27,AIK Stockholm,Göteborg,5,2,1.0
2024,Allsvenskan,17,2024-05-28,Malmö,Elfsborg,2,1,1.0
2024,Allsvenskan,17,2024-05-29,Mjällby,Häcken,2,1,1.0
2024,Allsvenskan,12,2024-06-01,Göteborg,Elfsborg,1,0,1.0
2024,Allsvenskan,12,2024-06-01,Brommapojkarna,Malmö,2,2,0.5
2024,Allsvenskan,12,2024-06-01,Halmstad,GAIS,4,0,1.0
2024,Allsvenskan,12,2024-06-01,Sirius,Norrköping,5,1,1.0
2024,Allsvenskan,12,2024-06-02,Kalmar,Västerås,0,4,0.0
2024,Allsvenskan,12,2024-06-02,Djurgården,Hammarby,0,3,0.0
2024,Allsvenskan,12,2024-06-02,Häcken,AIK Stockholm,4,1,1.0
2024,Allsvenskan,12,2024-06-02,Värnamo,Mjällby,1,2,0.0
2024,Allsvenskan,13,2024-07-06,Mjällby,Sirius,3,2,1.0
2024,Allsvenskan,13,2024-07-06,Elfsborg,Brommapojkarna,3,0,1.0
