Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,1,2014-07-19,RB Salzburg,Rapid Wien,6,1,1.0
2014-2015,1,2014-07-19,Admira,Wolfsberger AC,1,4,0.0
2014-2015,1,2014-07-19,SCR Altach,Sturm Graz,1,0,1.0
2014-2015,1,2014-07-19,Ried,Wiener Neustadt,3,1,1.0
2014-2015,1,2014-07-20,Austria Wien,Grödig,1,1,0.5
2014-2015,2,2014-07-26,Wolfsberger AC,Austria Wien,4,0,1.0
2014-2015,2,2014-07-26,Rapid Wien,Ried,1,0,1.0
2014-2015,2,2014-07-26,Wiener Neustadt,RB Salzburg,0,5,0.0
2014-2015,2,2014-07-27,Grödig,Sturm Graz,2,1,1.0
2014-2015,3,2014-08-02,Admira,Rapid Wien,1,1,0.5
2014-2015,3,2014-08-02,Ried,RB Salzburg,0,2,0.0
2014-2015,3,2014-08-02,Austria Wien,SCR Altach,0,0,0.5
2014-2015,3,2014-08-02,Sturm Graz,Wiener Neustadt,4,2,1.0
2014-2015,3,2014-08-03,Grödig,Wolfsberger AC,0,2,0.0
2014-2015,4,2014-08-09,Wiener Neustadt,Austria Wien,2,2,0.5
2014-2015,4,2014-08-09,Rapid Wien,Sturm Graz,1,1,0.5
2014-2015,4,2014-08-09,SCR Altach,Wolfsberger AC,1,2,0.0
2014-2015,4,2014-08-09,Ried,Admira,1,1,0.5
2014-2015,4,2014-08-10,RB Salzburg,Grödig,8,0,1.0
2014-2015,2,2014-08-13,SCR Altach,Admira,0,2,0.0
2014-2015,5,2014-08-16,Rapid Wien,SCR Altach,0,1,0.0
2014-2015,5,2014-08-16,Wolfsberger AC,Ried,4,1,1.0
2014-2015,5,2014-08-16,Admira,RB Salzburg,0,3,0.0
2014-2015,5,2014-08-16,Grödig,Wiener Neustadt,3,0,1.0
2014-2015,5,2014-08-17,Sturm Graz,Austria Wien,1,1,0.5
2014-2015,6,2014-08-23,Sturm Graz,Wolfsberger AC,1,2,0.0
2014-2015,6,2014-08-23,Wiener Neustadt,Admira,5,4,1.0
2014-2015,6,2014-08-23,Ried,Grödig,2,2,0.5
2014-2015,6,2014-08-23,RB Salzburg,SCR Altach,5,0,1.0
2014-2015,6,2014-08-24,Austria Wien,Rapid Wien,2,2,0.5
2014-2015,7,2014-08-30,RB Salzburg,Sturm Graz,2,3,0.0
2014-2015,7,2014-08-30,Wolfsberger AC,Wiener Neustadt,0,1,0.0
2014-2015,7,2014-08-30,SCR Altach,Ried,2,2,0.5
2014-2015,7,2014-08-30,Admira,Austria Wien,2,1,1.0
2014-2015,7,2014-08-31,Rapid Wien,Grödig,2,0,1.0
2014-2015,8,2014-09-13,Sturm Graz,Admira,0,2,0.0
2014-2015,8,2014-09-13,Austria Wien,Ried,3,1,1.0
2014-2015,8,2014-09-14,Wolfsberger AC,RB Salzburg,1,0,1.0
2014-2015,8,2014-09-17,Grödig,SCR Altach,3,3,0.5
2014-2015,8,2014-09-17,Wiener Neustadt,Rapid Wien,1,5,0.0
2014-2015,9,2014-09-20,Rapid Wien,Wolfsberger AC,3,0,1.0
2014-2015,9,2014-09-20,SCR Altach,Wiener Neustadt,2,0,1.0
2014-2015,9,2014-09-20,Admira,Grödig,0,0,0.5
2014-2015,9,2014-09-20,Ried,Sturm Graz,0,1,0.0
2014-2015,9,2014-09-21,RB Salzburg,Austria Wien,2,3,0.0
2014-2015,10,2014-09-27,Sturm Graz,SCR Altach,2,2,0.5
2014-2015,10,2014-09-27,Wolfsberger AC,Admira,2,1,1.0
2014-2015,10,2014-09-27,Wiener Neustadt,Ried,0,1,0.0
2014-2015,10,2014-09-27,Grödig,Austria Wien,0,0,0.5
2014-2015,10,2014-09-28,Rapid Wien,RB Salzburg,1,2,0.0
2014-2015,11,2014-10-04,Austria Wien,Wolfsberger AC,0,2,0.0
2014-2015,11,2014-10-04,Admira,SCR Altach,0,2,0.0
2014-2015,11,2014-10-04,Sturm Graz,Grödig,1,0,1.0
2014-2015,11,2014-10-05,Ried,Rapid Wien,1,2,0.0
2014-2015,11,2014-10-05,RB Salzburg,Wiener Neustadt,4,1,1.0
2014-2015,12,2014-10-18,RB Salzburg,Ried,4,2,1.0
2014-2015,12,2014-10-18,SCR Altach,Austria Wien,1,1,0.5
2014-2015,12,2014-10-18,Rapid Wien,Admira,0,0,0.5
2014-2015,12,2014-10-18,Wolfsberger AC,Grödig,1,2,0.0
2014-2015,12,2014-10-19,Wiener Neustadt,Sturm Graz,0,0,0.5
2014-2015,13,2014-10-25,Sturm Graz,Rapid Wien,1,3,0.0
2014-2015,13,2014-10-25,Wolfsberger AC,SCR Altach,0,0,0.5
2014-2015,13,2014-10-25,Austria Wien,Wiener Neustadt,2,0,1.0
2014-2015,13,2014-10-25,Admira,Ried,0,0,0.5
2014-2015,13,2014-10-26,Grödig,RB Salzburg,2,2,0.5
2014-2015,14,2014-11-01,Austria Wien,Sturm Graz,0,3,0.0
2014-2015,14,2014-11-01,RB Salzburg,Admira,2,0,1.0
2014-2015,14,2014-11-01,Ried,Wolfsberger AC,1,0,1.0
2014-2015,14,2014-11-02,SCR Altach,Rapid Wien,2,0,1.0
2014-2015,14,2014-11-05,Wiener Neustadt,Grödig,2,4,0.0
2014-2015,15,2014-11-08,Wolfsberger AC,Sturm Graz,0,2,0.0
2014-2015,15,2014-11-08,Grödig,Ried,0,1,0.0
2014-2015,15,2014-11-08,Admira,Wiener Neustadt,1,1,0.5
2014-2015,15,2014-11-09,Rapid Wien,Austria Wien,2,3,0.0
2014-2015,15,2014-11-09,SCR Altach,RB Salzburg,4,1,1.0
2014-2015,16,2014-11-22,Grödig,Rapid Wien,3,1,1.0
2014-2015,16,2014-11-22,Wiener Neustadt,Wolfsberger AC,2,0,1.0
2014-2015,16,2014-11-22,Austria Wien,Admira,4,0,1.0
2014-2015,16,2014-11-22,Ried,SCR Altach,2,1,1.0
2014-2015,16,2014-11-23,Sturm Graz,RB Salzburg,1,2,0.0
2014-2015,17,2014-11-29,Ried,Austria Wien,1,1,0.5
2014-2015,17,2014-11-29,Admira,Sturm Graz,0,2,0.0
2014-2015,17,2014-11-29,Rapid Wien,Wiener Neustadt,3,0,1.0
2014-2015,17,2014-11-29,SCR Altach,Grödig,3,1,1.0
2014-2015,17,2014-11-30,RB Salzburg,Wolfsberger AC,2,2,0.5
2014-2015,18,2014-12-06,Austria Wien,RB Salzburg,2,4,0.0
2014-2015,18,2014-12-06,Grödig,Admira,5,0,1.0
2014-2015,18,2014-12-06,Wiener Neustadt,SCR Altach,2,0,1.0
2014-2015,18,2014-12-06,Sturm Graz,Ried,3,1,1.0
2014-2015,18,2014-12-07,Wolfsberger AC,Rapid Wien,1,1,0.5
2014-2015,19,2014-12-13,SCR Altach,Sturm Graz,2,0,1.0
2014-2015,19,2014-12-13,Admira,Wolfsberger AC,2,1,1.0
2014-2015,19,2014-12-13,Austria Wien,Grödig,1,0,1.0
2014-2015,19,2014-12-13,Ried,Wiener Neustadt,6,0,1.0
2014-2015,19,2014-12-14,RB Salzburg,Rapid Wien,1,2,0.0
2014-2015,20,2015-02-14,Rapid Wien,Ried,3,0,1.0
2014-2015,20,2015-02-14,Wiener Neustadt,RB Salzburg,0,2,0.0
2014-2015,20,2015-02-14,SCR Altach,Admira,2,0,1.0
2014-2015,20,2015-02-15,Wolfsberger AC,Austria Wien,1,0,1.0
2014-2015,21,2015-02-21,Austria Wien,SCR Altach,5,2,1.0
2014-2015,21,2015-02-21,Sturm Graz,Wiener Neustadt,3,3,0.5
2014-2015,21,2015-02-22,Ried,RB Salzburg,2,2,0.5
2014-2015,21,2015-02-22,Admira,Rapid Wien,1,1,0.5
2014-2015,22,2015-02-28,SCR Altach,Wolfsberger AC,1,0,1.0
2014-2015,22,2015-02-28,Wiener Neustadt,Austria Wien,1,0,1.0
2014-2015,22,2015-02-28,Ried,Admira,2,2,0.5
2014-2015,22,2015-02-28,Rapid Wien,Sturm Graz,1,0,1.0
2014-2015,22,2015-03-01,RB Salzburg,Grödig,3,1,1.0
2014-2015,23,2015-03-03,Sturm Graz,Austria Wien,2,1,1.0
2014-2015,23,2015-03-04,Wolfsberger AC,Ried,1,2,0.0
2014-2015,23,2015-03-04,Grödig,Wiener Neustadt,1,3,0.0
2014-2015,23,2015-03-04,Admira,RB Salzburg,1,4,0.0
2014-2015,23,2015-03-04,Rapid Wien,SCR Altach,1,0,1.0
2014-2015,24,2015-03-07,Sturm Graz,Wolfsberger AC,2,0,1.0
2014-2015,24,2015-03-07,RB Salzburg,SCR Altach,0,1,0.0
2014-2015,24,2015-03-07,Ried,Grödig,2,1,1.0
2014-2015,24,2015-03-07,Wiener Neustadt,Admira,0,0,0.5
2014-2015,24,2015-03-08,Austria Wien,Rapid Wien,2,1,1.0
2014-2015,20,2015-03-11,Grödig,Sturm Graz,0,2,0.0
2014-2015,25,2015-03-14,Admira,Austria Wien,1,1,0.5
2014-2015,25,2015-03-14,Rapid Wien,Grödig,4,0,1.0
2014-2015,25,2015-03-14,SCR Altach,Ried,2,1,1.0
2014-2015,25,2015-03-14,Wolfsberger AC,Wiener Neustadt,2,0,1.0
2014-2015,25,2015-03-15,RB Salzburg,Sturm Graz,2,1,1.0
2014-2015,21,2015-03-18,Grödig,Wolfsberger AC,2,0,1.0
2014-2015,26,2015-03-21,Austria Wien,Ried,0,1,0.0
2014-2015,26,2015-03-21,Wolfsberger AC,RB Salzburg,3,2,1.0
2014-2015,26,2015-03-21,Grödig,SCR Altach,0,1,0.0
2014-2015,26,2015-03-21,Sturm Graz,Admira,3,1,1.0
2014-2015,26,2015-03-22,Wiener Neustadt,Rapid Wien,0,1,0.0
2014-2015,27,2015-04-04,RB Salzburg,Austria Wien,3,1,1.0
2014-2015,27,2015-04-04,Rapid Wien,Wolfsberger AC,4,1,1.0
2014-2015,27,2015-04-04,Admira,Grödig,2,3,0.0
2014-2015,27,2015-04-05,Ried,Sturm Graz,1,2,0.0
2014-2015,28,2015-04-11,Sturm Graz,SCR Altach,5,0,1.0
2014-2015,28,2015-04-11,Wiener Neustadt,Ried,0,1,0.0
2014-2015,28,2015-04-11,Grödig,Austria Wien,1,1,0.5
