Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2018-2019,Regular season,1,2018-07-27,Austria Wien,Wacker Innsbr,2,1,1.0
2018-2019,Regular season,1,2018-07-28,SCR Altach,Mattersburg,2,3,0.0
2018-2019,Regular season,1,2018-07-28,Sturm Graz,Hartberg,3,2,1.0
2018-2019,Regular season,1,2018-07-29,St. Pölten,Wolfsberger AC,4,3,1.0
2018-2019,Regular season,1,2018-07-29,RB Salzburg,LASK,3,1,1.0
2018-2019,Regular season,1,2018-07-29,Admira,Rapid Wien,0,3,0.0
2018-2019,Regular season,2,2018-08-04,Rapid Wien,SCR Altach,1,1,0.5
2018-2019,Regular season,2,2018-08-04,Wacker Innsbr,Sturm Graz,2,3,0.0
2018-2019,Regular season,2,2018-08-04,Mattersburg,RB Salzburg,0,2,0.0
2018-2019,Regular season,2,2018-08-05,LASK,St. Pölten,0,0,0.5
2018-2019,Regular season,2,2018-08-05,Wolfsberger AC,Austria Wien,1,0,1.0
2018-2019,Regular season,2,2018-08-05,Hartberg,Admira,0,1,0.0
2018-2019,Regular season,3,2018-08-11,RB Salzburg,Austria Wien,2,0,1.0
2018-2019,Regular season,3,2018-08-11,Hartberg,Mattersburg,4,2,1.0
2018-2019,Regular season,3,2018-08-11,SCR Altach,Wacker Innsbr,1,2,0.0
2018-2019,Regular season,3,2018-08-12,Admira,LASK,0,1,0.0
2018-2019,Regular season,3,2018-08-12,Rapid Wien,Wolfsberger AC,0,0,0.5
2018-2019,Regular season,3,2018-08-12,St. Pölten,Sturm Graz,2,0,1.0
2018-2019,Regular season,4,2018-08-18,Wacker Innsbr,St. Pölten,0,2,0.0
2018-2019,Regular season,4,2018-08-18,Mattersburg,Wolfsberger AC,0,6,0.0
2018-2019,Regular season,4,2018-08-18,RB Salzburg,Hartberg,2,0,1.0
2018-2019,Regular season,4,2018-08-19,Austria Wien,Admira,4,0,1.0
2018-2019,Regular season,4,2018-08-19,LASK,Rapid Wien,2,1,1.0
2018-2019,Regular season,4,2018-08-19,Sturm Graz,SCR Altach,1,1,0.5
2018-2019,Regular season,5,2018-08-25,St. Pölten,Austria Wien,0,0,0.5
2018-2019,Regular season,5,2018-08-25,Wolfsberger AC,Sturm Graz,1,1,0.5
2018-2019,Regular season,5,2018-08-25,SCR Altach,RB Salzburg,2,3,0.0
2018-2019,Regular season,5,2018-08-26,Admira,Mattersburg,0,0,0.5
2018-2019,Regular season,5,2018-08-26,Rapid Wien,Wacker Innsbr,2,1,1.0
2018-2019,Regular season,5,2018-08-26,Hartberg,LASK,0,1,0.0
2018-2019,Regular season,6,2018-09-01,Austria Wien,Mattersburg,2,1,1.0
2018-2019,Regular season,6,2018-09-01,Wacker Innsbr,Hartberg,2,1,1.0
2018-2019,Regular season,6,2018-09-01,SCR Altach,St. Pölten,1,2,0.0
2018-2019,Regular season,6,2018-09-02,Sturm Graz,Rapid Wien,1,1,0.5
2018-2019,Regular season,6,2018-09-02,RB Salzburg,Admira,3,1,1.0
2018-2019,Regular season,6,2018-09-02,LASK,Wolfsberger AC,2,0,1.0
2018-2019,Regular season,7,2018-09-15,St. Pölten,RB Salzburg,1,3,0.0
2018-2019,Regular season,7,2018-09-15,Hartberg,SCR Altach,2,1,1.0
2018-2019,Regular season,7,2018-09-15,Admira,Sturm Graz,2,3,0.0
2018-2019,Regular season,7,2018-09-16,Mattersburg,LASK,1,3,0.0
2018-2019,Regular season,7,2018-09-16,Wolfsberger AC,Wacker Innsbr,3,1,1.0
2018-2019,Regular season,7,2018-09-16,Rapid Wien,Austria Wien,0,1,0.0
2018-2019,Regular season,8,2018-09-22,SCR Altach,Wolfsberger AC,0,1,0.0
2018-2019,Regular season,8,2018-09-22,St. Pölten,Hartberg,3,0,1.0
