Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2018-2019,Regular season,1,2018-07-27,Standard Liège,Gent,3,2,1.0
2018-2019,Regular season,1,2018-07-28,Kortrijk,Anderlecht,1,4,0.0
2018-2019,Regular season,1,2018-07-28,Sint-Truiden,Cercle Brugge,0,0,0.5
2018-2019,Regular season,1,2018-07-28,Zulte Waregem,Waasland-Bev,2,2,0.5
2018-2019,Regular season,1,2018-07-28,Oostende,Excel Mouscron,2,1,1.0
2018-2019,Regular season,1,2018-07-29,Club Brugge,Eupen,5,2,1.0
2018-2019,Regular season,1,2018-07-29,Charleroi,Antwerp,0,1,0.0
2018-2019,Regular season,1,2018-07-29,Lokeren,Genk,0,4,0.0
2018-2019,Regular season,2,2018-08-03,Waasland-Bev,Standard Liège,0,0,0.5
2018-2019,Regular season,2,2018-08-04,Eupen,Charleroi,1,4,0.0
2018-2019,Regular season,2,2018-08-04,Antwerp,Kortrijk,0,0,0.5
2018-2019,Regular season,2,2018-08-04,Cercle Brugge,Lokeren,3,2,1.0
2018-2019,Regular season,2,2018-08-04,Gent,Zulte Waregem,1,1,0.5
2018-2019,Regular season,2,2018-08-05,Anderlecht,Oostende,5,2,1.0
2018-2019,Regular season,2,2018-08-05,Genk,Sint-Truiden,1,1,0.5
2018-2019,Regular season,2,2018-08-05,Excel Mouscron,Club Brugge,0,1,0.0
2018-2019,Regular season,3,2018-08-10,Club Brugge,Kortrijk,3,0,1.0
2018-2019,Regular season,3,2018-08-11,Standard Liège,Cercle Brugge,0,0,0.5
2018-2019,Regular season,3,2018-08-11,Zulte Waregem,Eupen,4,0,1.0
2018-2019,Regular season,3,2018-08-11,Sint-Truiden,Lokeren,1,1,0.5
2018-2019,Regular season,3,2018-08-11,Excel Mouscron,Antwerp,0,1,0.0
2018-2019,Regular season,3,2018-08-12,Oostende,Genk,0,2,0.0
2018-2019,Regular season,3,2018-08-12,Charleroi,Anderlecht,1,2,0.0
2018-2019,Regular season,3,2018-08-12,Gent,Waasland-Bev,4,1,1.0
2018-2019,Regular season,4,2018-08-17,Anderlecht,Excel Mouscron,2,0,1.0
2018-2019,Regular season,4,2018-08-18,Lokeren,Standard Liège,0,3,0.0
2018-2019,Regular season,4,2018-08-18,Waasland-Bev,Sint-Truiden,2,2,0.5
2018-2019,Regular season,4,2018-08-18,Cercle Brugge,Zulte Waregem,3,1,1.0
2018-2019,Regular season,4,2018-08-18,Kortrijk,Oostende,1,2,0.0
2018-2019,Regular season,4,2018-08-19,Antwerp,Club Brugge,1,1,0.5
2018-2019,Regular season,4,2018-08-19,Genk,Charleroi,3,1,1.0
2018-2019,Regular season,4,2018-08-19,Eupen,Gent,2,3,0.0
2018-2019,Regular season,5,2018-08-24,Oostende,Zulte Waregem,3,1,1.0
2018-2019,Regular season,5,2018-08-25,Standard Liège,Sint-Truiden,3,2,1.0
2018-2019,Regular season,5,2018-08-25,Excel Mouscron,Eupen,0,1,0.0
2018-2019,Regular season,5,2018-08-25,Antwerp,Cercle Brugge,1,0,1.0
2018-2019,Regular season,5,2018-08-25,Charleroi,Kortrijk,0,2,0.0
2018-2019,Regular season,5,2018-08-26,Club Brugge,Anderlecht,2,1,1.0
2018-2019,Regular season,5,2018-08-26,Gent,Lokeren,2,1,1.0
2018-2019,Regular season,5,2018-08-26,Genk,Waasland-Bev,3,2,1.0
2018-2019,Regular season,6,2018-08-31,Zulte Waregem,Club Brugge,2,5,0.0
2018-2019,Regular season,6,2018-09-01,Eupen,Standard Liège,2,1,1.0
2018-2019,Regular season,6,2018-09-01,Lokeren,Waasland-Bev,1,0,1.0
2018-2019,Regular season,6,2018-09-01,Sint-Truiden,Oostende,1,0,1.0
2018-2019,Regular season,6,2018-09-01,Charleroi,Excel Mouscron,3,1,1.0
2018-2019,Regular season,6,2018-09-02,Anderlecht,Antwerp,1,1,0.5
2018-2019,Regular season,6,2018-09-02,Cercle Brugge,Gent,0,3,0.0
2018-2019,Regular season,6,2018-09-02,Kortrijk,Genk,3,3,0.5
2018-2019,Regular season,7,2018-09-14,Club Brugge,Lokeren,2,1,1.0
2018-2019,Regular season,7,2018-09-15,Standard Liège,Charleroi,0,0,0.5
2018-2019,Regular season,7,2018-09-15,Oostende,Cercle Brugge,1,1,0.5
2018-2019,Regular season,7,2018-09-15,Waasland-Bev,Eupen,0,0,0.5
2018-2019,Regular season,7,2018-09-15,Genk,Anderlecht,1,0,1.0
2018-2019,Regular season,7,2018-09-16,Excel Mouscron,Kortrijk,1,0,1.0
2018-2019,Regular season,7,2018-09-16,Antwerp,Zulte Waregem,5,1,1.0
2018-2019,Regular season,7,2018-09-16,Gent,Sint-Truiden,1,2,0.0
2018-2019,Regular season,8,2018-09-21,Zulte Waregem,Kortrijk,0,2,0.0
2018-2019,Regular season,8,2018-09-22,Waasland-Bev,Charleroi,1,1,0.5
2018-2019,Regular season,8,2018-09-22,Eupen,Oostende,1,2,0.0
2018-2019,Regular season,8,2018-09-22,Lokeren,Excel Mouscron,0,0,0.5
2018-2019,Regular season,8,2018-09-22,Sint-Truiden,Antwerp,2,0,1.0
2018-2019,Regular season,8,2018-09-23,Gent,Club Brugge,0,4,0.0
2018-2019,Regular season,8,2018-09-23,Anderlecht,Standard Liège,2,1,1.0
2018-2019,Regular season,8,2018-09-23,Cercle Brugge,Genk,2,5,0.0
2018-2019,Regular season,9,2018-09-28,Kortrijk,Eupen,1,3,0.0
2018-2019,Regular season,9,2018-09-29,Genk,Zulte Waregem,4,0,1.0
2018-2019,Regular season,9,2018-09-29,Excel Mouscron,Waasland-Bev,0,3,0.0
2018-2019,Regular season,9,2018-09-29,Charleroi,Lokeren,2,1,1.0
2018-2019,Regular season,9,2018-09-29,Club Brugge,Cercle Brugge,4,0,1.0
2018-2019,Regular season,9,2018-09-30,Anderlecht,Sint-Truiden,0,0,0.5
2018-2019,Regular season,9,2018-09-30,Oostende,Standard Liège,1,3,0.0
2018-2019,Regular season,9,2018-09-30,Antwerp,Gent,2,2,0.5
2018-2019,Regular season,10,2018-10-05,Cercle Brugge,Charleroi,2,1,1.0
2018-2019,Regular season,10,2018-10-06,Eupen,Antwerp,1,2,0.0
2018-2019,Regular season,10,2018-10-06,Lokeren,Kortrijk,1,3,0.0
2018-2019,Regular season,10,2018-10-06,Sint-Truiden,Excel Mouscron,3,1,1.0
2018-2019,Regular season,10,2018-10-06,Waasland-Bev,Oostende,1,1,0.5
2018-2019,Regular season,10,2018-10-07,Zulte Waregem,Anderlecht,1,2,0.0
2018-2019,Regular season,10,2018-10-07,Standard Liège,Club Brugge,3,1,1.0
2018-2019,Regular season,10,2018-10-07,Gent,Genk,1,5,0.0
2018-2019,Regular season,11,2018-10-19,Club Brugge,Waasland-Bev,1,1,0.5
2018-2019,Regular season,11,2018-10-20,Excel Mouscron,Standard Liège,0,0,0.5
2018-2019,Regular season,11,2018-10-20,Antwerp,Lokeren,2,1,1.0
2018-2019,Regular season,11,2018-10-20,Kortrijk,Sint-Truiden,3,1,1.0
2018-2019,Regular season,11,2018-10-20,Genk,Eupen,2,1,1.0
2018-2019,Regular season,11,2018-10-21,Anderlecht,Cercle Brugge,4,2,1.0
2018-2019,Regular season,11,2018-10-21,Oostende,Gent,0,4,0.0
2018-2019,Regular season,11,2018-10-21,Charleroi,Zulte Waregem,3,2,1.0
2018-2019,Regular season,12,2018-10-26,Gent,Charleroi,2,1,1.0
2018-2019,Regular season,12,2018-10-27,Zulte Waregem,Excel Mouscron,2,2,0.5
2018-2019,Regular season,12,2018-10-27,Cercle Brugge,Kortrijk,1,1,0.5
2018-2019,Regular season,12,2018-10-27,Lokeren,Oostende,0,0,0.5
2018-2019,Regular season,12,2018-10-27,Sint-Truiden,Club Brugge,2,2,0.5
2018-2019,Regular season,12,2018-10-28,Standard Liège,Genk,1,1,0.5
2018-2019,Regular season,12,2018-10-28,Eupen,Anderlecht,2,1,1.0
2018-2019,Regular season,12,2018-10-28,Waasland-Bev,Antwerp,0,1,0.0
2018-2019,Regular season,13,2018-10-30,Charleroi,Sint-Truiden,1,0,1.0
2018-2019,Regular season,13,2018-10-30,Club Brugge,Oostende,4,0,1.0
2018-2019,Regular season,13,2018-10-30,Excel Mouscron,Gent,3,1,1.0
2018-2019,Regular season,13,2018-10-31,Antwerp,Genk,2,4,0.0
2018-2019,Regular season,13,2018-10-31,Eupen,Cercle Brugge,2,0,1.0
