Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,1,2019-07-26,Genk,Kortrijk,2.0,1.0,1.0
2019-2020,1,2019-07-27,Cercle Brugge,Standard Liège,0.0,2.0,0.0
2019-2020,1,2019-07-27,Sint-Truiden,Excel Mouscron,0.0,1.0,0.0
2019-2020,1,2019-07-27,Zulte Waregem,Mechelen,0.0,2.0,0.0
2019-2020,1,2019-07-27,Waasland-Bev,Club Brugge,1.0,3.0,0.0
2019-2020,1,2019-07-28,Anderlecht,Oostende,1.0,2.0,0.0
2019-2020,1,2019-07-28,Charleroi,Gent,1.0,1.0,0.5
2019-2020,1,2019-07-28,Eupen,Antwerp,1.0,4.0,0.0
2019-2020,2,2019-08-02,Club Brugge,Sint-Truiden,6.0,0.0,1.0
2019-2020,2,2019-08-03,Standard Liège,Zulte Waregem,4.0,0.0,1.0
2019-2020,2,2019-08-03,Kortrijk,Charleroi,1.0,1.0,0.5
2019-2020,2,2019-08-03,Oostende,Cercle Brugge,3.0,1.0,1.0
2019-2020,2,2019-08-03,Mechelen,Genk,3.0,1.0,1.0
2019-2020,2,2019-08-04,Gent,Eupen,6.0,1.0,1.0
2019-2020,2,2019-08-04,Excel Mouscron,Anderlecht,0.0,0.0,0.5
2019-2020,2,2019-08-04,Antwerp,Waasland-Bev,4.0,1.0,1.0
2019-2020,3,2019-08-09,Anderlecht,Mechelen,0.0,0.0,0.5
2019-2020,3,2019-08-10,Oostende,Club Brugge,0.0,2.0,0.0
2019-2020,3,2019-08-10,Eupen,Waasland-Bev,1.0,1.0,0.5
2019-2020,3,2019-08-10,Cercle Brugge,Kortrijk,1.0,3.0,0.0
2019-2020,3,2019-08-10,Genk,Zulte Waregem,0.0,2.0,0.0
2019-2020,3,2019-08-11,Sint-Truiden,Standard Liège,2.0,1.0,1.0
2019-2020,3,2019-08-11,Charleroi,Antwerp,2.0,1.0,1.0
2019-2020,3,2019-08-11,Excel Mouscron,Gent,2.0,1.0,1.0
2019-2020,4,2019-08-16,Club Brugge,Eupen,0.0,0.0,0.5
2019-2020,4,2019-08-17,Kortrijk,Anderlecht,4.0,2.0,1.0
2019-2020,4,2019-08-17,Mechelen,Cercle Brugge,3.0,1.0,1.0
2019-2020,4,2019-08-17,Waasland-Bev,Genk,0.0,4.0,0.0
2019-2020,4,2019-08-18,Standard Liège,Excel Mouscron,4.0,1.0,1.0
2019-2020,4,2019-08-18,Antwerp,Sint-Truiden,2.0,0.0,1.0
2019-2020,4,2019-08-18,Gent,Oostende,2.0,0.0,1.0
2019-2020,4,2019-08-19,Zulte Waregem,Charleroi,3.0,1.0,1.0
2019-2020,5,2019-08-23,Genk,Anderlecht,1.0,0.0,1.0
2019-2020,5,2019-08-24,Cercle Brugge,Waasland-Bev,1.0,0.0,1.0
2019-2020,5,2019-08-24,Sint-Truiden,Zulte Waregem,0.0,0.0,0.5
2019-2020,5,2019-08-24,Oostende,Mechelen,2.0,1.0,1.0
2019-2020,5,2019-08-25,Standard Liège,Kortrijk,2.0,1.0,1.0
2019-2020,5,2019-08-25,Excel Mouscron,Eupen,2.0,0.0,1.0
2019-2020,6,2019-08-30,Mechelen,Excel Mouscron,2.0,2.0,0.5
2019-2020,6,2019-08-31,Eupen,Sint-Truiden,0.0,2.0,0.0
2019-2020,6,2019-08-31,Kortrijk,Oostende,2.0,2.0,0.5
2019-2020,6,2019-08-31,Waasland-Bev,Charleroi,0.0,4.0,0.0
2019-2020,6,2019-09-01,Club Brugge,Genk,1.0,1.0,0.5
2019-2020,6,2019-09-01,Anderlecht,Standard Liège,1.0,0.0,1.0
2019-2020,6,2019-09-01,Zulte Waregem,Antwerp,2.0,0.0,1.0
2019-2020,6,2019-09-01,Gent,Cercle Brugge,3.0,2.0,1.0
2019-2020,7,2019-09-13,Charleroi,Genk,2.0,1.0,1.0
2019-2020,7,2019-09-14,Oostende,Standard Liège,1.0,4.0,0.0
2019-2020,7,2019-09-14,Eupen,Zulte Waregem,1.0,1.0,0.5
2019-2020,7,2019-09-14,Sint-Truiden,Waasland-Bev,1.0,1.0,0.5
2019-2020,7,2019-09-14,Cercle Brugge,Club Brugge,0.0,2.0,0.0
2019-2020,7,2019-09-15,Anderlecht,Antwerp,1.0,2.0,0.0
2019-2020,7,2019-09-15,Gent,Mechelen,3.0,0.0,1.0
2019-2020,7,2019-09-15,Excel Mouscron,Kortrijk,2.0,0.0,1.0
2019-2020,8,2019-09-20,Kortrijk,Mechelen,2.0,3.0,0.0
2019-2020,8,2019-09-21,Charleroi,Sint-Truiden,0.0,3.0,0.0
2019-2020,8,2019-09-21,Antwerp,Cercle Brugge,3.0,1.0,1.0
2019-2020,8,2019-09-21,Waasland-Bev,Excel Mouscron,1.0,1.0,0.5
2019-2020,8,2019-09-21,Genk,Oostende,3.0,1.0,1.0
2019-2020,8,2019-09-22,Standard Liège,Eupen,3.0,0.0,1.0
2019-2020,8,2019-09-22,Club Brugge,Anderlecht,2.0,1.0,1.0
2019-2020,8,2019-09-22,Zulte Waregem,Gent,2.0,2.0,0.5
2019-2020,9,2019-09-28,Mechelen,Club Brugge,0.0,5.0,0.0
2019-2020,9,2019-09-28,Cercle Brugge,Eupen,1.0,2.0,0.0
2019-2020,9,2019-09-28,Excel Mouscron,Zulte Waregem,2.0,2.0,0.5
2019-2020,9,2019-09-28,Gent,Kortrijk,2.0,0.0,1.0
2019-2020,9,2019-09-28,Sint-Truiden,Genk,3.0,3.0,0.5
2019-2020,9,2019-09-29,Anderlecht,Waasland-Bev,0.0,0.0,0.5
2019-2020,9,2019-09-29,Standard Liège,Charleroi,1.0,1.0,0.5
2019-2020,9,2019-09-29,Oostende,Antwerp,1.0,1.0,0.5
2019-2020,10,2019-10-04,Charleroi,Anderlecht,1.0,2.0,0.0
2019-2020,10,2019-10-05,Eupen,Mechelen,0.0,2.0,0.0
2019-2020,10,2019-10-05,Waasland-Bev,Oostende,3.0,1.0,1.0
2019-2020,10,2019-10-05,Zulte Waregem,Cercle Brugge,6.0,0.0,1.0
2019-2020,10,2019-10-05,Kortrijk,Sint-Truiden,4.0,0.0,1.0
