Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Regular season,1,2019-07-12,Botev Vratsa,Beroe,1,3,0.0
2019-2020,Regular season,1,2019-07-12,CSKA Sofia,Etar,2,2,0.5
2019-2020,Regular season,1,2019-07-13,Ludogorets,Tsarsko Selo,2,0,1.0
2019-2020,Regular season,1,2019-07-14,Arda,Botev Plovdiv,0,0,0.5
2019-2020,Regular season,1,2019-07-14,Slavia Sofia,Vitosha,3,2,1.0
2019-2020,Regular season,1,2019-07-14,Cherno More,Loko Plovdiv,3,1,1.0
2019-2020,Regular season,1,2019-07-15,Dunav Ruse,Levski Sofia,1,4,0.0
2019-2020,Regular season,2,2019-07-19,Tsarsko Selo,Arda,0,0,0.5
2019-2020,Regular season,2,2019-07-19,Loko Plovdiv,Slavia Sofia,3,2,1.0
2019-2020,Regular season,2,2019-07-20,CSKA Sofia,Cherno More,1,3,0.0
2019-2020,Regular season,2,2019-07-20,Beroe,Ludogorets,2,4,0.0
2019-2020,Regular season,2,2019-07-21,Botev Plovdiv,Dunav Ruse,3,1,1.0
2019-2020,Regular season,2,2019-07-21,Etar,Levski Sofia,0,0,0.5
2019-2020,Regular season,2,2019-07-22,Vitosha,Botev Vratsa,0,2,0.0
2019-2020,Regular season,3,2019-07-26,Dunav Ruse,Tsarsko Selo,3,1,1.0
2019-2020,Regular season,3,2019-07-27,Cherno More,Etar,1,1,0.5
2019-2020,Regular season,3,2019-07-27,Arda,Beroe,3,1,1.0
2019-2020,Regular season,3,2019-07-28,Botev Vratsa,Loko Plovdiv,1,4,0.0
2019-2020,Regular season,3,2019-07-28,Slavia Sofia,CSKA Sofia,1,2,0.0
2019-2020,Regular season,3,2019-07-29,Levski Sofia,Botev Plovdiv,3,1,1.0
2019-2020,Regular season,3,2019-07-29,Ludogorets,Vitosha,2,0,1.0
2019-2020,Regular season,4,2019-08-02,Vitosha,Arda,1,3,0.0
2019-2020,Regular season,4,2019-08-02,Cherno More,Slavia Sofia,0,0,0.5
2019-2020,Regular season,4,2019-08-03,Etar,Botev Plovdiv,2,2,0.5
2019-2020,Regular season,4,2019-08-03,Beroe,Dunav Ruse,2,0,1.0
