Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2024-2025,1,2024-07-19,Cherno More,CSKA 1948,0.0,0.0,0.5
2024-2025,1,2024-07-19,FK Levski 2005,Slavia Sofia,1.0,0.0,1.0
2024-2025,1,2024-07-20,Loko Plovdiv,Arda,1.0,0.0,1.0
2024-2025,1,2024-07-20,Lokomotiv Sofia,Levski Sofia,1.0,6.0,0.0
2024-2025,1,2024-07-21,Botev Vratsa,Botev Plovdiv,1.0,3.0,0.0
2024-2025,1,2024-07-21,Ludogorets,CSKA Sofia,1.0,0.0,1.0
2024-2025,1,2024-07-22,PFC Hebar Pazardzhik,FC Spartak Varna,0.0,2.0,0.0
2024-2025,1,2024-07-22,Septemvri Sofia,Beroe,0.0,1.0,0.0
2024-2025,2,2024-07-26,Arda,FK Levski 2005,1.0,0.0,1.0
2024-2025,2,2024-07-26,Levski Sofia,Botev Vratsa,4.0,0.0,1.0
2024-2025,2,2024-07-27,CSKA Sofia,PFC Hebar Pazardzhik,3.0,1.0,1.0
2024-2025,2,2024-07-28,CSKA 1948,FC Spartak Varna,2.0,2.0,0.5
2024-2025,2,2024-07-28,Botev Plovdiv,Loko Plovdiv,2.0,2.0,0.5
2024-2025,2,2024-07-29,Beroe,Lokomotiv Sofia,0.0,0.0,0.5
2024-2025,2,2024-07-29,Cherno More,Septemvri Sofia,2.0,0.0,1.0
2024-2025,3,2024-08-02,PFC Hebar Pazardzhik,Slavia Sofia,1.0,1.0,0.5
2024-2025,3,2024-08-02,Loko Plovdiv,Levski Sofia,0.0,2.0,0.0
2024-2025,3,2024-08-03,FC Spartak Varna,CSKA Sofia,3.0,0.0,1.0
2024-2025,3,2024-08-03,Ludogorets,Arda,5.0,1.0,1.0
2024-2025,3,2024-08-04,Lokomotiv Sofia,Cherno More,2.0,1.0,1.0
2024-2025,3,2024-08-04,FK Levski 2005,Botev Plovdiv,0.0,1.0,0.0
2024-2025,3,2024-08-05,Botev Vratsa,Beroe,1.0,2.0,0.0
2024-2025,4,2024-08-09,Slavia Sofia,FC Spartak Varna,3.0,1.0,1.0
2024-2025,4,2024-08-09,Arda,PFC Hebar Pazardzhik,2.0,1.0,1.0
2024-2025,4,2024-08-10,Beroe,Loko Plovdiv,0.0,2.0,0.0
2024-2025,4,2024-08-10,Levski Sofia,FK Levski 2005,3.0,0.0,1.0
2024-2025,4,2024-08-12,Septemvri Sofia,Lokomotiv Sofia,0.0,1.0,0.0
2024-2025,4,2024-08-12,Cherno More,Botev Vratsa,2.0,1.0,1.0
2024-2025,5,2024-08-16,FC Spartak Varna,Arda,1.0,0.0,1.0
2024-2025,5,2024-08-16,FK Levski 2005,Beroe,0.0,1.0,0.0
2024-2025,5,2024-08-17,CSKA Sofia,Slavia Sofia,0.0,1.0,0.0
2024-2025,5,2024-08-17,Ludogorets,Levski Sofia,1.0,0.0,1.0
2024-2025,5,2024-08-18,Lokomotiv Sofia,CSKA 1948,0.0,0.0,0.5
2024-2025,5,2024-08-18,PFC Hebar Pazardzhik,Botev Plovdiv,0.0,1.0,0.0
2024-2025,5,2024-08-19,Botev Vratsa,Septemvri Sofia,2.0,0.0,1.0
2024-2025,5,2024-08-19,Loko Plovdiv,Cherno More,1.0,2.0,0.0
2024-2025,6,2024-08-23,Lokomotiv Sofia,Botev Vratsa,0.0,1.0,0.0
2024-2025,6,2024-08-23,Levski Sofia,PFC Hebar Pazardzhik,1.0,0.0,1.0
2024-2025,6,2024-08-24,Arda,CSKA Sofia,2.0,1.0,1.0
2024-2025,6,2024-08-24,Botev Plovdiv,FC Spartak Varna,0.0,1.0,0.0
2024-2025,6,2024-08-25,CSKA 1948,Slavia Sofia,2.0,0.0,1.0
2024-2025,6,2024-08-25,Beroe,Ludogorets,0.0,1.0,0.0
2024-2025,6,2024-08-26,Septemvri Sofia,Loko Plovdiv,2.0,3.0,0.0
2024-2025,6,2024-08-26,Cherno More,FK Levski 2005,3.0,0.0,1.0
2024-2025,7,2024-08-30,Slavia Sofia,Arda,1.0,1.0,0.5
2024-2025,7,2024-08-30,Botev Vratsa,CSKA 1948,0.0,3.0,0.0
2024-2025,7,2024-08-30,CSKA Sofia,Botev Plovdiv,0.0,1.0,0.0
2024-2025,7,2024-08-31,FC Spartak Varna,Levski Sofia,0.0,0.0,0.5
2024-2025,7,2024-08-31,FK Levski 2005,Septemvri Sofia,2.0,0.0,1.0
2024-2025,7,2024-09-01,Loko Plovdiv,Lokomotiv Sofia,1.0,1.0,0.5
2024-2025,7,2024-09-01,PFC Hebar Pazardzhik,Beroe,3.0,1.0,1.0
2024-2025,7,2024-09-01,Ludogorets,Cherno More,0.0,0.0,0.5
2024-2025,12,2024-09-13,Loko Plovdiv,PFC Hebar Pazardzhik,3.0,3.0,0.5
2024-2025,12,2024-09-13,Botev Vratsa,FC Spartak Varna,1.0,1.0,0.5
2024-2025,12,2024-09-14,Septemvri Sofia,Slavia Sofia,3.0,2.0,1.0
2024-2025,12,2024-09-14,Beroe,Botev Plovdiv,0.0,1.0,0.0
2024-2025,12,2024-09-15,Cherno More,Arda,1.0,1.0,0.5
2024-2025,12,2024-09-15,CSKA 1948,Levski Sofia,2.0,4.0,0.0
2024-2025,12,2024-09-15,FK Levski 2005,Ludogorets,0.0,3.0,0.0
2024-2025,12,2024-09-16,Lokomotiv Sofia,CSKA Sofia,0.0,3.0,0.0
2024-2025,2,2024-09-18,Slavia Sofia,Ludogorets,0.0,1.0,0.0
2024-2025,9,2024-09-19,Loko Plovdiv,CSKA 1948,0.0,2.0,0.0
2024-2025,9,2024-09-20,PFC Hebar Pazardzhik,Septemvri Sofia,1.0,2.0,0.0
2024-2025,9,2024-09-21,CSKA Sofia,Beroe,1.0,0.0,1.0
2024-2025,9,2024-09-21,Ludogorets,Lokomotiv Sofia,2.0,0.0,1.0
2024-2025,9,2024-09-22,Slavia Sofia,Levski Sofia,0.0,1.0,0.0
2024-2025,9,2024-09-22,FC Spartak Varna,Cherno More,0.0,2.0,0.0
2024-2025,9,2024-09-23,FK Levski 2005,Botev Vratsa,3.0,0.0,1.0
2024-2025,9,2024-09-23,Arda,Botev Plovdiv,1.0,0.0,1.0
2024-2025,3,2024-09-25,Septemvri Sofia,CSKA 1948,1.0,1.0,0.5
2024-2025,10,2024-09-27,Lokomotiv Sofia,PFC Hebar Pazardzhik,0.0,0.0,0.5
2024-2025,10,2024-09-27,Beroe,Slavia Sofia,1.0,0.0,1.0
2024-2025,10,2024-09-28,Loko Plovdiv,FK Levski 2005,0.0,2.0,0.0
2024-2025,10,2024-09-28,Cherno More,CSKA Sofia,0.0,0.0,0.5
2024-2025,10,2024-09-29,CSKA 1948,Botev Plovdiv,0.0,1.0,0.0
2024-2025,10,2024-09-29,Levski Sofia,Arda,2.0,1.0,1.0
2024-2025,10,2024-09-29,Botev Vratsa,Ludogorets,0.0,2.0,0.0
2024-2025,10,2024-09-30,Septemvri Sofia,FC Spartak Varna,0.0,1.0,0.0
2024-2025,11,2024-10-04,FK Levski 2005,CSKA 1948,1.0,1.0,0.5
2024-2025,11,2024-10-04,Arda,Beroe,1.0,1.0,0.5
2024-2025,11,2024-10-04,Slavia Sofia,Cherno More,1.0,0.0,1.0
2024-2025,11,2024-10-05,CSKA Sofia,Septemvri Sofia,0.0,1.0,0.0
2024-2025,11,2024-10-05,Botev Plovdiv,Levski Sofia,1.0,0.0,1.0
2024-2025,11,2024-10-06,PFC Hebar Pazardzhik,Botev Vratsa,1.0,1.0,0.5
2024-2025,11,2024-10-06,FC Spartak Varna,Lokomotiv Sofia,3.0,2.0,1.0
2024-2025,11,2024-10-06,Ludogorets,Loko Plovdiv,1.0,0.0,1.0
2024-2025,8,2024-10-18,Beroe,FC Spartak Varna,3.0,0.0,1.0
2024-2025,8,2024-10-18,Botev Vratsa,Loko Plovdiv,0.0,0.0,0.5
