Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,Bundesliga,1,2015-08-14,Bayern Munich,Hamburger SV,5,0,1.0
2015-2016,Bundesliga,1,2015-08-15,Augsburg,Hertha BSC,0,1,0.0
2015-2016,Bundesliga,1,2015-08-15,Leverkusen,Hoffenheim,2,1,1.0
2015-2016,Bundesliga,1,2015-08-15,Darmstadt 98,Hannover 96,2,2,0.5
2015-2016,Bundesliga,1,2015-08-15,Mainz 05,Ingolstadt 04,0,1,0.0
2015-2016,Bundesliga,1,2015-08-15,Werder Bremen,Schalke 04,0,3,0.0
2015-2016,Bundesliga,1,2015-08-15,Dortmund,Gladbach,4,0,1.0
2015-2016,Bundesliga,1,2015-08-16,Wolfsburg,Eint Frankfurt,2,1,1.0
2015-2016,Bundesliga,1,2015-08-16,Stuttgart,Köln,1,3,0.0
2015-2016,Bundesliga,2,2015-08-21,Hertha BSC,Werder Bremen,1,1,0.5
2015-2016,Bundesliga,2,2015-08-22,Eint Frankfurt,Augsburg,1,1,0.5
2015-2016,Bundesliga,2,2015-08-22,Hannover 96,Leverkusen,0,1,0.0
2015-2016,Bundesliga,2,2015-08-22,Schalke 04,Darmstadt 98,1,1,0.5
2015-2016,Bundesliga,2,2015-08-22,Hoffenheim,Bayern Munich,1,2,0.0
2015-2016,Bundesliga,2,2015-08-22,Köln,Wolfsburg,1,1,0.5
2015-2016,Bundesliga,2,2015-08-22,Hamburger SV,Stuttgart,3,2,1.0
2015-2016,Bundesliga,2,2015-08-23,Ingolstadt 04,Dortmund,0,4,0.0
2015-2016,Bundesliga,2,2015-08-23,Gladbach,Mainz 05,1,2,0.0
2015-2016,Bundesliga,3,2015-08-28,Wolfsburg,Schalke 04,3,0,1.0
2015-2016,Bundesliga,3,2015-08-29,Darmstadt 98,Hoffenheim,0,0,0.5
2015-2016,Bundesliga,3,2015-08-29,Augsburg,Ingolstadt 04,0,1,0.0
2015-2016,Bundesliga,3,2015-08-29,Köln,Hamburger SV,2,1,1.0
2015-2016,Bundesliga,3,2015-08-29,Mainz 05,Hannover 96,3,0,1.0
2015-2016,Bundesliga,3,2015-08-29,Stuttgart,Eint Frankfurt,1,4,0.0
2015-2016,Bundesliga,3,2015-08-29,Bayern Munich,Leverkusen,3,0,1.0
2015-2016,Bundesliga,3,2015-08-30,Dortmund,Hertha BSC,3,1,1.0
2015-2016,Bundesliga,3,2015-08-30,Werder Bremen,Gladbach,2,1,1.0
2015-2016,Bundesliga,4,2015-09-11,Gladbach,Hamburger SV,0,3,0.0
2015-2016,Bundesliga,4,2015-09-12,Bayern Munich,Augsburg,2,1,1.0
2015-2016,Bundesliga,4,2015-09-12,Leverkusen,Darmstadt 98,0,1,0.0
2015-2016,Bundesliga,4,2015-09-12,Ingolstadt 04,Wolfsburg,0,0,0.5
2015-2016,Bundesliga,4,2015-09-12,Hertha BSC,Stuttgart,2,1,1.0
2015-2016,Bundesliga,4,2015-09-12,Hannover 96,Dortmund,2,4,0.0
2015-2016,Bundesliga,4,2015-09-12,Eint Frankfurt,Köln,6,2,1.0
2015-2016,Bundesliga,4,2015-09-13,Hoffenheim,Werder Bremen,1,3,0.0
2015-2016,Bundesliga,4,2015-09-13,Schalke 04,Mainz 05,2,1,1.0
2015-2016,Bundesliga,5,2015-09-18,Mainz 05,Hoffenheim,3,1,1.0
2015-2016,Bundesliga,5,2015-09-19,Köln,Gladbach,1,0,1.0
2015-2016,Bundesliga,5,2015-09-19,Wolfsburg,Hertha BSC,2,0,1.0
2015-2016,Bundesliga,5,2015-09-19,Hamburger SV,Eint Frankfurt,0,0,0.5
2015-2016,Bundesliga,5,2015-09-19,Werder Bremen,Ingolstadt 04,0,1,0.0
2015-2016,Bundesliga,5,2015-09-19,Darmstadt 98,Bayern Munich,0,3,0.0
2015-2016,Bundesliga,5,2015-09-20,Stuttgart,Schalke 04,0,1,0.0
2015-2016,Bundesliga,5,2015-09-20,Augsburg,Hannover 96,2,0,1.0
2015-2016,Bundesliga,5,2015-09-20,Dortmund,Leverkusen,3,0,1.0
2015-2016,Bundesliga,6,2015-09-22,Ingolstadt 04,Hamburger SV,0,1,0.0
2015-2016,Bundesliga,6,2015-09-22,Bayern Munich,Wolfsburg,5,1,1.0
2015-2016,Bundesliga,6,2015-09-22,Hertha BSC,Köln,2,0,1.0
2015-2016,Bundesliga,6,2015-09-22,Darmstadt 98,Werder Bremen,2,1,1.0
2015-2016,Bundesliga,6,2015-09-23,Hoffenheim,Dortmund,1,1,0.5
2015-2016,Bundesliga,6,2015-09-23,Hannover 96,Stuttgart,1,3,0.0
2015-2016,Bundesliga,6,2015-09-23,Leverkusen,Mainz 05,1,0,1.0
2015-2016,Bundesliga,6,2015-09-23,Gladbach,Augsburg,4,2,1.0
2015-2016,Bundesliga,6,2015-09-23,Schalke 04,Eint Frankfurt,2,0,1.0
2015-2016,Bundesliga,7,2015-09-25,Köln,Ingolstadt 04,1,1,0.5
2015-2016,Bundesliga,7,2015-09-26,Augsburg,Hoffenheim,1,3,0.0
2015-2016,Bundesliga,7,2015-09-26,Wolfsburg,Hannover 96,1,1,0.5
2015-2016,Bundesliga,7,2015-09-26,Stuttgart,Gladbach,1,3,0.0
2015-2016,Bundesliga,7,2015-09-26,Mainz 05,Bayern Munich,0,3,0.0
2015-2016,Bundesliga,7,2015-09-26,Werder Bremen,Leverkusen,0,3,0.0
2015-2016,Bundesliga,7,2015-09-26,Hamburger SV,Schalke 04,0,1,0.0
2015-2016,Bundesliga,7,2015-09-27,Eint Frankfurt,Hertha BSC,1,1,0.5
2015-2016,Bundesliga,7,2015-09-27,Dortmund,Darmstadt 98,2,2,0.5
2015-2016,Bundesliga,8,2015-10-02,Darmstadt 98,Mainz 05,2,3,0.0
2015-2016,Bundesliga,8,2015-10-03,Gladbach,Wolfsburg,2,0,1.0
2015-2016,Bundesliga,8,2015-10-03,Hoffenheim,Stuttgart,2,2,0.5
2015-2016,Bundesliga,8,2015-10-03,Hannover 96,Werder Bremen,1,0,1.0
2015-2016,Bundesliga,8,2015-10-03,Hertha BSC,Hamburger SV,3,0,1.0
2015-2016,Bundesliga,8,2015-10-03,Ingolstadt 04,Eint Frankfurt,2,0,1.0
2015-2016,Bundesliga,8,2015-10-04,Schalke 04,Köln,0,3,0.0
2015-2016,Bundesliga,8,2015-10-04,Leverkusen,Augsburg,1,1,0.5
2015-2016,Bundesliga,8,2015-10-04,Bayern Munich,Dortmund,5,1,1.0
2015-2016,Bundesliga,9,2015-10-16,Mainz 05,Dortmund,0,2,0.0
2015-2016,Bundesliga,9,2015-10-17,Werder Bremen,Bayern Munich,0,1,0.0
2015-2016,Bundesliga,9,2015-10-17,Augsburg,Darmstadt 98,0,2,0.0
2015-2016,Bundesliga,9,2015-10-17,Wolfsburg,Hoffenheim,4,2,1.0
2015-2016,Bundesliga,9,2015-10-17,Schalke 04,Hertha BSC,2,1,1.0
2015-2016,Bundesliga,9,2015-10-17,Hamburger SV,Leverkusen,0,0,0.5
2015-2016,Bundesliga,9,2015-10-17,Eint Frankfurt,Gladbach,1,5,0.0
2015-2016,Bundesliga,9,2015-10-18,Köln,Hannover 96,0,1,0.0
2015-2016,Bundesliga,9,2015-10-18,Stuttgart,Ingolstadt 04,1,0,1.0
2015-2016,Bundesliga,10,2015-10-23,Hoffenheim,Hamburger SV,0,1,0.0
2015-2016,Bundesliga,10,2015-10-24,Darmstadt 98,Wolfsburg,0,1,0.0
2015-2016,Bundesliga,10,2015-10-24,Mainz 05,Werder Bremen,1,3,0.0
2015-2016,Bundesliga,10,2015-10-24,Hannover 96,Eint Frankfurt,1,2,0.0
2015-2016,Bundesliga,10,2015-10-24,Bayern Munich,Köln,4,0,1.0
2015-2016,Bundesliga,10,2015-10-24,Leverkusen,Stuttgart,4,3,1.0
2015-2016,Bundesliga,10,2015-10-24,Ingolstadt 04,Hertha BSC,0,1,0.0
2015-2016,Bundesliga,10,2015-10-25,Dortmund,Augsburg,5,1,1.0
2015-2016,Bundesliga,10,2015-10-25,Gladbach,Schalke 04,3,1,1.0
2015-2016,Bundesliga,11,2015-10-30,Eint Frankfurt,Bayern Munich,0,0,0.5
2015-2016,Bundesliga,11,2015-10-31,Augsburg,Mainz 05,3,3,0.5
2015-2016,Bundesliga,11,2015-10-31,Werder Bremen,Dortmund,1,3,0.0
2015-2016,Bundesliga,11,2015-10-31,Schalke 04,Ingolstadt 04,1,1,0.5
2015-2016,Bundesliga,11,2015-10-31,Hertha BSC,Gladbach,1,4,0.0
2015-2016,Bundesliga,11,2015-10-31,Köln,Hoffenheim,0,0,0.5
2015-2016,Bundesliga,11,2015-10-31,Wolfsburg,Leverkusen,2,1,1.0
2015-2016,Bundesliga,11,2015-11-01,Stuttgart,Darmstadt 98,2,0,1.0
2015-2016,Bundesliga,11,2015-11-01,Hamburger SV,Hannover 96,1,2,0.0
2015-2016,Bundesliga,12,2015-11-06,Hannover 96,Hertha BSC,1,3,0.0
2015-2016,Bundesliga,12,2015-11-07,Mainz 05,Wolfsburg,2,0,1.0
2015-2016,Bundesliga,12,2015-11-07,Hoffenheim,Eint Frankfurt,0,0,0.5
2015-2016,Bundesliga,12,2015-11-07,Leverkusen,Köln,1,2,0.0
2015-2016,Bundesliga,12,2015-11-07,Bayern Munich,Stuttgart,4,0,1.0
2015-2016,Bundesliga,12,2015-11-07,Gladbach,Ingolstadt 04,0,0,0.5
2015-2016,Bundesliga,12,2015-11-07,Darmstadt 98,Hamburger SV,1,1,0.5
2015-2016,Bundesliga,12,2015-11-08,Dortmund,Schalke 04,3,2,1.0
2015-2016,Bundesliga,12,2015-11-08,Augsburg,Werder Bremen,1,2,0.0
2015-2016,Bundesliga,13,2015-11-20,Hamburger SV,Dortmund,3,1,1.0
2015-2016,Bundesliga,13,2015-11-21,Gladbach,Hannover 96,2,1,1.0
2015-2016,Bundesliga,13,2015-11-21,Köln,Mainz 05,0,0,0.5
2015-2016,Bundesliga,13,2015-11-21,Wolfsburg,Werder Bremen,6,0,1.0
2015-2016,Bundesliga,13,2015-11-21,Eint Frankfurt,Leverkusen,1,3,0.0
2015-2016,Bundesliga,13,2015-11-21,Stuttgart,Augsburg,0,4,0.0
2015-2016,Bundesliga,13,2015-11-21,Schalke 04,Bayern Munich,1,3,0.0
2015-2016,Bundesliga,13,2015-11-22,Hertha BSC,Hoffenheim,1,0,1.0
2015-2016,Bundesliga,13,2015-11-22,Ingolstadt 04,Darmstadt 98,3,1,1.0
2015-2016,Bundesliga,14,2015-11-27,Darmstadt 98,Köln,0,0,0.5
2015-2016,Bundesliga,14,2015-11-28,Hoffenheim,Gladbach,3,3,0.5
2015-2016,Bundesliga,14,2015-11-28,Werder Bremen,Hamburger SV,1,3,0.0
2015-2016,Bundesliga,14,2015-11-28,Bayern Munich,Hertha BSC,2,0,1.0
2015-2016,Bundesliga,14,2015-11-28,Mainz 05,Eint Frankfurt,2,1,1.0
2015-2016,Bundesliga,14,2015-11-28,Hannover 96,Ingolstadt 04,4,0,1.0
2015-2016,Bundesliga,14,2015-11-29,Dortmund,Stuttgart,4,1,1.0
2015-2016,Bundesliga,14,2015-11-29,Leverkusen,Schalke 04,1,1,0.5
2015-2016,Bundesliga,14,2015-11-29,Augsburg,Wolfsburg,0,0,0.5
2015-2016,Bundesliga,15,2015-12-04,Schalke 04,Hannover 96,3,1,1.0
2015-2016,Bundesliga,15,2015-12-05,Köln,Augsburg,0,1,0.0
2015-2016,Bundesliga,15,2015-12-05,Gladbach,Bayern Munich,3,1,1.0
2015-2016,Bundesliga,15,2015-12-05,Hertha BSC,Leverkusen,2,1,1.0
2015-2016,Bundesliga,15,2015-12-05,Hamburger SV,Mainz 05,1,3,0.0
2015-2016,Bundesliga,15,2015-12-05,Ingolstadt 04,Hoffenheim,1,1,0.5
2015-2016,Bundesliga,15,2015-12-05,Wolfsburg,Dortmund,1,2,0.0
2015-2016,Bundesliga,15,2015-12-06,Stuttgart,Werder Bremen,1,1,0.5
2015-2016,Bundesliga,15,2015-12-06,Eint Frankfurt,Darmstadt 98,0,1,0.0
2015-2016,Bundesliga,16,2015-12-11,Mainz 05,Stuttgart,0,0,0.5
2015-2016,Bundesliga,16,2015-12-12,Bayern Munich,Ingolstadt 04,2,0,1.0
2015-2016,Bundesliga,16,2015-12-12,Hoffenheim,Hannover 96,1,0,1.0
2015-2016,Bundesliga,16,2015-12-12,Wolfsburg,Hamburger SV,1,1,0.5
2015-2016,Bundesliga,16,2015-12-12,Werder Bremen,Köln,1,1,0.5
2015-2016,Bundesliga,16,2015-12-12,Darmstadt 98,Hertha BSC,0,4,0.0
2015-2016,Bundesliga,16,2015-12-12,Leverkusen,Gladbach,5,0,1.0
2015-2016,Bundesliga,16,2015-12-13,Augsburg,Schalke 04,2,1,1.0
2015-2016,Bundesliga,16,2015-12-13,Dortmund,Eint Frankfurt,4,1,1.0
2015-2016,Bundesliga,17,2015-12-18,Schalke 04,Hoffenheim,1,0,1.0
2015-2016,Bundesliga,17,2015-12-19,Hannover 96,Bayern Munich,0,1,0.0
2015-2016,Bundesliga,17,2015-12-19,Hamburger SV,Augsburg,0,1,0.0
2015-2016,Bundesliga,17,2015-12-19,Ingolstadt 04,Leverkusen,0,1,0.0
2015-2016,Bundesliga,17,2015-12-19,Köln,Dortmund,2,1,1.0
2015-2016,Bundesliga,17,2015-12-19,Eint Frankfurt,Werder Bremen,2,1,1.0
2015-2016,Bundesliga,17,2015-12-19,Stuttgart,Wolfsburg,3,1,1.0
2015-2016,Bundesliga,17,2015-12-20,Hertha BSC,Mainz 05,2,0,1.0
2015-2016,Bundesliga,17,2015-12-20,Gladbach,Darmstadt 98,3,2,1.0
2015-2016,Bundesliga,18,2016-01-22,Hamburger SV,Bayern Munich,1,2,0.0
2015-2016,Bundesliga,18,2016-01-23,Hertha BSC,Augsburg,0,0,0.5
2015-2016,Bundesliga,18,2016-01-23,Hannover 96,Darmstadt 98,1,2,0.0
2015-2016,Bundesliga,18,2016-01-23,Köln,Stuttgart,1,3,0.0
2015-2016,Bundesliga,18,2016-01-23,Hoffenheim,Leverkusen,1,1,0.5
2015-2016,Bundesliga,18,2016-01-23,Ingolstadt 04,Mainz 05,1,0,1.0
2015-2016,Bundesliga,18,2016-01-23,Gladbach,Dortmund,1,3,0.0
2015-2016,Bundesliga,18,2016-01-24,Eint Frankfurt,Wolfsburg,3,2,1.0
2015-2016,Bundesliga,18,2016-01-24,Schalke 04,Werder Bremen,1,3,0.0
2015-2016,Bundesliga,19,2016-01-29,Mainz 05,Gladbach,1,0,1.0
2015-2016,Bundesliga,19,2016-01-30,Augsburg,Eint Frankfurt,0,0,0.5
2015-2016,Bundesliga,19,2016-01-30,Werder Bremen,Hertha BSC,3,3,0.5
2015-2016,Bundesliga,19,2016-01-30,Dortmund,Ingolstadt 04,2,0,1.0
2015-2016,Bundesliga,19,2016-01-30,Leverkusen,Hannover 96,3,0,1.0
2015-2016,Bundesliga,19,2016-01-30,Darmstadt 98,Schalke 04,0,2,0.0
2015-2016,Bundesliga,19,2016-01-30,Stuttgart,Hamburger SV,2,1,1.0
2015-2016,Bundesliga,19,2016-01-31,Wolfsburg,Köln,1,1,0.5
2015-2016,Bundesliga,19,2016-01-31,Bayern Munich,Hoffenheim,2,0,1.0
2015-2016,Bundesliga,20,2016-02-05,Gladbach,Werder Bremen,5,1,1.0
2015-2016,Bundesliga,20,2016-02-06,Hertha BSC,Dortmund,0,0,0.5
2015-2016,Bundesliga,20,2016-02-06,Hannover 96,Mainz 05,0,1,0.0
2015-2016,Bundesliga,20,2016-02-06,Ingolstadt 04,Augsburg,2,1,1.0
2015-2016,Bundesliga,20,2016-02-06,Schalke 04,Wolfsburg,3,0,1.0
2015-2016,Bundesliga,20,2016-02-06,Eint Frankfurt,Stuttgart,2,4,0.0
2015-2016,Bundesliga,20,2016-02-06,Leverkusen,Bayern Munich,0,0,0.5
2015-2016,Bundesliga,20,2016-02-07,Hamburger SV,Köln,1,1,0.5
2015-2016,Bundesliga,20,2016-02-07,Hoffenheim,Darmstadt 98,0,2,0.0
2015-2016,Bundesliga,21,2016-02-12,Mainz 05,Schalke 04,2,1,1.0
2015-2016,Bundesliga,21,2016-02-13,Wolfsburg,Ingolstadt 04,2,0,1.0
2015-2016,Bundesliga,21,2016-02-13,Stuttgart,Hertha BSC,2,0,1.0
2015-2016,Bundesliga,21,2016-02-13,Dortmund,Hannover 96,1,0,1.0
2015-2016,Bundesliga,21,2016-02-13,Darmstadt 98,Leverkusen,1,2,0.0
