Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2018-2019,Regular season,1,2018-07-20,Dukla Prague,Viktoria Plzeň,1,3,0.0
2018-2019,Regular season,1,2018-07-21,Fastav Zlín,Mladá Boleslav,3,2,1.0
2018-2019,Regular season,1,2018-07-21,Příbram,Teplice,1,1,0.5
2018-2019,Regular season,1,2018-07-21,Slovan Liberec,Karviná,1,0,1.0
2018-2019,Regular season,1,2018-07-21,Sparta Prague,Opava,2,0,1.0
2018-2019,Regular season,1,2018-07-22,Bohemians 1905,Slovácko,2,1,1.0
2018-2019,Regular season,1,2018-07-22,Sigma Olomouc,Slavia Prague,0,3,0.0
2018-2019,Regular season,1,2018-07-23,Baník Ostrava,Jablonec,1,0,1.0
2018-2019,Regular season,2,2018-07-27,Mladá Boleslav,Sigma Olomouc,0,4,0.0
2018-2019,Regular season,2,2018-07-28,Slovácko,Baník Ostrava,2,1,1.0
2018-2019,Regular season,2,2018-07-28,Příbram,Bohemians 1905,4,2,1.0
2018-2019,Regular season,2,2018-07-28,Opava,Fastav Zlín,1,2,0.0
2018-2019,Regular season,2,2018-07-28,Slavia Prague,Karviná,4,0,1.0
2018-2019,Regular season,2,2018-07-29,Teplice,Dukla Prague,5,2,1.0
2018-2019,Regular season,2,2018-07-29,Jablonec,Sparta Prague,1,2,0.0
2018-2019,Regular season,2,2018-07-30,Viktoria Plzeň,Slovan Liberec,1,0,1.0
2018-2019,Regular season,3,2018-08-03,Slavia Prague,Opava,3,1,1.0
2018-2019,Regular season,3,2018-08-04,Fastav Zlín,Jablonec,1,1,0.5
2018-2019,Regular season,3,2018-08-04,Slovan Liberec,Teplice,2,2,0.5
2018-2019,Regular season,3,2018-08-04,Baník Ostrava,Příbram,3,0,1.0
2018-2019,Regular season,3,2018-08-04,Sigma Olomouc,Viktoria Plzeň,0,1,0.0
2018-2019,Regular season,3,2018-08-05,Karviná,Mladá Boleslav,3,4,0.0
2018-2019,Regular season,3,2018-08-05,Sparta Prague,Slovácko,1,0,1.0
2018-2019,Regular season,3,2018-08-06,Dukla Prague,Bohemians 1905,0,1,0.0
2018-2019,Regular season,4,2018-08-10,Mladá Boleslav,Slavia Prague,0,1,0.0
2018-2019,Regular season,4,2018-08-11,Jablonec,Karviná,4,1,1.0
2018-2019,Regular season,4,2018-08-11,Příbram,Dukla Prague,4,0,1.0
2018-2019,Regular season,4,2018-08-11,Opava,Slovan Liberec,1,1,0.5
2018-2019,Regular season,4,2018-08-11,Viktoria Plzeň,Fastav Zlín,1,0,1.0
2018-2019,Regular season,4,2018-08-12,Slovácko,Sigma Olomouc,3,1,1.0
2018-2019,Regular season,4,2018-08-12,Teplice,Sparta Prague,0,4,0.0
2018-2019,Regular season,4,2018-08-13,Bohemians 1905,Baník Ostrava,0,1,0.0
2018-2019,Regular season,5,2018-08-17,Dukla Prague,Slovácko,1,2,0.0
2018-2019,Regular season,5,2018-08-18,Fastav Zlín,Teplice,1,0,1.0
2018-2019,Regular season,5,2018-08-18,Mladá Boleslav,Opava,6,1,1.0
2018-2019,Regular season,5,2018-08-18,Slovan Liberec,Bohemians 1905,1,1,0.5
2018-2019,Regular season,5,2018-08-18,Slavia Prague,Jablonec,0,2,0.0
2018-2019,Regular season,5,2018-08-19,Karviná,Viktoria Plzeň,0,1,0.0
2018-2019,Regular season,5,2018-08-19,Sparta Prague,Příbram,2,2,0.5
2018-2019,Regular season,5,2018-08-20,Sigma Olomouc,Baník Ostrava,1,4,0.0
2018-2019,Regular season,6,2018-08-24,Bohemians 1905,Sparta Prague,1,1,0.5
2018-2019,Regular season,6,2018-08-25,Příbram,Slovan Liberec,1,3,0.0
2018-2019,Regular season,6,2018-08-25,Baník Ostrava,Dukla Prague,2,0,1.0
2018-2019,Regular season,6,2018-08-25,Opava,Karviná,1,3,0.0
2018-2019,Regular season,6,2018-08-25,Teplice,Slavia Prague,0,3,0.0
2018-2019,Regular season,6,2018-08-26,Viktoria Plzeň,Mladá Boleslav,6,1,1.0
2018-2019,Regular season,6,2018-08-26,Jablonec,Sigma Olomouc,3,0,1.0
2018-2019,Regular season,6,2018-08-27,Slovácko,Fastav Zlín,0,4,0.0
2018-2019,Regular season,7,2018-08-31,Sparta Prague,Dukla Prague,2,0,1.0
2018-2019,Regular season,7,2018-09-01,Slovan Liberec,Baník Ostrava,0,0,0.5
2018-2019,Regular season,7,2018-09-01,Mladá Boleslav,Teplice,1,1,0.5
2018-2019,Regular season,7,2018-09-01,Fastav Zlín,Příbram,3,0,1.0
2018-2019,Regular season,7,2018-09-01,Opava,Jablonec,2,0,1.0
2018-2019,Regular season,7,2018-09-01,Slavia Prague,Viktoria Plzeň,4,0,1.0
2018-2019,Regular season,7,2018-09-02,Karviná,Slovácko,2,1,1.0
2018-2019,Regular season,7,2018-09-02,Sigma Olomouc,Bohemians 1905,2,3,0.0
2018-2019,Regular season,8,2018-09-14,Bohemians 1905,Fastav Zlín,0,1,0.0
2018-2019,Regular season,8,2018-09-15,Příbram,Sigma Olomouc,1,0,1.0
2018-2019,Regular season,8,2018-09-15,Viktoria Plzeň,Opava,1,0,1.0
2018-2019,Regular season,8,2018-09-16,Dukla Prague,Slovan Liberec,2,0,1.0
2018-2019,Regular season,8,2018-09-16,Jablonec,Mladá Boleslav,0,3,0.0
2018-2019,Regular season,8,2018-09-16,Teplice,Karviná,2,1,1.0
2018-2019,Regular season,8,2018-09-16,Slovácko,Slavia Prague,1,3,0.0
2018-2019,Regular season,8,2018-09-17,Baník Ostrava,Sparta Prague,0,1,0.0
2018-2019,Regular season,9,2018-09-21,Fastav Zlín,Baník Ostrava,1,2,0.0
2018-2019,Regular season,9,2018-09-22,Sigma Olomouc,Dukla Prague,1,0,1.0
2018-2019,Regular season,9,2018-09-22,Opava,Teplice,2,0,1.0
2018-2019,Regular season,9,2018-09-22,Karviná,Příbram,4,1,1.0
2018-2019,Regular season,9,2018-09-22,Mladá Boleslav,Slovácko,5,1,1.0
