Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2020-2021,1,2020-08-21,Viktoria Plzeň,Opava,3,1,1.0
2020-2021,1,2020-08-22,Příbram,Teplice,1,3,0.0
2020-2021,1,2020-08-22,Sigma Olomouc,Slovan Liberec,1,0,1.0
2020-2021,1,2020-08-22,Fastav Zlín,Slovácko,1,2,0.0
2020-2021,1,2020-08-22,Zbrojovka Brno,Sparta Prague,1,4,0.0
2020-2021,1,2020-08-23,Jablonec,FK Pardubice,1,0,1.0
2020-2021,1,2020-08-23,Karviná,Baník Ostrava,0,0,0.5
2020-2021,1,2020-08-23,České Budĕjov.,Slavia Prague,0,6,0.0
2020-2021,1,2020-08-23,Bohemians 1905,Mladá Boleslav,4,0,1.0
2020-2021,2,2020-08-28,Baník Ostrava,České Budĕjov.,2,2,0.5
2020-2021,2,2020-08-29,Opava,Karviná,1,2,0.0
2020-2021,2,2020-08-29,Mladá Boleslav,Fastav Zlín,1,3,0.0
2020-2021,2,2020-08-29,Slovácko,Jablonec,1,1,0.5
2020-2021,2,2020-08-29,Slavia Prague,Příbram,3,0,1.0
2020-2021,2,2020-08-30,FK Pardubice,Teplice,2,1,1.0
2020-2021,2,2020-08-30,Zbrojovka Brno,Bohemians 1905,0,0,0.5
2020-2021,2,2020-08-30,Slovan Liberec,Viktoria Plzeň,4,1,1.0
2020-2021,2,2020-08-30,Sparta Prague,Sigma Olomouc,3,0,1.0
2020-2021,3,2020-09-11,Sigma Olomouc,Bohemians 1905,3,0,1.0
2020-2021,3,2020-09-12,Příbram,Opava,1,1,0.5
2020-2021,3,2020-09-12,České Budĕjov.,Slovan Liberec,0,2,0.0
2020-2021,3,2020-09-12,Teplice,Slovácko,0,2,0.0
2020-2021,3,2020-09-12,Jablonec,Baník Ostrava,2,0,1.0
2020-2021,3,2020-09-12,FK Pardubice,Slavia Prague,1,1,0.5
2020-2021,3,2020-09-13,Karviná,Sparta Prague,2,5,0.0
2020-2021,3,2020-09-13,Fastav Zlín,Zbrojovka Brno,3,1,1.0
2020-2021,3,2020-09-13,Viktoria Plzeň,Mladá Boleslav,2,1,1.0
2020-2021,4,2020-09-18,Slavia Prague,Teplice,5,1,1.0
2020-2021,4,2020-09-19,Opava,České Budĕjov.,0,0,0.5
2020-2021,4,2020-09-19,Baník Ostrava,FK Pardubice,3,0,1.0
