Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,1,2017-07-14,AGF,Horsens,1,2,0.0
2017-2018,Regular season,1,2017-07-15,FC Copenhagen,Aalborg,1,1,0.5
2017-2018,Regular season,1,2017-07-15,SønderjyskE,Randers,0,0,0.5
2017-2018,Regular season,1,2017-07-16,Lyngby,Silkeborg,2,1,1.0
2017-2018,Regular season,1,2017-07-16,Hobro,Helsingør,2,1,1.0
2017-2018,Regular season,1,2017-07-16,Brøndby,Midtjylland,4,0,1.0
2017-2018,Regular season,1,2017-07-17,Odense,Nordsjælland,1,2,0.0
2017-2018,Regular season,2,2017-07-21,AGF,Hobro,2,0,1.0
2017-2018,Regular season,2,2017-07-22,Randers,FC Copenhagen,0,3,0.0
2017-2018,Regular season,2,2017-07-23,Horsens,Lyngby,4,1,1.0
2017-2018,Regular season,2,2017-07-23,Aalborg,SønderjyskE,1,4,0.0
2017-2018,Regular season,2,2017-07-23,Nordsjælland,Brøndby,3,2,1.0
2017-2018,Regular season,2,2017-07-23,Midtjylland,Silkeborg,2,0,1.0
2017-2018,Regular season,2,2017-07-24,Helsingør,Odense,0,2,0.0
2017-2018,Regular season,3,2017-07-28,SønderjyskE,Helsingør,1,2,0.0
2017-2018,Regular season,3,2017-07-29,Odense,Horsens,1,0,1.0
2017-2018,Regular season,3,2017-07-29,FC Copenhagen,Hobro,0,0,0.5
2017-2018,Regular season,3,2017-07-30,Midtjylland,Randers,2,1,1.0
2017-2018,Regular season,3,2017-07-30,Nordsjælland,Aalborg,3,2,1.0
2017-2018,Regular season,3,2017-07-30,Brøndby,Lyngby,5,3,1.0
2017-2018,Regular season,3,2017-07-31,Silkeborg,AGF,2,1,1.0
2017-2018,Regular season,4,2017-08-04,Horsens,Silkeborg,1,0,1.0
2017-2018,Regular season,4,2017-08-05,Hobro,Randers,2,0,1.0
2017-2018,Regular season,4,2017-08-06,Lyngby,Nordsjælland,1,4,0.0
2017-2018,Regular season,4,2017-08-06,Helsingør,Midtjylland,2,1,1.0
2017-2018,Regular season,4,2017-08-06,Odense,Aalborg,0,0,0.5
2017-2018,Regular season,4,2017-08-06,Brøndby,FC Copenhagen,1,0,1.0
2017-2018,Regular season,4,2017-08-07,SønderjyskE,AGF,3,0,1.0
2017-2018,Regular season,5,2017-08-11,Silkeborg,Helsingør,4,1,1.0
2017-2018,Regular season,5,2017-08-12,Lyngby,SønderjyskE,1,1,0.5
2017-2018,Regular season,5,2017-08-12,FC Copenhagen,Horsens,1,1,0.5
2017-2018,Regular season,5,2017-08-13,Midtjylland,Nordsjælland,4,3,1.0
2017-2018,Regular season,5,2017-08-13,Randers,Brøndby,0,0,0.5
2017-2018,Regular season,5,2017-08-13,AGF,Odense,0,0,0.5
2017-2018,Regular season,5,2017-08-14,Aalborg,Hobro,1,1,0.5
2017-2018,Regular season,6,2017-08-18,Horsens,Aalborg,0,0,0.5
2017-2018,Regular season,6,2017-08-18,Randers,Silkeborg,1,1,0.5
2017-2018,Regular season,6,2017-08-19,FC Copenhagen,SønderjyskE,3,2,1.0
2017-2018,Regular season,6,2017-08-20,Odense,Midtjylland,0,2,0.0
2017-2018,Regular season,6,2017-08-20,Hobro,Lyngby,3,0,1.0
2017-2018,Regular season,6,2017-08-20,AGF,Brøndby,2,0,1.0
2017-2018,Regular season,6,2017-08-21,Nordsjælland,Helsingør,1,0,1.0
2017-2018,Regular season,7,2017-08-25,SønderjyskE,Odense,2,2,0.5
2017-2018,Regular season,7,2017-08-25,Silkeborg,Hobro,0,2,0.0
2017-2018,Regular season,7,2017-08-26,Helsingør,Randers,2,0,1.0
2017-2018,Regular season,7,2017-08-26,Aalborg,AGF,0,0,0.5
2017-2018,Regular season,7,2017-08-27,Midtjylland,Lyngby,1,1,0.5
2017-2018,Regular season,7,2017-08-27,Brøndby,Horsens,2,0,1.0
2017-2018,Regular season,7,2017-08-27,Nordsjælland,FC Copenhagen,3,0,1.0
2017-2018,Regular season,8,2017-09-08,Horsens,Nordsjælland,2,2,0.5
