Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Regular season,1,2016-07-15,Wisła Płock,Lechia Gdańsk,2,1,1.0
2016-2017,Regular season,1,2016-07-15,Śląsk Wrocław,Lech Poznań,0,0,0.5
2016-2017,Regular season,1,2016-07-16,Ruch Chorzów,Górnik Łęczna,2,1,1.0
2016-2017,Regular season,1,2016-07-16,Wisła Kraków,Pogoń Szczecin,2,1,1.0
2016-2017,Regular season,1,2016-07-16,Legia Warsaw,Jagiellonia,1,1,0.5
2016-2017,Regular season,1,2016-07-17,Zagłębie Lubin,Korona Kielce,4,0,1.0
2016-2017,Regular season,1,2016-07-17,Cracovia,Piast Gliwice,5,1,1.0
2016-2017,Regular season,1,2016-07-18,Nieciecza,Arka Gdynia,2,0,1.0
2016-2017,Regular season,2,2016-07-22,Pogoń Szczecin,Korona Kielce,1,1,0.5
2016-2017,Regular season,2,2016-07-22,Arka Gdynia,Wisła Kraków,3,0,1.0
2016-2017,Regular season,2,2016-07-23,Jagiellonia,Ruch Chorzów,4,1,1.0
2016-2017,Regular season,2,2016-07-23,Legia Warsaw,Śląsk Wrocław,0,0,0.5
2016-2017,Regular season,2,2016-07-24,Nieciecza,Cracovia,3,2,1.0
2016-2017,Regular season,2,2016-07-24,Piast Gliwice,Wisła Płock,2,1,1.0
2016-2017,Regular season,2,2016-07-24,Lech Poznań,Zagłębie Lubin,0,2,0.0
2016-2017,Regular season,2,2016-07-25,Górnik Łęczna,Lechia Gdańsk,1,2,0.0
2016-2017,Regular season,3,2016-07-29,Arka Gdynia,Ruch Chorzów,3,0,1.0
2016-2017,Regular season,3,2016-07-29,Lech Poznań,Jagiellonia,0,2,0.0
2016-2017,Regular season,3,2016-07-30,Lechia Gdańsk,Wisła Kraków,3,1,1.0
2016-2017,Regular season,3,2016-07-30,Wisła Płock,Legia Warsaw,2,3,0.0
2016-2017,Regular season,3,2016-07-31,Zagłębie Lubin,Nieciecza,2,0,1.0
2016-2017,Regular season,3,2016-07-31,Górnik Łęczna,Cracovia,0,0,0.5
2016-2017,Regular season,3,2016-07-31,Korona Kielce,Piast Gliwice,1,1,0.5
2016-2017,Regular season,3,2016-08-01,Pogoń Szczecin,Śląsk Wrocław,0,2,0.0
2016-2017,Regular season,4,2016-08-05,Jagiellonia,Arka Gdynia,4,1,1.0
2016-2017,Regular season,4,2016-08-05,Cracovia,Wisła Kraków,2,1,1.0
2016-2017,Regular season,4,2016-08-06,Nieciecza,Górnik Łęczna,2,1,1.0
2016-2017,Regular season,4,2016-08-06,Śląsk Wrocław,Lechia Gdańsk,0,0,0.5
2016-2017,Regular season,4,2016-08-06,Korona Kielce,Lech Poznań,4,1,1.0
2016-2017,Regular season,4,2016-08-07,Zagłębie Lubin,Pogoń Szczecin,1,1,0.5
2016-2017,Regular season,4,2016-08-07,Legia Warsaw,Piast Gliwice,0,0,0.5
2016-2017,Regular season,4,2016-08-08,Ruch Chorzów,Wisła Płock,2,2,0.5
2016-2017,Regular season,5,2016-08-12,Lechia Gdańsk,Korona Kielce,3,2,1.0
2016-2017,Regular season,5,2016-08-12,Lech Poznań,Cracovia,2,1,1.0
2016-2017,Regular season,5,2016-08-13,Arka Gdynia,Śląsk Wrocław,2,0,1.0
2016-2017,Regular season,5,2016-08-13,Górnik Łęczna,Legia Warsaw,1,0,1.0
2016-2017,Regular season,5,2016-08-13,Pogoń Szczecin,Nieciecza,5,0,1.0
2016-2017,Regular season,5,2016-08-14,Piast Gliwice,Zagłębie Lubin,0,0,0.5
