Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2024-2025,1,2024-07-19,Jagiellonia,Puszcza Niepołomice,2.0,0.0,1.0
2024-2025,1,2024-07-19,Śląsk Wrocław,Lechia Gdańsk,1.0,1.0,0.5
2024-2025,1,2024-07-20,Katowice,Radomiak Radom,1.0,2.0,0.0
2024-2025,1,2024-07-20,Pogoń Szczecin,Korona Kielce,3.0,0.0,1.0
2024-2025,1,2024-07-20,Legia Warsaw,Zagłębie Lubin,2.0,0.0,1.0
2024-2025,1,2024-07-21,Cracovia,Piast Gliwice,1.0,1.0,0.5
2024-2025,1,2024-07-21,Lech Poznań,Górnik Zabrze,2.0,0.0,1.0
2024-2025,1,2024-07-21,Motor Lublin,RKS Raków,0.0,2.0,0.0
2024-2025,1,2024-07-22,Stal Mielec,Widzew Łódź,1.0,1.0,0.5
2024-2025,2,2024-07-26,Puszcza Niepołomice,Górnik Zabrze,2.0,2.0,0.5
2024-2025,2,2024-07-26,Lechia Gdańsk,Motor Lublin,0.0,2.0,0.0
2024-2025,2,2024-07-27,Stal Mielec,Katowice,0.0,1.0,0.0
2024-2025,2,2024-07-27,Radomiak Radom,Jagiellonia,2.0,3.0,0.0
2024-2025,2,2024-07-27,Widzew Łódź,Lech Poznań,2.0,1.0,1.0
2024-2025,2,2024-07-28,Zagłębie Lubin,Pogoń Szczecin,2.0,2.0,0.5
2024-2025,2,2024-07-28,Piast Gliwice,Śląsk Wrocław,2.0,0.0,1.0
2024-2025,2,2024-07-28,Korona Kielce,Legia Warsaw,0.0,1.0,0.0
2024-2025,2,2024-07-29,RKS Raków,Cracovia,0.0,1.0,0.0
2024-2025,3,2024-08-02,Zagłębie Lubin,Puszcza Niepołomice,1.0,0.0,1.0
2024-2025,3,2024-08-02,Górnik Zabrze,Pogoń Szczecin,1.0,0.0,1.0
2024-2025,3,2024-08-03,Katowice,RKS Raków,0.0,1.0,0.0
2024-2025,3,2024-08-03,Jagiellonia,Stal Mielec,2.0,0.0,1.0
2024-2025,3,2024-08-03,Lech Poznań,Lechia Gdańsk,3.0,1.0,1.0
2024-2025,3,2024-08-04,Motor Lublin,Korona Kielce,1.0,1.0,0.5
2024-2025,3,2024-08-04,Legia Warsaw,Piast Gliwice,1.0,2.0,0.0
2024-2025,3,2024-08-05,Cracovia,Widzew Łódź,1.0,3.0,0.0
2024-2025,4,2024-08-09,Radomiak Radom,Górnik Zabrze,1.0,2.0,0.0
2024-2025,4,2024-08-09,RKS Raków,Lech Poznań,0.0,0.0,0.5
2024-2025,4,2024-08-10,Korona Kielce,Cracovia,0.0,2.0,0.0
2024-2025,4,2024-08-10,Pogoń Szczecin,Stal Mielec,1.0,0.0,1.0
2024-2025,4,2024-08-11,Lechia Gdańsk,Zagłębie Lubin,1.0,1.0,0.5
2024-2025,4,2024-08-11,Puszcza Niepołomice,Legia Warsaw,2.0,2.0,0.5
2024-2025,4,2024-08-11,Widzew Łódź,Śląsk Wrocław,0.0,0.0,0.5
2024-2025,4,2024-08-12,Piast Gliwice,Katowice,2.0,2.0,0.5
2024-2025,5,2024-08-16,Puszcza Niepołomice,Lechia Gdańsk,4.0,1.0,1.0
2024-2025,5,2024-08-16,Katowice,Motor Lublin,0.0,0.0,0.5
2024-2025,5,2024-08-17,Jagiellonia,Cracovia,2.0,4.0,0.0
2024-2025,5,2024-08-17,Zagłębie Lubin,Lech Poznań,0.0,1.0,0.0
2024-2025,5,2024-08-17,Pogoń Szczecin,Widzew Łódź,2.0,0.0,1.0
2024-2025,5,2024-08-18,Śląsk Wrocław,Korona Kielce,1.0,1.0,0.5
2024-2025,5,2024-08-18,Legia Warsaw,Radomiak Radom,4.0,1.0,1.0
2024-2025,5,2024-08-18,Górnik Zabrze,RKS Raków,0.0,0.0,0.5
2024-2025,5,2024-08-19,Stal Mielec,Piast Gliwice,2.0,0.0,1.0
2024-2025,6,2024-08-23,Widzew Łódź,Radomiak Radom,3.0,2.0,1.0
2024-2025,6,2024-08-23,Lechia Gdańsk,RKS Raków,1.0,2.0,0.0
2024-2025,6,2024-08-24,Motor Lublin,Puszcza Niepołomice,0.0,0.0,0.5
