Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014,1,2014-03-28,Molde,Vålerenga,2,0,1.0
2014,1,2014-03-29,Haugesund,Lillestrøm,1,1,0.5
2014,1,2014-03-29,Rosenborg,Viking,2,2,0.5
2014,1,2014-03-30,Bodø/Glimt,Aalesund,1,1,0.5
2014,1,2014-03-30,Stabæk,Sogndal,3,0,1.0
2014,1,2014-03-30,Strømsgodset,Start,4,2,1.0
2014,1,2014-03-30,Sandnes Ulf,Odd,1,1,0.5
2014,1,2014-03-30,Sarpsborg 08,Brann,3,0,1.0
2014,2,2014-04-04,Viking,Strømsgodset,0,0,0.5
2014,2,2014-04-05,Odd,Molde,2,1,1.0
2014,2,2014-04-05,Aalesund,Rosenborg,1,1,0.5
2014,2,2014-04-06,Start,Haugesund,3,1,1.0
2014,2,2014-04-06,Lillestrøm,Sandnes Ulf,4,1,1.0
2014,2,2014-04-06,Sogndal,Sarpsborg 08,1,1,0.5
2014,2,2014-04-06,Vålerenga,Bodø/Glimt,3,1,1.0
2014,2,2014-04-06,Brann,Stabæk,1,2,0.0
2014,3,2014-04-11,Sandnes Ulf,Brann,1,1,0.5
2014,3,2014-04-12,Lillestrøm,Viking,0,1,0.0
2014,3,2014-04-12,Haugesund,Vålerenga,1,1,0.5
2014,3,2014-04-13,Stabæk,Molde,0,2,0.0
2014,3,2014-04-13,Strømsgodset,Aalesund,2,0,1.0
2014,3,2014-04-13,Sarpsborg 08,Start,1,1,0.5
2014,3,2014-04-13,Bodø/Glimt,Sogndal,4,2,1.0
2014,3,2014-04-13,Rosenborg,Odd,2,0,1.0
2014,4,2014-04-21,Aalesund,Start,1,2,0.0
2014,4,2014-04-21,Vålerenga,Sandnes Ulf,3,0,1.0
2014,4,2014-04-21,Viking,Haugesund,2,0,1.0
2014,4,2014-04-21,Molde,Sarpsborg 08,5,1,1.0
2014,4,2014-04-21,Brann,Lillestrøm,2,0,1.0
2014,4,2014-04-21,Odd,Stabæk,2,1,1.0
2014,4,2014-04-21,Sogndal,Strømsgodset,1,3,0.0
2014,4,2014-04-21,Bodø/Glimt,Rosenborg,2,2,0.5
2014,5,2014-04-27,Strømsgodset,Odd,2,1,1.0
2014,5,2014-04-27,Stabæk,Bodø/Glimt,2,1,1.0
2014,5,2014-04-27,Sandnes Ulf,Molde,1,3,0.0
2014,5,2014-04-27,Haugesund,Sogndal,0,3,0.0
2014,5,2014-04-27,Rosenborg,Brann,5,2,1.0
2014,5,2014-04-27,Start,Viking,0,2,0.0
2014,5,2014-04-28,Lillestrøm,Aalesund,0,0,0.5
2014,5,2014-04-28,Sarpsborg 08,Vålerenga,3,0,1.0
2014,6,2014-04-30,Sandnes Ulf,Stabæk,2,1,1.0
2014,6,2014-04-30,Brann,Haugesund,1,3,0.0
2014,6,2014-05-01,Aalesund,Viking,1,2,0.0
2014,6,2014-05-01,Vålerenga,Strømsgodset,3,0,1.0
2014,6,2014-05-01,Molde,Start,2,0,1.0
2014,6,2014-05-01,Odd,Sarpsborg 08,2,0,1.0
2014,6,2014-05-01,Bodø/Glimt,Lillestrøm,1,2,0.0
2014,6,2014-05-01,Sogndal,Rosenborg,1,2,0.0
2014,7,2014-05-04,Sarpsborg 08,Sandnes Ulf,2,1,1.0
2014,7,2014-05-04,Haugesund,Aalesund,1,2,0.0
2014,7,2014-05-04,Lillestrøm,Sogndal,2,0,1.0
2014,7,2014-05-04,Strømsgodset,Bodø/Glimt,2,0,1.0
2014,7,2014-05-04,Rosenborg,Molde,0,2,0.0
2014,7,2014-05-04,Start,Brann,1,1,0.5
2014,7,2014-05-05,Viking,Odd,1,1,0.5
2014,7,2014-05-05,Stabæk,Vålerenga,0,3,0.0
2014,8,2014-05-10,Bodø/Glimt,Haugesund,2,1,1.0
2014,8,2014-05-10,Aalesund,Brann,0,1,0.0
2014,8,2014-05-11,Odd,Lillestrøm,0,2,0.0
2014,8,2014-05-11,Sogndal,Start,2,1,1.0
2014,8,2014-05-11,Vålerenga,Viking,1,1,0.5
2014,8,2014-05-11,Stabæk,Sarpsborg 08,3,2,1.0
2014,8,2014-05-11,Molde,Strømsgodset,2,2,0.5
2014,8,2014-05-12,Sandnes Ulf,Rosenborg,0,2,0.0
2014,9,2014-05-16,Viking,Sandnes Ulf,2,2,0.5
2014,9,2014-05-16,Lillestrøm,Molde,1,2,0.0
2014,9,2014-05-16,Haugesund,Odd,1,2,0.0
2014,9,2014-05-16,Aalesund,Sogndal,2,2,0.5
2014,9,2014-05-16,Brann,Bodø/Glimt,1,2,0.0
2014,9,2014-05-16,Start,Vålerenga,2,2,0.5
2014,9,2014-05-16,Rosenborg,Stabæk,1,3,0.0
2014,9,2014-05-16,Strømsgodset,Sarpsborg 08,4,1,1.0
2014,10,2014-05-19,Vålerenga,Lillestrøm,2,2,0.5
2014,10,2014-05-19,Sarpsborg 08,Rosenborg,1,1,0.5
