Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019,Eliteserien,1,2019-03-30,Odd,Brann,3,2,1.0
2019,Eliteserien,1,2019-03-30,Vålerenga,Mjøndalen,2,0,1.0
2019,Eliteserien,1,2019-03-31,Ranheim,Tromsø,1,2,0.0
2019,Eliteserien,1,2019-03-31,Viking,Kristiansund,2,0,1.0
2019,Eliteserien,1,2019-03-31,Strømsgodset,Haugesund,3,2,1.0
2019,Eliteserien,1,2019-03-31,Sarpsborg 08,Molde,1,1,0.5
2019,Eliteserien,1,2019-03-31,Bodø/Glimt,Rosenborg,2,0,1.0
2019,Eliteserien,1,2019-04-01,Stabæk,Lillestrøm,1,1,0.5
2019,Eliteserien,2,2019-04-06,Mjøndalen,Bodø/Glimt,4,5,0.0
2019,Eliteserien,2,2019-04-07,Haugesund,Sarpsborg 08,1,1,0.5
2019,Eliteserien,2,2019-04-07,Tromsø,Viking,0,2,0.0
2019,Eliteserien,2,2019-04-07,Kristiansund,Vålerenga,2,0,1.0
2019,Eliteserien,2,2019-04-07,Molde,Stabæk,3,0,1.0
2019,Eliteserien,2,2019-04-07,Lillestrøm,Ranheim,2,1,1.0
2019,Eliteserien,2,2019-04-07,Brann,Strømsgodset,1,1,0.5
2019,Eliteserien,2,2019-04-08,Rosenborg,Odd,1,1,0.5
2019,Eliteserien,15,2019-04-10,Molde,Vålerenga,4,1,1.0
2019,Eliteserien,15,2019-04-10,Brann,Kristiansund,2,1,1.0
2019,Eliteserien,3,2019-04-12,Strømsgodset,Mjøndalen,2,3,0.0
2019,Eliteserien,3,2019-04-13,Viking,Brann,2,1,1.0
2019,Eliteserien,3,2019-04-14,Sarpsborg 08,Lillestrøm,1,0,1.0
2019,Eliteserien,3,2019-04-14,Ranheim,Haugesund,0,2,0.0
2019,Eliteserien,3,2019-04-14,Bodø/Glimt,Molde,3,2,1.0
2019,Eliteserien,3,2019-04-14,Odd,Kristiansund,2,0,1.0
2019,Eliteserien,3,2019-04-14,Stabæk,Rosenborg,3,1,1.0
2019,Eliteserien,3,2019-04-14,Vålerenga,Tromsø,4,1,1.0
2019,Eliteserien,4,2019-04-22,Haugesund,Stabæk,3,0,1.0
2019,Eliteserien,4,2019-04-22,Bodø/Glimt,Sarpsborg 08,1,1,0.5
2019,Eliteserien,4,2019-04-22,Lillestrøm,Molde,0,2,0.0
2019,Eliteserien,4,2019-04-22,Rosenborg,Strømsgodset,0,0,0.5
2019,Eliteserien,4,2019-04-22,Mjøndalen,Tromsø,1,1,0.5
2019,Eliteserien,4,2019-04-22,Kristiansund,Ranheim,0,0,0.5
2019,Eliteserien,4,2019-04-22,Brann,Vålerenga,1,1,0.5
2019,Eliteserien,4,2019-04-23,Odd,Viking,1,0,1.0
2019,Eliteserien,5,2019-04-27,Sarpsborg 08,Mjøndalen,1,1,0.5
2019,Eliteserien,5,2019-04-28,Lillestrøm,Haugesund,1,0,1.0
2019,Eliteserien,5,2019-04-28,Tromsø,Brann,1,2,0.0
2019,Eliteserien,5,2019-04-28,Strømsgodset,Kristiansund,2,3,0.0
2019,Eliteserien,5,2019-04-28,Ranheim,Viking,5,2,1.0
2019,Eliteserien,5,2019-04-28,Stabæk,Bodø/Glimt,2,0,1.0
2019,Eliteserien,5,2019-04-28,Molde,Rosenborg,3,0,1.0
2019,Eliteserien,5,2019-04-29,Vålerenga,Odd,1,0,1.0
2019,Eliteserien,6,2019-05-04,Mjøndalen,Stabæk,1,0,1.0
2019,Eliteserien,6,2019-05-05,Haugesund,Molde,1,2,0.0
2019,Eliteserien,6,2019-05-05,Bodø/Glimt,Lillestrøm,4,0,1.0
2019,Eliteserien,6,2019-05-05,Brann,Ranheim,0,1,0.0
2019,Eliteserien,6,2019-05-05,Kristiansund,Tromsø,1,0,1.0
2019,Eliteserien,6,2019-05-05,Odd,Strømsgodset,2,1,1.0
2019,Eliteserien,6,2019-05-05,Rosenborg,Sarpsborg 08,1,0,1.0
2019,Eliteserien,6,2019-05-06,Viking,Vålerenga,1,1,0.5
2019,Eliteserien,7,2019-05-11,Lillestrøm,Rosenborg,1,1,0.5
2019,Eliteserien,7,2019-05-12,Haugesund,Bodø/Glimt,1,1,0.5
2019,Eliteserien,7,2019-05-12,Ranheim,Vålerenga,1,5,0.0
2019,Eliteserien,7,2019-05-12,Sarpsborg 08,Kristiansund,0,1,0.0
2019,Eliteserien,7,2019-05-12,Molde,Mjøndalen,1,0,1.0
2019,Eliteserien,7,2019-05-12,Tromsø,Odd,1,2,0.0
2019,Eliteserien,7,2019-05-12,Stabæk,Brann,0,1,0.0
2019,Eliteserien,7,2019-05-13,Strømsgodset,Viking,0,0,0.5
2019,Eliteserien,8,2019-05-16,Brann,Sarpsborg 08,2,1,1.0
2019,Eliteserien,8,2019-05-16,Kristiansund,Molde,3,2,1.0
2019,Eliteserien,8,2019-05-16,Mjøndalen,Lillestrøm,2,2,0.5
2019,Eliteserien,8,2019-05-16,Viking,Stabæk,3,0,1.0
2019,Eliteserien,8,2019-05-16,Odd,Ranheim,1,0,1.0
2019,Eliteserien,8,2019-05-16,Rosenborg,Haugesund,0,2,0.0
2019,Eliteserien,8,2019-05-16,Tromsø,Bodø/Glimt,1,2,0.0
2019,Eliteserien,8,2019-05-16,Vålerenga,Strømsgodset,2,0,1.0
2019,Eliteserien,9,2019-05-19,Sarpsborg 08,Ranheim,1,3,0.0
2019,Eliteserien,9,2019-05-19,Haugesund,Kristiansund,0,0,0.5
2019,Eliteserien,9,2019-05-19,Rosenborg,Mjøndalen,3,2,1.0
2019,Eliteserien,9,2019-05-19,Lillestrøm,Odd,0,3,0.0
2019,Eliteserien,9,2019-05-19,Strømsgodset,Tromsø,3,1,1.0
2019,Eliteserien,9,2019-05-19,Bodø/Glimt,Brann,1,2,0.0
2019,Eliteserien,9,2019-05-20,Molde,Viking,5,1,1.0
2019,Eliteserien,10,2019-05-25,Vålerenga,Lillestrøm,0,3,0.0
2019,Eliteserien,10,2019-05-26,Tromsø,Molde,2,1,1.0
2019,Eliteserien,10,2019-05-26,Mjøndalen,Haugesund,1,4,0.0
2019,Eliteserien,10,2019-05-26,Ranheim,Strømsgodset,1,0,1.0
2019,Eliteserien,10,2019-05-26,Brann,Rosenborg,0,1,0.0
2019,Eliteserien,11,2019-06-15,Haugesund,Brann,1,1,0.5
2019,Eliteserien,11,2019-06-16,Lillestrøm,Viking,0,2,0.0
2019,Eliteserien,11,2019-06-16,Molde,Ranheim,2,0,1.0
2019,Eliteserien,11,2019-06-16,Sarpsborg 08,Odd,2,0,1.0
2019,Eliteserien,11,2019-06-16,Mjøndalen,Kristiansund,1,1,0.5
2019,Eliteserien,11,2019-06-16,Bodø/Glimt,Strømsgodset,2,0,1.0
2019,Eliteserien,11,2019-06-16,Rosenborg,Vålerenga,3,0,1.0
2019,Eliteserien,11,2019-06-17,Stabæk,Tromsø,0,1,0.0
2019,Eliteserien,12,2019-06-22,Strømsgodset,Molde,0,4,0.0
2019,Eliteserien,12,2019-06-23,Vålerenga,Sarpsborg 08,1,1,0.5
2019,Eliteserien,12,2019-06-23,Ranheim,Mjøndalen,1,1,0.5
2019,Eliteserien,12,2019-06-23,Kristiansund,Stabæk,0,1,0.0
2019,Eliteserien,12,2019-06-23,Odd,Haugesund,3,1,1.0
2019,Eliteserien,12,2019-06-23,Viking,Bodø/Glimt,3,4,0.0
2019,Eliteserien,12,2019-06-23,Tromsø,Rosenborg,1,0,1.0
2019,Eliteserien,12,2019-06-23,Brann,Lillestrøm,1,0,1.0
