Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2012-2013,1,2012-08-10,Willem II,NAC Breda,1,1,0.5
2012-2013,1,2012-08-11,RKC Waalwijk,PSV Eindhoven,3,2,1.0
2012-2013,1,2012-08-11,Roda JC,Zwolle,1,1,0.5
2012-2013,1,2012-08-11,Heracles Almelo,VVV-Venlo,1,1,0.5
2012-2013,1,2012-08-12,Twente,Groningen,4,1,1.0
2012-2013,1,2012-08-12,Heerenveen,NEC Nijmegen,0,2,0.0
2012-2013,1,2012-08-12,Vitesse,ADO Den Haag,2,2,0.5
2012-2013,1,2012-08-12,Ajax,AZ Alkmaar,2,2,0.5
2012-2013,1,2012-08-12,Utrecht,Feyenoord,0,1,0.0
2012-2013,2,2012-08-18,Zwolle,Vitesse,0,1,0.0
2012-2013,2,2012-08-18,Feyenoord,Heerenveen,1,1,0.5
2012-2013,2,2012-08-18,VVV-Venlo,Utrecht,1,3,0.0
2012-2013,2,2012-08-18,NAC Breda,Twente,0,1,0.0
2012-2013,2,2012-08-18,PSV Eindhoven,Roda JC,5,0,1.0
2012-2013,2,2012-08-19,AZ Alkmaar,Heracles Almelo,3,1,1.0
2012-2013,2,2012-08-19,ADO Den Haag,RKC Waalwijk,2,2,0.5
2012-2013,2,2012-08-19,Groningen,Willem II,1,1,0.5
2012-2013,2,2012-08-19,NEC Nijmegen,Ajax,1,6,0.0
2012-2013,3,2012-08-24,RKC Waalwijk,Roda JC,1,0,1.0
2012-2013,3,2012-08-25,VVV-Venlo,ADO Den Haag,2,4,0.0
2012-2013,3,2012-08-25,Ajax,NAC Breda,5,0,1.0
2012-2013,3,2012-08-25,Utrecht,Zwolle,1,1,0.5
2012-2013,3,2012-08-26,Groningen,PSV Eindhoven,1,3,0.0
2012-2013,3,2012-08-26,Willem II,Vitesse,0,2,0.0
2012-2013,3,2012-08-26,Heracles Almelo,Feyenoord,1,2,0.0
2012-2013,3,2012-08-26,AZ Alkmaar,Heerenveen,0,0,0.5
2012-2013,3,2012-08-26,NEC Nijmegen,Twente,1,3,0.0
2012-2013,4,2012-08-31,ADO Den Haag,Groningen,0,1,0.0
2012-2013,4,2012-09-01,Roda JC,Willem II,3,0,1.0
2012-2013,4,2012-09-01,NAC Breda,Utrecht,1,1,0.5
2012-2013,4,2012-09-01,Zwolle,NEC Nijmegen,0,4,0.0
2012-2013,4,2012-09-01,RKC Waalwijk,Heracles Almelo,1,1,0.5
2012-2013,4,2012-09-02,PSV Eindhoven,AZ Alkmaar,5,1,1.0
2012-2013,4,2012-09-02,Vitesse,Feyenoord,1,0,1.0
2012-2013,4,2012-09-02,Heerenveen,Ajax,2,2,0.5
2012-2013,4,2012-09-02,Twente,VVV-Venlo,1,0,1.0
2012-2013,5,2012-09-15,Willem II,Twente,2,6,0.0
2012-2013,5,2012-09-15,VVV-Venlo,NEC Nijmegen,2,2,0.5
2012-2013,5,2012-09-15,Feyenoord,Zwolle,2,0,1.0
2012-2013,5,2012-09-15,Heerenveen,ADO Den Haag,1,3,0.0
2012-2013,5,2012-09-15,Ajax,RKC Waalwijk,2,0,1.0
2012-2013,5,2012-09-16,AZ Alkmaar,Roda JC,4,0,1.0
2012-2013,5,2012-09-16,Heracles Almelo,NAC Breda,2,1,1.0
2012-2013,5,2012-09-16,Groningen,Vitesse,0,3,0.0
2012-2013,5,2012-09-16,Utrecht,PSV Eindhoven,1,0,1.0
2012-2013,6,2012-09-21,Roda JC,Utrecht,0,1,0.0
2012-2013,6,2012-09-22,NEC Nijmegen,Willem II,0,0,0.5
2012-2013,6,2012-09-22,Vitesse,Heracles Almelo,1,1,0.5
2012-2013,6,2012-09-22,RKC Waalwijk,VVV-Venlo,1,1,0.5
2012-2013,6,2012-09-22,Zwolle,Groningen,1,2,0.0
2012-2013,6,2012-09-23,NAC Breda,AZ Alkmaar,2,1,1.0
2012-2013,6,2012-09-23,PSV Eindhoven,Feyenoord,3,0,1.0
2012-2013,6,2012-09-23,Twente,Heerenveen,1,0,1.0
2012-2013,6,2012-09-23,ADO Den Haag,Ajax,1,1,0.5
2012-2013,7,2012-09-29,Heracles Almelo,ADO Den Haag,3,3,0.5
2012-2013,7,2012-09-29,Heerenveen,NAC Breda,2,0,1.0
2012-2013,7,2012-09-29,Utrecht,Vitesse,1,2,0.0
2012-2013,7,2012-09-29,Feyenoord,NEC Nijmegen,5,1,1.0
2012-2013,7,2012-09-29,Ajax,Twente,1,0,1.0
2012-2013,7,2012-09-30,Groningen,Roda JC,3,2,1.0
