Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,Eredivisie,1,2014-08-08,Zwolle,Utrecht,2,0,1.0
2014-2015,Eredivisie,1,2014-08-09,Heerenveen,Dordrecht,1,2,0.0
2014-2015,Eredivisie,1,2014-08-09,Cambuur,Twente,1,1,0.5
2014-2015,Eredivisie,1,2014-08-09,NAC Breda,Excelsior,1,1,0.5
2014-2015,Eredivisie,1,2014-08-09,Heracles Almelo,AZ Alkmaar,0,3,0.0
2014-2015,Eredivisie,1,2014-08-10,ADO Den Haag,Feyenoord,0,1,0.0
2014-2015,Eredivisie,1,2014-08-10,Go Ahead Eag,Groningen,2,3,0.0
2014-2015,Eredivisie,1,2014-08-10,Ajax,Vitesse,4,1,1.0
2014-2015,Eredivisie,1,2014-08-10,Willem II,PSV Eindhoven,1,3,0.0
2014-2015,Eredivisie,2,2014-08-15,Feyenoord,Heerenveen,1,1,0.5
2014-2015,Eredivisie,2,2014-08-16,PSV Eindhoven,NAC Breda,6,1,1.0
2014-2015,Eredivisie,2,2014-08-16,Dordrecht,Zwolle,1,2,0.0
2014-2015,Eredivisie,2,2014-08-16,Twente,ADO Den Haag,2,2,0.5
2014-2015,Eredivisie,2,2014-08-16,Vitesse,Cambuur,2,2,0.5
2014-2015,Eredivisie,2,2014-08-17,AZ Alkmaar,Ajax,1,3,0.0
2014-2015,Eredivisie,2,2014-08-17,Utrecht,Willem II,2,1,1.0
2014-2015,Eredivisie,2,2014-08-17,Excelsior,Go Ahead Eag,3,2,1.0
2014-2015,Eredivisie,2,2014-08-17,Groningen,Heracles Almelo,3,1,1.0
2014-2015,Eredivisie,3,2014-08-22,Heracles Almelo,Cambuur,0,1,0.0
2014-2015,Eredivisie,3,2014-08-23,Willem II,AZ Alkmaar,3,0,1.0
2014-2015,Eredivisie,3,2014-08-23,Heerenveen,Excelsior,2,0,1.0
2014-2015,Eredivisie,3,2014-08-23,Go Ahead Eag,Dordrecht,0,0,0.5
2014-2015,Eredivisie,3,2014-08-24,Zwolle,Vitesse,2,1,1.0
2014-2015,Eredivisie,3,2014-08-24,Feyenoord,Utrecht,1,2,0.0
2014-2015,Eredivisie,3,2014-08-24,ADO Den Haag,Groningen,3,0,1.0
2014-2015,Eredivisie,3,2014-08-24,NAC Breda,Twente,1,1,0.5
2014-2015,Eredivisie,3,2014-08-24,Ajax,PSV Eindhoven,1,3,0.0
2014-2015,Eredivisie,4,2014-08-29,Go Ahead Eag,Willem II,1,0,1.0
2014-2015,Eredivisie,4,2014-08-30,Cambuur,ADO Den Haag,3,2,1.0
2014-2015,Eredivisie,4,2014-08-30,Dordrecht,AZ Alkmaar,1,3,0.0
2014-2015,Eredivisie,4,2014-08-30,Excelsior,Heracles Almelo,3,1,1.0
2014-2015,Eredivisie,4,2014-08-30,Heerenveen,Utrecht,3,1,1.0
2014-2015,Eredivisie,4,2014-08-31,PSV Eindhoven,Vitesse,2,0,1.0
2014-2015,Eredivisie,4,2014-08-31,NAC Breda,Zwolle,3,1,1.0
2014-2015,Eredivisie,4,2014-08-31,Groningen,Ajax,2,0,1.0
2014-2015,Eredivisie,4,2014-08-31,Twente,Feyenoord,0,0,0.5
2014-2015,Eredivisie,5,2014-09-13,Ajax,Heracles Almelo,2,1,1.0
2014-2015,Eredivisie,5,2014-09-13,Twente,Go Ahead Eag,2,1,1.0
2014-2015,Eredivisie,5,2014-09-13,AZ Alkmaar,Heerenveen,0,1,0.0
2014-2015,Eredivisie,5,2014-09-13,Zwolle,PSV Eindhoven,3,1,1.0
2014-2015,Eredivisie,5,2014-09-13,Feyenoord,Willem II,1,2,0.0
2014-2015,Eredivisie,5,2014-09-14,Utrecht,ADO Den Haag,0,0,0.5
2014-2015,Eredivisie,5,2014-09-14,Vitesse,Excelsior,3,1,1.0
2014-2015,Eredivisie,5,2014-09-14,Cambuur,Groningen,3,0,1.0
2014-2015,Eredivisie,5,2014-09-14,Dordrecht,NAC Breda,0,1,0.0
2014-2015,Eredivisie,6,2014-09-19,Willem II,NAC Breda,2,1,1.0
2014-2015,Eredivisie,6,2014-09-20,Excelsior,Dordrecht,1,1,0.5
2014-2015,Eredivisie,6,2014-09-20,ADO Den Haag,Go Ahead Eag,1,1,0.5
2014-2015,Eredivisie,6,2014-09-20,Vitesse,Heerenveen,1,1,0.5
