Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2002-2003,First round,2002-09-17,Vitesse,Rapid București,nl,ro,1,1,0.5
2002-2003,First round,2002-09-17,Austria Wien,Shakhtar Donetsk,at,ua,5,1,1.0
2002-2003,First round,2002-09-17,Bordeaux,FK Púchov,fr,sk,5,0,1.0
2002-2003,First round,2002-09-17,Viktoria Žižkov,Rangers,cz,sct,2,0,1.0
2002-2003,First round,2002-09-17,Aberdeen,Hertha BSC,sct,de,0,0,0.5
2002-2003,First round,2002-09-17,Leixões,PAOK,pt,gr,2,1,1.0
2002-2003,First round,2002-09-19,Željezničar,Málaga,ba,es,0,0,0.5
2002-2003,First round,2002-09-19,Maccabi Tel Aviv FC,Boavista,il,pt,1,0,1.0
2002-2003,First round,2002-09-19,Ipswich Town,Smederevo,eng,rs,1,1,0.5
2002-2003,First round,2002-09-19,Anderlecht,Stabæk,be,no,0,1,0.0
2002-2003,First round,2002-09-19,Metalurh Donetsk,Werder Bremen,ua,de,2,2,0.5
2002-2003,First round,2002-09-19,Levski Sofia,Brøndby,bg,dk,4,1,1.0
2002-2003,First round,2002-09-19,NK Primorje,Wisła Kraków,si,pl,0,2,0.0
2002-2003,First round,2002-09-19,Blackburn,CSKA Sofia,eng,bg,1,1,0.5
2002-2003,First round,2002-09-19,CSKA Moscow,Parma,ru,it,1,1,0.5
2002-2003,First round,2002-09-19,Sturm Graz,Livingston,at,sct,5,2,1.0
2002-2003,First round,2002-09-19,Celtic,FK Sūduva Marijampolė,sct,lt,8,1,1.0
2002-2003,First round,2002-09-19,FC Kärnten,Hapoel Tel Aviv,at,il,0,4,0.0
2002-2003,First round,2002-09-19,Grasshopper,Zenit,ch,ru,3,1,1.0
2002-2003,First round,2002-09-19,Chelsea,Viking,eng,no,2,1,1.0
2002-2003,First round,2002-09-19,Beşiktaş,Sarajevo,tr,ba,2,2,0.5
2002-2003,First round,2002-09-19,Slovan Liberec,Dinamo Tbilisi,cz,ge,3,2,1.0
2002-2003,First round,2002-09-19,FC Gomel,Schalke 04,by,de,1,4,0.0
2002-2003,First round,2002-09-19,Legia Warsaw,Utrecht,pl,nl,4,1,1.0
2002-2003,First round,2002-09-19,Iraklis,Anorthosis,gr,cy,4,2,1.0
2002-2003,First round,2002-09-19,Paris S-G,Újpest,fr,hu,3,0,1.0
2002-2003,First round,2002-09-19,Lazio,Skoda Xanthi,it,gr,4,0,1.0
2002-2003,First round,2002-09-19,Ankaragücü,Alavés,tr,es,1,2,0.0
2002-2003,First round,2002-09-19,APOEL FC,Grazer AK,cy,at,2,0,1.0
2002-2003,First round,2002-09-19,Ferencváros,Kocaelispor,hu,tr,4,0,1.0
2002-2003,First round,2002-09-19,Sparta Prague,Široki Brijeg,cz,ba,3,0,1.0
2002-2003,First round,2002-09-19,Servette,Amica Wronki,ch,pl,2,3,0.0
2002-2003,First round,2002-09-19,Mouscron,Slavia Prague,be,cz,2,2,0.5
2002-2003,First round,2002-09-19,Zimbru Chișinău,Betis,md,es,0,2,0.0
2002-2003,First round,2002-09-19,Celta Vigo,Odense,es,dk,2,0,1.0
2002-2003,First round,2002-09-19,Leeds United,Metalurh Zaporizhya,eng,ua,1,0,1.0
2002-2003,First round,2002-09-19,Midtjylland,Varaždin,dk,hr,1,0,1.0
2002-2003,First round,2002-09-19,Sporting CP,Partizan,pt,rs,1,3,0.0
2002-2003,First round,2002-09-19,Red Star,Chievo,rs,it,0,0,0.5
2002-2003,First round,2002-09-19,Porto,Polonia Warsaw,pt,pl,6,0,1.0
2002-2003,First round,2002-09-19,Stuttgart,FK Ventspils,de,lv,4,1,1.0
2002-2003,First round,2002-09-19,Progresul București,Heerenveen,ro,nl,3,0,1.0
2002-2003,First round,2002-09-19,Hajduk Split,Fulham,hr,eng,0,1,0.0
2002-2003,First round,2002-09-19,Litex Lovech,Panathinaikos,bg,gr,0,1,0.0
2002-2003,First round,2002-09-19,Dinamo Zagreb,Zalaegerszeg,hr,hu,6,0,1.0
2002-2003,First round,2002-09-19,AIK Stockholm,Fenerbahçe,se,tr,3,3,0.5
2002-2003,First round,2002-09-19,FC Copenhagen,Djurgården,dk,se,0,0,0.5
2002-2003,First round,2002-09-19,Denizlispor,Lorient,tr,fr,2,0,1.0
2002-2003,First round,2002-10-01,Hertha BSC,Aberdeen,de,sct,1,0,1.0
2002-2003,First round,2002-10-01,Shakhtar Donetsk,Austria Wien,ua,at,1,0,1.0
2002-2003,First round,2002-10-01,Amica Wronki,Servette,pl,ch,1,2,0.0
2002-2003,First round,2002-10-03,Hapoel Tel Aviv,FC Kärnten,il,at,0,1,0.0
2002-2003,First round,2002-10-03,Kocaelispor,Ferencváros,tr,hu,0,1,0.0
2002-2003,First round,2002-10-03,Wisła Kraków,NK Primorje,pl,si,6,1,1.0
2002-2003,First round,2002-10-03,Djurgården,FC Copenhagen,se,dk,3,1,1.0
2002-2003,First round,2002-10-03,Fenerbahçe,AIK Stockholm,tr,se,3,1,1.0
2002-2003,First round,2002-10-03,Zalaegerszeg,Dinamo Zagreb,hu,hr,1,3,0.0
2002-2003,First round,2002-10-03,Rapid București,Vitesse,ro,nl,0,1,0.0
2002-2003,First round,2002-10-03,Újpest,Paris S-G,hu,fr,0,1,0.0
2002-2003,First round,2002-10-03,Schalke 04,FC Gomel,de,by,4,0,1.0
2002-2003,First round,2002-10-03,Sarajevo,Beşiktaş,ba,tr,0,5,0.0
2002-2003,First round,2002-10-03,Boavista,Maccabi Tel Aviv FC,pt,il,4,1,1.0
2002-2003,First round,2002-10-03,Málaga,Željezničar,es,ba,1,0,1.0
2002-2003,First round,2002-10-03,Parma,CSKA Moscow,it,ru,3,2,1.0
2002-2003,First round,2002-10-03,Dinamo Tbilisi,Slovan Liberec,ge,cz,0,1,0.0
2002-2003,First round,2002-10-03,Široki Brijeg,Sparta Prague,ba,cz,0,1,0.0
2002-2003,First round,2002-10-03,Zenit,Grasshopper,ru,ch,2,1,1.0
2002-2003,First round,2002-10-03,FK Sūduva Marijampolė,Celtic,lt,sct,0,2,0.0
2002-2003,First round,2002-10-03,Anorthosis,Iraklis,cy,gr,3,1,1.0
2002-2003,First round,2002-10-03,Betis,Zimbru Chișinău,es,md,2,1,1.0
2002-2003,First round,2002-10-03,Grazer AK,APOEL FC,at,cy,0,1,0.0
2002-2003,First round,2002-10-03,Heerenveen,Progresul București,nl,ro,2,0,1.0
2002-2003,First round,2002-10-03,Lorient,Denizlispor,fr,tr,3,1,1.0
2002-2003,First round,2002-10-03,Skoda Xanthi,Lazio,gr,it,0,0,0.5
2002-2003,First round,2002-10-03,Chievo,Red Star,it,rs,0,2,0.0
2002-2003,First round,2002-10-03,Stabæk,Anderlecht,no,be,1,2,0.0
2002-2003,First round,2002-10-03,Brøndby,Levski Sofia,dk,bg,1,1,0.5
2002-2003,First round,2002-10-03,Rangers,Viktoria Žižkov,sct,cz,3,1,1.0
2002-2003,First round,2002-10-03,Viking,Chelsea,no,eng,4,2,1.0
2002-2003,First round,2002-10-03,Metalurh Zaporizhya,Leeds United,ua,eng,1,1,0.5
2002-2003,First round,2002-10-03,Partizan,Sporting CP,rs,pt,3,3,0.5
2002-2003,First round,2002-10-03,FK Ventspils,Stuttgart,lv,de,1,4,0.0
2002-2003,First round,2002-10-03,Fulham,Hajduk Split,eng,hr,2,2,0.5
2002-2003,First round,2002-10-03,Livingston,Sturm Graz,sct,at,4,3,1.0
2002-2003,First round,2002-10-03,Polonia Warsaw,Porto,pl,pt,1,0,1.0
2002-2003,First round,2002-10-03,FK Púchov,Bordeaux,sk,fr,1,3,0.0
2002-2003,First round,2002-10-03,CSKA Sofia,Blackburn,bg,eng,3,3,0.5
2002-2003,First round,2002-10-03,Smederevo,Ipswich Town,rs,eng,0,1,0.0
2002-2003,First round,2002-10-03,Alavés,Ankaragücü,es,tr,3,0,1.0
2002-2003,First round,2002-10-03,Varaždin,Midtjylland,hr,dk,1,1,0.5
2002-2003,First round,2002-10-03,Utrecht,Legia Warsaw,nl,pl,1,3,0.0
2002-2003,First round,2002-10-03,Slavia Prague,Mouscron,cz,be,4,1,1.0
2002-2003,First round,2002-10-03,PAOK,Leixões,gr,pt,4,1,1.0
2002-2003,First round,2002-10-03,Panathinaikos,Litex Lovech,gr,bg,2,1,1.0
2002-2003,First round,2002-10-03,Werder Bremen,Metalurh Donetsk,de,ua,8,0,1.0
2002-2003,First round,2002-10-03,Odense,Celta Vigo,dk,es,1,0,1.0
2002-2003,Second round,2002-10-29,Djurgården,Bordeaux,se,fr,0,1,0.0
2002-2003,Second round,2002-10-29,Viktoria Žižkov,Betis,cz,es,0,1,0.0
2002-2003,Second round,2002-10-29,Legia Warsaw,Schalke 04,pl,de,2,3,0.0
2002-2003,Second round,2002-10-31,Boavista,Anorthosis,pt,cy,2,1,1.0
2002-2003,Second round,2002-10-31,Lazio,Red Star,it,rs,1,0,1.0
2002-2003,Second round,2002-10-31,Ferencváros,Stuttgart,hu,de,0,0,0.5
2002-2003,Second round,2002-10-31,APOEL FC,Hertha BSC,cy,de,0,1,0.0
2002-2003,Second round,2002-10-31,Alavés,Beşiktaş,es,tr,1,1,0.5
2002-2003,Second round,2002-10-31,Fenerbahçe,Panathinaikos,tr,gr,1,1,0.5
2002-2003,Second round,2002-10-31,Austria Wien,Porto,at,pt,0,1,0.0
2002-2003,Second round,2002-10-31,Dinamo Zagreb,Fulham,hr,eng,0,3,0.0
2002-2003,Second round,2002-10-31,Parma,Wisła Kraków,it,pl,2,1,1.0
2002-2003,Second round,2002-10-31,Málaga,Amica Wronki,es,pl,2,1,1.0
2002-2003,Second round,2002-10-31,Vitesse,Werder Bremen,nl,de,2,1,1.0
2002-2003,Second round,2002-10-31,Leeds United,Hapoel Tel Aviv,eng,il,1,0,1.0
2002-2003,Second round,2002-10-31,Celtic,Blackburn,sct,eng,1,0,1.0
2002-2003,Second round,2002-10-31,Progresul București,Paris S-G,ro,fr,0,2,0.0
2002-2003,Second round,2002-10-31,Sturm Graz,Levski Sofia,at,bg,1,0,1.0
2002-2003,Second round,2002-10-31,Partizan,Slavia Prague,rs,cz,3,1,1.0
2002-2003,Second round,2002-10-31,Celta Vigo,Viking,es,no,3,0,1.0
2002-2003,Second round,2002-10-31,Sparta Prague,Denizlispor,cz,tr,1,0,1.0
2002-2003,Second round,2002-10-31,Ipswich Town,Slovan Liberec,eng,cz,1,0,1.0
2002-2003,Second round,2002-10-31,PAOK,Grasshopper,gr,ch,2,1,1.0
2002-2003,Second round,2002-10-31,Anderlecht,Midtjylland,be,dk,3,1,1.0
2002-2003,Second round,2002-11-07,Hertha BSC,APOEL FC,de,cy,4,0,1.0
2002-2003,Second round,2002-11-12,Bordeaux,Djurgården,fr,se,2,1,1.0
2002-2003,Second round,2002-11-12,Amica Wronki,Málaga,pl,es,1,2,0.0
2002-2003,Second round,2002-11-12,Stuttgart,Ferencváros,de,hu,2,0,1.0
2002-2003,Second round,2002-11-14,Anorthosis,Boavista,cy,pt,0,1,0.0
2002-2003,Second round,2002-11-14,Slovan Liberec,Ipswich Town,cz,eng,1,0,1.0
2002-2003,Second round,2002-11-14,Denizlispor,Sparta Prague,tr,cz,2,0,1.0
2002-2003,Second round,2002-11-14,Blackburn,Celtic,eng,sct,0,2,0.0
2002-2003,Second round,2002-11-14,Viking,Celta Vigo,no,es,1,1,0.5
2002-2003,Second round,2002-11-14,Beşiktaş,Alavés,tr,es,1,0,1.0
2002-2003,Second round,2002-11-14,Betis,Viktoria Žižkov,es,cz,3,0,1.0
2002-2003,Second round,2002-11-14,Levski Sofia,Sturm Graz,bg,at,1,0,1.0
2002-2003,Second round,2002-11-14,Wisła Kraków,Parma,pl,it,4,1,1.0
2002-2003,Second round,2002-11-14,Fulham,Dinamo Zagreb,eng,hr,2,1,1.0
2002-2003,Second round,2002-11-14,Red Star,Lazio,rs,it,1,1,0.5
2002-2003,Second round,2002-11-14,Porto,Austria Wien,pt,at,2,0,1.0
2002-2003,Second round,2002-11-14,Slavia Prague,Partizan,cz,rs,4,1,1.0
2002-2003,Second round,2002-11-14,Panathinaikos,Fenerbahçe,gr,tr,4,1,1.0
2002-2003,Second round,2002-11-14,Werder Bremen,Vitesse,de,nl,3,3,0.5
2002-2003,Second round,2002-11-14,Midtjylland,Anderlecht,dk,be,0,3,0.0
2002-2003,Second round,2002-11-14,Schalke 04,Legia Warsaw,de,pl,0,0,0.5
2002-2003,Second round,2002-11-14,Paris S-G,Progresul București,fr,ro,1,0,1.0
2002-2003,Second round,2002-11-14,Hapoel Tel Aviv,Leeds United,il,eng,1,4,0.0
2002-2003,Second round,2002-11-14,Grasshopper,PAOK,ch,gr,1,1,0.5
2002-2003,Third round,2002-11-26,Hertha BSC,Fulham,de,eng,2,1,1.0
2002-2003,Third round,2002-11-26,Paris S-G,Boavista,fr,pt,2,1,1.0
2002-2003,Third round,2002-11-28,Sturm Graz,Lazio,at,it,1,3,0.0
2002-2003,Third round,2002-11-28,Wisła Kraków,Schalke 04,pl,de,1,1,0.5
2002-2003,Third round,2002-11-28,PAOK,Slavia Prague,gr,cz,1,0,1.0
2002-2003,Third round,2002-11-28,AEK Athens,Maccabi Haifa,gr,il,4,0,1.0
2002-2003,Third round,2002-11-28,Bordeaux,Anderlecht,fr,be,0,2,0.0
