Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,1,2014-07-18,Dinamo Zagreb,Slaven Belupo,4,0,1.0
2014-2015,1,2014-07-19,Osijek,Lokomotiva,1,4,0.0
2014-2015,1,2014-07-20,NK Zagreb,Rijeka,1,3,0.0
2014-2015,1,2014-07-20,Hajduk Split,Istra 1961,1,1,0.5
2014-2015,1,2014-07-21,Zadar,RNK Split,1,2,0.0
2014-2015,2,2014-07-25,Lokomotiva,Dinamo Zagreb,3,4,0.0
2014-2015,2,2014-07-26,Slaven Belupo,NK Zagreb,3,2,1.0
2014-2015,2,2014-07-26,Zadar,Osijek,2,1,1.0
2014-2015,2,2014-07-27,RNK Split,Istra 1961,1,1,0.5
2014-2015,2,2014-07-27,Rijeka,Hajduk Split,4,2,1.0
2014-2015,3,2014-08-01,NK Zagreb,Lokomotiva,2,0,1.0
2014-2015,3,2014-08-02,Dinamo Zagreb,Zadar,5,0,1.0
2014-2015,3,2014-08-03,Osijek,RNK Split,1,1,0.5
2014-2015,3,2014-08-03,Hajduk Split,Slaven Belupo,2,0,1.0
2014-2015,3,2014-08-04,Istra 1961,Rijeka,0,1,0.0
2014-2015,4,2014-08-08,Zadar,NK Zagreb,2,2,0.5
2014-2015,4,2014-08-09,Slaven Belupo,Istra 1961,1,1,0.5
2014-2015,4,2014-08-09,Osijek,Dinamo Zagreb,1,2,0.0
2014-2015,4,2014-08-10,Lokomotiva,Hajduk Split,2,5,0.0
2014-2015,4,2014-08-10,RNK Split,Rijeka,0,3,0.0
2014-2015,5,2014-08-15,Dinamo Zagreb,RNK Split,1,0,1.0
2014-2015,5,2014-08-16,Rijeka,Slaven Belupo,3,0,1.0
2014-2015,5,2014-08-16,Hajduk Split,Zadar,6,0,1.0
2014-2015,5,2014-08-17,NK Zagreb,Osijek,1,2,0.0
2014-2015,5,2014-08-17,Istra 1961,Lokomotiva,3,2,1.0
2014-2015,6,2014-08-23,Zadar,Istra 1961,1,1,0.5
2014-2015,6,2014-08-24,RNK Split,Slaven Belupo,2,0,1.0
2014-2015,6,2014-08-24,Lokomotiva,Rijeka,2,1,1.0
2014-2015,6,2014-08-24,Osijek,Hajduk Split,2,0,1.0
2014-2015,6,2014-08-24,Dinamo Zagreb,NK Zagreb,1,1,0.5
2014-2015,7,2014-08-29,Istra 1961,Osijek,0,0,0.5
2014-2015,7,2014-08-30,Slaven Belupo,Lokomotiva,0,2,0.0
2014-2015,7,2014-08-31,Hajduk Split,Dinamo Zagreb,2,3,0.0
2014-2015,7,2014-08-31,Rijeka,Zadar,6,1,1.0
2014-2015,7,2014-08-31,NK Zagreb,RNK Split,2,1,1.0
2014-2015,8,2014-09-12,RNK Split,Lokomotiva,2,2,0.5
2014-2015,8,2014-09-13,Osijek,Rijeka,0,1,0.0
2014-2015,8,2014-09-13,Dinamo Zagreb,Istra 1961,2,0,1.0
2014-2015,8,2014-09-14,Zadar,Slaven Belupo,4,0,1.0
2014-2015,8,2014-09-14,NK Zagreb,Hajduk Split,2,2,0.5
2014-2015,9,2014-09-19,Lokomotiva,Zadar,0,1,0.0
2014-2015,9,2014-09-20,Istra 1961,NK Zagreb,1,2,0.0
2014-2015,9,2014-09-20,Hajduk Split,RNK Split,1,1,0.5
2014-2015,9,2014-09-21,Slaven Belupo,Osijek,2,0,1.0
2014-2015,9,2014-09-21,Rijeka,Dinamo Zagreb,1,2,0.0
2014-2015,10,2014-09-27,Slaven Belupo,Dinamo Zagreb,0,0,0.5
2014-2015,10,2014-09-27,Rijeka,NK Zagreb,3,0,1.0
2014-2015,10,2014-09-28,Lokomotiva,Osijek,2,0,1.0
2014-2015,10,2014-09-28,Istra 1961,Hajduk Split,0,2,0.0
2014-2015,10,2014-09-29,RNK Split,Zadar,3,0,1.0
2014-2015,11,2014-10-03,NK Zagreb,Slaven Belupo,1,1,0.5
2014-2015,11,2014-10-04,Osijek,Zadar,4,1,1.0
2014-2015,11,2014-10-04,Istra 1961,RNK Split,2,0,1.0
2014-2015,11,2014-10-05,Hajduk Split,Rijeka,1,1,0.5
2014-2015,11,2014-10-05,Dinamo Zagreb,Lokomotiva,3,0,1.0
2014-2015,12,2014-10-17,RNK Split,Osijek,3,0,1.0
2014-2015,12,2014-10-18,Zadar,Dinamo Zagreb,1,3,0.0
2014-2015,12,2014-10-18,Rijeka,Istra 1961,3,1,1.0
2014-2015,12,2014-10-19,Lokomotiva,NK Zagreb,3,0,1.0
2014-2015,12,2014-10-19,Slaven Belupo,Hajduk Split,0,1,0.0
2014-2015,13,2014-10-24,NK Zagreb,Zadar,3,0,1.0
2014-2015,13,2014-10-25,Istra 1961,Slaven Belupo,1,0,1.0
2014-2015,13,2014-10-25,Hajduk Split,Lokomotiva,2,2,0.5
2014-2015,13,2014-10-26,Dinamo Zagreb,Osijek,5,0,1.0
2014-2015,13,2014-10-26,Rijeka,RNK Split,1,1,0.5
2014-2015,14,2014-11-01,RNK Split,Dinamo Zagreb,0,0,0.5
2014-2015,14,2014-11-01,Slaven Belupo,Rijeka,1,1,0.5
2014-2015,14,2014-11-02,Osijek,NK Zagreb,1,0,1.0
2014-2015,14,2014-11-02,Zadar,Hajduk Split,0,3,0.0
