Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,1. HNL,1,2019-07-19,Osijek,Slaven Belupo,2,0,1.0
2019-2020,1. HNL,1,2019-07-19,Dinamo Zagreb,Lokomotiva,3,0,1.0
2019-2020,1. HNL,1,2019-07-20,Rijeka,Varaždin,2,1,1.0
2019-2020,1. HNL,1,2019-07-20,Gorica,Inter Zaprešić,1,1,0.5
2019-2020,1. HNL,1,2019-07-21,Hajduk Split,Istra 1961,2,0,1.0
2019-2020,1. HNL,2,2019-07-26,Inter Zaprešić,Istra 1961,0,2,0.0
2019-2020,1. HNL,2,2019-07-27,Slaven Belupo,Dinamo Zagreb,0,3,0.0
2019-2020,1. HNL,2,2019-07-27,Lokomotiva,Rijeka,0,1,0.0
2019-2020,1. HNL,2,2019-07-28,Gorica,Osijek,3,1,1.0
2019-2020,1. HNL,2,2019-07-28,Varaždin,Hajduk Split,0,3,0.0
2019-2020,1. HNL,3,2019-08-02,Dinamo Zagreb,Gorica,3,1,1.0
2019-2020,1. HNL,3,2019-08-03,Istra 1961,Varaždin,3,1,1.0
2019-2020,1. HNL,3,2019-08-03,Rijeka,Slaven Belupo,3,1,1.0
2019-2020,1. HNL,3,2019-08-04,Hajduk Split,Lokomotiva,3,0,1.0
2019-2020,1. HNL,3,2019-08-04,Osijek,Inter Zaprešić,3,1,1.0
2019-2020,1. HNL,4,2019-08-09,Osijek,Dinamo Zagreb,0,0,0.5
2019-2020,1. HNL,4,2019-08-10,Inter Zaprešić,Varaždin,2,2,0.5
2019-2020,1. HNL,4,2019-08-10,Lokomotiva,Istra 1961,4,1,1.0
2019-2020,1. HNL,4,2019-08-11,Slaven Belupo,Hajduk Split,2,1,1.0
2019-2020,1. HNL,4,2019-08-11,Gorica,Rijeka,2,0,1.0
2019-2020,1. HNL,5,2019-08-16,Inter Zaprešić,Dinamo Zagreb,1,2,0.0
2019-2020,1. HNL,5,2019-08-17,Varaždin,Lokomotiva,1,1,0.5
2019-2020,1. HNL,5,2019-08-17,Istra 1961,Slaven Belupo,2,3,0.0
2019-2020,1. HNL,5,2019-08-18,Hajduk Split,Gorica,3,0,1.0
2019-2020,1. HNL,5,2019-08-18,Rijeka,Osijek,1,1,0.5
2019-2020,1. HNL,6,2019-08-24,Slaven Belupo,Varaždin,1,1,0.5
2019-2020,1. HNL,6,2019-08-25,Inter Zaprešić,Lokomotiva,1,2,0.0
2019-2020,1. HNL,6,2019-08-25,Gorica,Istra 1961,1,1,0.5
2019-2020,1. HNL,6,2019-08-25,Osijek,Hajduk Split,1,0,1.0
2019-2020,1. HNL,7,2019-08-30,Lokomotiva,Slaven Belupo,6,1,1.0
2019-2020,1. HNL,7,2019-08-31,Hajduk Split,Dinamo Zagreb,1,0,1.0
2019-2020,1. HNL,7,2019-08-31,Istra 1961,Osijek,0,0,0.5
2019-2020,1. HNL,7,2019-09-01,Varaždin,Gorica,1,3,0.0
2019-2020,1. HNL,7,2019-09-01,Rijeka,Inter Zaprešić,1,1,0.5
2019-2020,1. HNL,8,2019-09-13,Dinamo Zagreb,Istra 1961,1,0,1.0
2019-2020,1. HNL,8,2019-09-14,Inter Zaprešić,Slaven Belupo,3,1,1.0
2019-2020,1. HNL,8,2019-09-14,Gorica,Lokomotiva,0,0,0.5
2019-2020,1. HNL,8,2019-09-15,Osijek,Varaždin,2,2,0.5
2019-2020,1. HNL,8,2019-09-15,Rijeka,Hajduk Split,1,1,0.5
2019-2020,1. HNL,9,2019-09-20,Lokomotiva,Osijek,2,1,1.0
2019-2020,1. HNL,9,2019-09-21,Slaven Belupo,Gorica,2,0,1.0
2019-2020,1. HNL,9,2019-09-21,Varaždin,Dinamo Zagreb,1,0,1.0
2019-2020,1. HNL,9,2019-09-22,Hajduk Split,Inter Zaprešić,3,1,1.0
2019-2020,1. HNL,9,2019-09-22,Istra 1961,Rijeka,0,3,0.0
2019-2020,1. HNL,10,2019-09-27,Lokomotiva,Dinamo Zagreb,0,4,0.0
2019-2020,1. HNL,10,2019-09-28,Varaždin,Rijeka,0,2,0.0
