Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,1,2014-07-25,Concordia,Astra Giurgiu,0,2,0.0
2014-2015,1,2014-07-25,CS U Craiova,Pandurii,1,1,0.5
2014-2015,1,2014-07-26,Târgu Mureș,U Cluj,0,0,0.5
2014-2015,1,2014-07-26,Rapid București,Steaua,1,3,0.0
2014-2015,1,2014-07-27,Botoșani,Gaz Metan,0,3,0.0
2014-2015,1,2014-07-27,CFR Cluj,Ceahlăul,4,0,1.0
2014-2015,1,2014-07-27,Brașov,Petrolul,0,1,0.0
2014-2015,1,2014-07-28,Studențesc Iași,Viitorul,0,0,0.5
2014-2015,1,2014-07-28,Dinamo,Oțelul Galați,4,0,1.0
2014-2015,2,2014-08-01,Ceahlăul,Târgu Mureș,1,4,0.0
2014-2015,2,2014-08-01,Viitorul,Rapid București,1,2,0.0
2014-2015,2,2014-08-02,Oțelul Galați,Concordia,1,2,0.0
2014-2015,2,2014-08-02,Steaua,CS U Craiova,3,1,1.0
2014-2015,2,2014-08-03,Petrolul,Botoșani,4,1,1.0
2014-2015,2,2014-08-03,Astra Giurgiu,Brașov,5,0,1.0
2014-2015,2,2014-08-03,Pandurii,CFR Cluj,0,0,0.5
2014-2015,2,2014-08-04,Gaz Metan,Studențesc Iași,0,0,0.5
2014-2015,2,2014-08-04,U Cluj,Dinamo,2,3,0.0
2014-2015,3,2014-08-08,CS U Craiova,Viitorul,2,2,0.5
2014-2015,3,2014-08-08,Rapid București,Gaz Metan,1,1,0.5
2014-2015,3,2014-08-09,Pandurii,Ceahlăul,0,1,0.0
2014-2015,3,2014-08-09,Dinamo,Târgu Mureș,1,1,0.5
2014-2015,3,2014-08-10,Botoșani,Astra Giurgiu,1,0,1.0
2014-2015,3,2014-08-10,Studențesc Iași,Petrolul,1,5,0.0
2014-2015,3,2014-08-10,CFR Cluj,Steaua,0,1,0.0
2014-2015,3,2014-08-11,Concordia,U Cluj,0,2,0.0
2014-2015,3,2014-08-11,Brașov,Oțelul Galați,1,1,0.5
2014-2015,4,2014-08-15,Gaz Metan,CS U Craiova,1,0,1.0
2014-2015,4,2014-08-15,Steaua,Pandurii,6,0,1.0
2014-2015,4,2014-08-16,Astra Giurgiu,Studențesc Iași,2,1,1.0
2014-2015,4,2014-08-16,Petrolul,Rapid București,0,0,0.5
2014-2015,4,2014-08-17,Târgu Mureș,Concordia,2,0,1.0
2014-2015,4,2014-08-17,Oțelul Galați,Botoșani,0,1,0.0
2014-2015,4,2014-08-17,Ceahlăul,Dinamo,1,1,0.5
2014-2015,4,2014-08-18,U Cluj,Brașov,1,1,0.5
2014-2015,4,2014-08-18,Viitorul,CFR Cluj,0,2,0.0
