Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,1,2017-07-14,CS U Craiova,Poli Iași,2,0,1.0
2017-2018,Regular season,1,2017-07-15,Concordia,Poli Timișoara,0,1,0.0
2017-2018,Regular season,1,2017-07-15,Juventus,Dinamo,0,3,0.0
2017-2018,Regular season,1,2017-07-16,Astra Giurgiu,Sepsi,1,0,1.0
2017-2018,Regular season,1,2017-07-16,FCSB,Voluntari,2,1,1.0
2017-2018,Regular season,1,2017-07-17,Viitorul,Gaz Metan,3,0,1.0
2017-2018,Regular season,1,2017-07-17,Botoșani,CFR Cluj,1,1,0.5
2017-2018,Regular season,2,2017-07-21,Sepsi,Juventus,2,1,1.0
2017-2018,Regular season,2,2017-07-21,Poli Timișoara,FCSB,0,1,0.0
2017-2018,Regular season,2,2017-07-22,CS U Craiova,Concordia,1,1,0.5
2017-2018,Regular season,2,2017-07-22,CFR Cluj,Viitorul,2,0,1.0
2017-2018,Regular season,2,2017-07-23,Poli Iași,Gaz Metan,0,0,0.5
2017-2018,Regular season,2,2017-07-23,Dinamo,Botoșani,0,1,0.0
2017-2018,Regular season,2,2017-07-24,Voluntari,Astra Giurgiu,3,1,1.0
2017-2018,Regular season,3,2017-07-28,Botoșani,Sepsi,5,1,1.0
2017-2018,Regular season,3,2017-07-28,Concordia,Poli Iași,0,1,0.0
2017-2018,Regular season,3,2017-07-29,Juventus,Voluntari,0,0,0.5
2017-2018,Regular season,3,2017-07-29,Gaz Metan,CFR Cluj,0,3,0.0
2017-2018,Regular season,3,2017-07-30,Viitorul,Dinamo,0,1,0.0
2017-2018,Regular season,3,2017-07-30,FCSB,CS U Craiova,1,1,0.5
2017-2018,Regular season,3,2017-07-31,Astra Giurgiu,Poli Timișoara,3,0,1.0
2017-2018,Regular season,4,2017-08-04,Poli Timișoara,Juventus,2,1,1.0
2017-2018,Regular season,4,2017-08-04,Voluntari,Botoșani,1,3,0.0
2017-2018,Regular season,4,2017-08-05,Sepsi,Viitorul,1,0,1.0
2017-2018,Regular season,4,2017-08-05,Poli Iași,CFR Cluj,0,2,0.0
2017-2018,Regular season,4,2017-08-06,CS U Craiova,Astra Giurgiu,1,1,0.5
2017-2018,Regular season,4,2017-08-06,Concordia,FCSB,1,2,0.0
2017-2018,Regular season,4,2017-08-07,Dinamo,Gaz Metan,3,1,1.0
2017-2018,Regular season,5,2017-08-08,Botoșani,Poli Timișoara,1,0,1.0
2017-2018,Regular season,5,2017-08-08,Viitorul,Voluntari,0,0,0.5
2017-2018,Regular season,5,2017-08-09,Astra Giurgiu,Concordia,1,0,1.0
2017-2018,Regular season,5,2017-08-09,Juventus,CS U Craiova,0,1,0.0
2017-2018,Regular season,5,2017-08-09,FCSB,Poli Iași,1,1,0.5
2017-2018,Regular season,5,2017-08-10,Gaz Metan,Sepsi,2,1,1.0
2017-2018,Regular season,5,2017-08-10,CFR Cluj,Dinamo,1,0,1.0
2017-2018,Regular season,6,2017-08-11,Poli Timișoara,Viitorul,0,0,0.5
2017-2018,Regular season,6,2017-08-12,Concordia,Juventus,1,1,0.5
2017-2018,Regular season,6,2017-08-12,FCSB,Astra Giurgiu,1,1,0.5
2017-2018,Regular season,6,2017-08-13,CS U Craiova,Botoșani,1,0,1.0
2017-2018,Regular season,6,2017-08-13,Poli Iași,Dinamo,2,1,1.0
2017-2018,Regular season,6,2017-08-14,Voluntari,Gaz Metan,2,1,1.0
2017-2018,Regular season,6,2017-08-14,Sepsi,CFR Cluj,0,2,0.0
2017-2018,Regular season,7,2017-08-18,Astra Giurgiu,Poli Iași,0,0,0.5
2017-2018,Regular season,7,2017-08-19,Gaz Metan,Poli Timișoara,0,2,0.0
2017-2018,Regular season,7,2017-08-19,Juventus,FCSB,1,2,0.0
2017-2018,Regular season,7,2017-08-20,Viitorul,CS U Craiova,0,2,0.0
2017-2018,Regular season,7,2017-08-20,CFR Cluj,Voluntari,2,0,1.0
2017-2018,Regular season,7,2017-08-21,Botoșani,Concordia,2,1,1.0
2017-2018,Regular season,7,2017-08-21,Dinamo,Sepsi,1,0,1.0
2017-2018,Regular season,8,2017-08-25,Astra Giurgiu,Juventus,2,0,1.0
2017-2018,Regular season,8,2017-08-25,CS U Craiova,Gaz Metan,2,0,1.0
2017-2018,Regular season,8,2017-08-26,Poli Timișoara,CFR Cluj,4,3,1.0
2017-2018,Regular season,8,2017-08-26,Voluntari,Dinamo,1,3,0.0
2017-2018,Regular season,8,2017-08-27,Concordia,Viitorul,1,2,0.0
2017-2018,Regular season,8,2017-08-27,FCSB,Botoșani,2,0,1.0
2017-2018,Regular season,8,2017-08-28,Poli Iași,Sepsi,0,2,0.0
2017-2018,Regular season,9,2017-09-08,Botoșani,Astra Giurgiu,1,3,0.0
2017-2018,Regular season,9,2017-09-09,Juventus,Poli Iași,2,2,0.5
2017-2018,Regular season,9,2017-09-09,Viitorul,FCSB,1,0,1.0
2017-2018,Regular season,9,2017-09-10,Sepsi,Voluntari,0,3,0.0
2017-2018,Regular season,9,2017-09-10,CFR Cluj,CS U Craiova,2,1,1.0
2017-2018,Regular season,9,2017-09-11,Gaz Metan,Concordia,1,2,0.0
2017-2018,Regular season,9,2017-09-11,Dinamo,Poli Timișoara,1,2,0.0
2017-2018,Regular season,10,2017-09-15,Juventus,Botoșani,0,2,0.0
2017-2018,Regular season,10,2017-09-15,Poli Iași,Voluntari,2,1,1.0
2017-2018,Regular season,10,2017-09-16,Poli Timișoara,Sepsi,0,0,0.5
2017-2018,Regular season,10,2017-09-16,CS U Craiova,Dinamo,2,2,0.5
2017-2018,Regular season,10,2017-09-17,Concordia,CFR Cluj,0,1,0.0
2017-2018,Regular season,10,2017-09-17,FCSB,Gaz Metan,4,0,1.0
2017-2018,Regular season,10,2017-09-18,Astra Giurgiu,Viitorul,3,1,1.0
2017-2018,Regular season,11,2017-09-19,Voluntari,Poli Timișoara,1,0,1.0
2017-2018,Regular season,11,2017-09-19,Sepsi,CS U Craiova,2,3,0.0
2017-2018,Regular season,11,2017-09-20,Botoșani,Poli Iași,3,3,0.5
2017-2018,Regular season,11,2017-09-21,Viitorul,Juventus,3,0,1.0
2017-2018,Regular season,11,2017-09-21,Gaz Metan,Astra Giurgiu,0,0,0.5
2017-2018,Regular season,11,2017-09-21,CFR Cluj,FCSB,1,1,0.5
2017-2018,Regular season,12,2017-09-22,CS U Craiova,Voluntari,1,1,0.5
2017-2018,Regular season,12,2017-09-23,Concordia,Sepsi,2,1,1.0
2017-2018,Regular season,12,2017-09-24,Juventus,Gaz Metan,1,1,0.5
2017-2018,Regular season,12,2017-09-24,Poli Iași,Poli Timișoara,1,1,0.5
2017-2018,Regular season,12,2017-09-24,FCSB,Dinamo,1,0,1.0
2017-2018,Regular season,12,2017-09-25,Botoșani,Viitorul,1,0,1.0
2017-2018,Regular season,12,2017-09-25,Astra Giurgiu,CFR Cluj,2,3,0.0
2017-2018,Regular season,11,2017-09-27,Dinamo,Concordia,2,3,0.0
2017-2018,Regular season,13,2017-09-29,Gaz Metan,Botoșani,1,0,1.0
2017-2018,Regular season,13,2017-09-29,Poli Timișoara,CS U Craiova,0,2,0.0
2017-2018,Regular season,13,2017-09-30,Viitorul,Poli Iași,5,2,1.0
2017-2018,Regular season,13,2017-09-30,Dinamo,Astra Giurgiu,1,1,0.5
2017-2018,Regular season,13,2017-10-01,CFR Cluj,Juventus,2,0,1.0
2017-2018,Regular season,13,2017-10-01,Sepsi,FCSB,0,4,0.0
2017-2018,Regular season,13,2017-10-02,Voluntari,Concordia,0,1,0.0
2017-2018,Regular season,14,2017-10-13,Voluntari,FCSB,0,0,0.5
2017-2018,Regular season,14,2017-10-14,Gaz Metan,Viitorul,0,1,0.0
2017-2018,Regular season,14,2017-10-14,Poli Iași,CS U Craiova,1,2,0.0
2017-2018,Regular season,14,2017-10-15,Sepsi,Astra Giurgiu,0,0,0.5
2017-2018,Regular season,14,2017-10-15,CFR Cluj,Botoșani,0,0,0.5
2017-2018,Regular season,14,2017-10-16,Poli Timișoara,Concordia,0,3,0.0
2017-2018,Regular season,14,2017-10-16,Dinamo,Juventus,3,0,1.0
2017-2018,Regular season,15,2017-10-20,Gaz Metan,Poli Iași,0,2,0.0
2017-2018,Regular season,15,2017-10-20,Concordia,CS U Craiova,1,2,0.0
2017-2018,Regular season,15,2017-10-21,Juventus,Sepsi,2,1,1.0
2017-2018,Regular season,15,2017-10-21,Viitorul,CFR Cluj,1,0,1.0
2017-2018,Regular season,15,2017-10-22,Astra Giurgiu,Voluntari,2,3,0.0
2017-2018,Regular season,15,2017-10-22,FCSB,Poli Timișoara,7,0,1.0
2017-2018,Regular season,15,2017-10-23,Botoșani,Dinamo,0,0,0.5
2017-2018,Regular season,16,2017-10-27,Poli Iași,Concordia,3,1,1.0
2017-2018,Regular season,16,2017-10-28,Voluntari,Juventus,0,0,0.5
2017-2018,Regular season,16,2017-10-28,Poli Timișoara,Astra Giurgiu,2,1,1.0
2017-2018,Regular season,16,2017-10-29,CFR Cluj,Gaz Metan,0,0,0.5
2017-2018,Regular season,16,2017-10-29,CS U Craiova,FCSB,2,5,0.0
2017-2018,Regular season,16,2017-10-30,Sepsi,Botoșani,0,2,0.0
2017-2018,Regular season,16,2017-10-30,Dinamo,Viitorul,0,4,0.0
2017-2018,Regular season,17,2017-11-03,Botoșani,Voluntari,1,0,1.0
