Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2024-2025,1,2024-08-16,Le Havre,Paris S-G,1.0,4.0,0.0
2024-2025,1,2024-08-17,Brest,Marseille,1.0,5.0,0.0
2024-2025,1,2024-08-17,Reims,Lille,0.0,2.0,0.0
2024-2025,1,2024-08-17,Monaco,Saint-Étienne,1.0,0.0,1.0
2024-2025,1,2024-08-18,Auxerre,Nice,2.0,1.0,1.0
2024-2025,1,2024-08-18,Montpellier,Strasbourg,1.0,1.0,0.5
2024-2025,1,2024-08-18,Toulouse,Nantes,0.0,0.0,0.5
2024-2025,1,2024-08-18,Angers,Lens,0.0,1.0,0.0
2024-2025,1,2024-08-18,Rennes,Lyon,3.0,0.0,1.0
2024-2025,2,2024-08-23,Paris S-G,Montpellier,6.0,0.0,1.0
2024-2025,2,2024-08-24,Lyon,Monaco,0.0,2.0,0.0
2024-2025,2,2024-08-24,Lille,Angers,2.0,0.0,1.0
2024-2025,2,2024-08-24,Saint-Étienne,Le Havre,0.0,2.0,0.0
2024-2025,2,2024-08-25,Lens,Brest,2.0,0.0,1.0
2024-2025,2,2024-08-25,Nice,Toulouse,1.0,1.0,0.5
2024-2025,2,2024-08-25,Nantes,Auxerre,2.0,0.0,1.0
2024-2025,2,2024-08-25,Strasbourg,Rennes,3.0,1.0,1.0
2024-2025,2,2024-08-25,Marseille,Reims,2.0,2.0,0.5
2024-2025,3,2024-08-30,Lyon,Strasbourg,4.0,3.0,1.0
2024-2025,3,2024-08-31,Brest,Saint-Étienne,4.0,0.0,1.0
2024-2025,3,2024-08-31,Montpellier,Nantes,1.0,3.0,0.0
2024-2025,3,2024-08-31,Toulouse,Marseille,1.0,3.0,0.0
2024-2025,3,2024-09-01,Monaco,Lens,1.0,1.0,0.5
2024-2025,3,2024-09-01,Le Havre,Auxerre,3.0,1.0,1.0
2024-2025,3,2024-09-01,Reims,Rennes,2.0,1.0,1.0
2024-2025,3,2024-09-01,Angers,Nice,1.0,4.0,0.0
2024-2025,3,2024-09-01,Lille,Paris S-G,1.0,3.0,0.0
2024-2025,4,2024-09-13,Saint-Étienne,Lille,1.0,0.0,1.0
2024-2025,4,2024-09-14,Marseille,Nice,2.0,0.0,1.0
2024-2025,4,2024-09-14,Auxerre,Monaco,0.0,3.0,0.0
2024-2025,4,2024-09-14,Paris S-G,Brest,3.0,1.0,1.0
2024-2025,4,2024-09-15,Rennes,Montpellier,3.0,0.0,1.0
2024-2025,4,2024-09-15,Strasbourg,Angers,1.0,1.0,0.5
2024-2025,4,2024-09-15,Nantes,Reims,1.0,2.0,0.0
2024-2025,4,2024-09-15,Toulouse,Le Havre,2.0,0.0,1.0
2024-2025,4,2024-09-15,Lens,Lyon,0.0,0.0,0.5
2024-2025,5,2024-09-20,Nice,Saint-Étienne,8.0,0.0,1.0
2024-2025,5,2024-09-21,Lille,Strasbourg,3.0,3.0,0.5
2024-2025,5,2024-09-21,Rennes,Lens,1.0,1.0,0.5
2024-2025,5,2024-09-21,Reims,Paris S-G,1.0,1.0,0.5
2024-2025,5,2024-09-22,Monaco,Le Havre,3.0,1.0,1.0
2024-2025,5,2024-09-22,Angers,Nantes,1.0,1.0,0.5
2024-2025,5,2024-09-22,Brest,Toulouse,2.0,0.0,1.0
2024-2025,5,2024-09-22,Montpellier,Auxerre,3.0,2.0,1.0
2024-2025,5,2024-09-22,Lyon,Marseille,2.0,3.0,0.0
2024-2025,6,2024-09-27,Auxerre,Brest,3.0,0.0,1.0
2024-2025,6,2024-09-27,Paris S-G,Rennes,3.0,1.0,1.0
2024-2025,6,2024-09-28,Lens,Nice,0.0,0.0,0.5
2024-2025,6,2024-09-28,Le Havre,Lille,0.0,3.0,0.0
2024-2025,6,2024-09-28,Monaco,Montpellier,2.0,1.0,1.0
2024-2025,6,2024-09-29,Toulouse,Lyon,1.0,2.0,0.0
2024-2025,6,2024-09-29,Angers,Reims,1.0,3.0,0.0
2024-2025,6,2024-09-29,Nantes,Saint-Étienne,2.0,2.0,0.5
2024-2025,6,2024-09-29,Strasbourg,Marseille,1.0,0.0,1.0
2024-2025,7,2024-10-04,Marseille,Angers,1.0,1.0,0.5
2024-2025,7,2024-10-05,Saint-Étienne,Auxerre,3.0,1.0,1.0
2024-2025,7,2024-10-05,Lille,Toulouse,2.0,1.0,1.0
2024-2025,7,2024-10-05,Rennes,Monaco,1.0,2.0,0.0
2024-2025,7,2024-10-06,Lyon,Nantes,2.0,0.0,1.0
2024-2025,7,2024-10-06,Strasbourg,Lens,2.0,2.0,0.5
2024-2025,7,2024-10-06,Reims,Montpellier,4.0,2.0,1.0
2024-2025,7,2024-10-06,Brest,Le Havre,2.0,0.0,1.0
2024-2025,7,2024-10-06,Nice,Paris S-G,1.0,1.0,0.5
2024-2025,8,2024-10-18,Monaco,Lille,0.0,0.0,0.5
2024-2025,8,2024-10-19,Brest,Rennes,1.0,1.0,0.5
2024-2025,8,2024-10-19,Saint-Étienne,Lens,0.0,2.0,0.0
2024-2025,8,2024-10-19,Paris S-G,Strasbourg,4.0,2.0,1.0
2024-2025,8,2024-10-20,Le Havre,Lyon,0.0,4.0,0.0
2024-2025,8,2024-10-20,Auxerre,Reims,2.0,1.0,1.0
2024-2025,8,2024-10-20,Nantes,Nice,1.0,1.0,0.5
2024-2025,8,2024-10-20,Toulouse,Angers,1.0,1.0,0.5
2024-2025,8,2024-10-20,Montpellier,Marseille,0.0,5.0,0.0
2024-2025,9,2024-10-25,Rennes,Le Havre,1.0,0.0,1.0
2024-2025,9,2024-10-26,Angers,Saint-Étienne,4.0,2.0,1.0
2024-2025,9,2024-10-26,Reims,Brest,1.0,2.0,0.0
2024-2025,9,2024-10-26,Lens,Lille,0.0,2.0,0.0
2024-2025,9,2024-10-27,Lyon,Auxerre,2.0,2.0,0.5
2024-2025,9,2024-10-27,Montpellier,Toulouse,0.0,3.0,0.0
2024-2025,9,2024-10-27,Nice,Monaco,2.0,1.0,1.0
2024-2025,9,2024-10-27,Strasbourg,Nantes,3.0,1.0,1.0
2024-2025,9,2024-10-27,Marseille,Paris S-G,0.0,3.0,0.0
2024-2025,10,2024-11-01,Monaco,Angers,0.0,1.0,0.0
2024-2025,10,2024-11-01,Lille,Lyon,1.0,1.0,0.5
2024-2025,10,2024-11-02,Paris S-G,Lens,1.0,0.0,1.0
2024-2025,10,2024-11-02,Brest,Nice,0.0,1.0,0.0
2024-2025,10,2024-11-02,Saint-Étienne,Strasbourg,2.0,0.0,1.0
2024-2025,10,2024-11-03,Toulouse,Reims,1.0,0.0,1.0
2024-2025,10,2024-11-03,Le Havre,Montpellier,1.0,0.0,1.0
2024-2025,10,2024-11-03,Auxerre,Rennes,4.0,0.0,1.0
2024-2025,10,2024-11-03,Nantes,Marseille,1.0,2.0,0.0
2024-2025,11,2024-11-08,Marseille,Auxerre,1.0,3.0,0.0
2024-2025,11,2024-11-09,Strasbourg,Monaco,1.0,3.0,0.0
2024-2025,11,2024-11-09,Lens,Nantes,3.0,2.0,1.0
2024-2025,11,2024-11-09,Angers,Paris S-G,2.0,4.0,0.0
2024-2025,11,2024-11-10,Nice,Lille,2.0,2.0,0.5
2024-2025,11,2024-11-10,Le Havre,Reims,0.0,3.0,0.0
2024-2025,11,2024-11-10,Montpellier,Brest,3.0,1.0,1.0
2024-2025,11,2024-11-10,Rennes,Toulouse,0.0,2.0,0.0
2024-2025,11,2024-11-10,Lyon,Saint-Étienne,1.0,0.0,1.0
2024-2025,12,2024-11-22,Monaco,Brest,3.0,2.0,1.0
2024-2025,12,2024-11-22,Paris S-G,Toulouse,3.0,0.0,1.0
2024-2025,12,2024-11-23,Lens,Marseille,1.0,3.0,0.0
2024-2025,12,2024-11-23,Saint-Étienne,Montpellier,1.0,0.0,1.0
2024-2025,12,2024-11-23,Reims,Lyon,1.0,1.0,0.5
2024-2025,12,2024-11-24,Lille,Rennes,1.0,0.0,1.0
2024-2025,12,2024-11-24,Nantes,Le Havre,0.0,2.0,0.0
2024-2025,12,2024-11-24,Auxerre,Angers,1.0,0.0,1.0
2024-2025,12,2024-11-24,Nice,Strasbourg,2.0,1.0,1.0
2024-2025,13,2024-11-29,Reims,Lens,0.0,2.0,0.0
2024-2025,13,2024-11-30,Rennes,Saint-Étienne,5.0,0.0,1.0
2024-2025,13,2024-11-30,Brest,Strasbourg,3.0,1.0,1.0
2024-2025,13,2024-11-30,Paris S-G,Nantes,1.0,1.0,0.5
2024-2025,13,2024-12-01,Montpellier,Lille,2.0,2.0,0.5
2024-2025,13,2024-12-01,Lyon,Nice,4.0,1.0,1.0
2024-2025,13,2024-12-01,Le Havre,Angers,0.0,1.0,0.0
2024-2025,13,2024-12-01,Toulouse,Auxerre,2.0,0.0,1.0
2024-2025,13,2024-12-01,Marseille,Monaco,2.0,1.0,1.0
2024-2025,14,2024-12-06,Lille,Brest,3.0,1.0,1.0
2024-2025,14,2024-12-06,Auxerre,Paris S-G,0.0,0.0,0.5
2024-2025,14,2024-12-07,Monaco,Toulouse,2.0,0.0,1.0
2024-2025,14,2024-12-07,Nice,Le Havre,2.0,1.0,1.0
2024-2025,14,2024-12-07,Angers,Lyon,0.0,3.0,0.0
2024-2025,14,2024-12-08,Lens,Montpellier,2.0,0.0,1.0
2024-2025,14,2024-12-08,Strasbourg,Reims,0.0,0.0,0.5
2024-2025,14,2024-12-08,Nantes,Rennes,1.0,0.0,1.0
2024-2025,14,2024-12-08,Saint-Étienne,Marseille,0.0,2.0,0.0
2024-2025,15,2024-12-13,Toulouse,Saint-Étienne,2.0,1.0,1.0
2024-2025,15,2024-12-14,Marseille,Lille,1.0,1.0,0.5
2024-2025,15,2024-12-14,Auxerre,Lens,2.0,2.0,0.5
2024-2025,15,2024-12-14,Reims,Monaco,0.0,0.0,0.5
2024-2025,15,2024-12-15,Montpellier,Nice,2.0,2.0,0.5
2024-2025,15,2024-12-15,Brest,Nantes,4.0,1.0,1.0
2024-2025,15,2024-12-15,Le Havre,Strasbourg,0.0,3.0,0.0
2024-2025,15,2024-12-15,Rennes,Angers,2.0,0.0,1.0
2024-2025,15,2024-12-15,Paris S-G,Lyon,3.0,1.0,1.0
2024-2025,16,2024-12-18,Monaco,Paris S-G,2.0,4.0,0.0
2024-2025,16,2025-01-03,Nice,Rennes,3.0,2.0,1.0
2024-2025,16,2025-01-04,Saint-Étienne,Reims,3.0,1.0,1.0
2024-2025,16,2025-01-04,Lille,Nantes,1.0,1.0,0.5
2024-2025,16,2025-01-04,Lyon,Montpellier,1.0,0.0,1.0
2024-2025,16,2025-01-05,Lens,Toulouse,0.0,1.0,0.0
2024-2025,16,2025-01-05,Angers,Brest,2.0,0.0,1.0
2024-2025,16,2025-01-05,Strasbourg,Auxerre,3.0,1.0,1.0
2024-2025,16,2025-01-05,Marseille,Le Havre,5.0,1.0,1.0
2024-2025,17,2025-01-10,Nantes,Monaco,2.0,2.0,0.5
2024-2025,17,2025-01-10,Auxerre,Lille,0.0,0.0,0.5
2024-2025,17,2025-01-11,Brest,Lyon,2.0,1.0,1.0
2024-2025,17,2025-01-11,Reims,Nice,2.0,4.0,0.0
2024-2025,17,2025-01-11,Rennes,Marseille,1.0,2.0,0.0
2024-2025,17,2025-01-12,Le Havre,Lens,1.0,2.0,0.0
2024-2025,17,2025-01-12,Montpellier,Angers,1.0,3.0,0.0
2024-2025,17,2025-01-12,Toulouse,Strasbourg,1.0,2.0,0.0
2024-2025,17,2025-01-12,Paris S-G,Saint-Étienne,2.0,1.0,1.0
2024-2025,18,2025-01-17,Montpellier,Monaco,2.0,1.0,1.0
2024-2025,18,2025-01-17,Lille,Nice,2.0,1.0,1.0
2024-2025,18,2025-01-18,Lens,Paris S-G,1.0,2.0,0.0
2024-2025,18,2025-01-18,Rennes,Brest,1.0,2.0,0.0
2024-2025,18,2025-01-18,Lyon,Toulouse,0.0,0.0,0.5
2024-2025,18,2025-01-19,Saint-Étienne,Nantes,1.0,1.0,0.5
2024-2025,18,2025-01-19,Angers,Auxerre,2.0,0.0,1.0
2024-2025,18,2025-01-19,Reims,Le Havre,1.0,1.0,0.5
2024-2025,18,2025-01-19,Marseille,Strasbourg,1.0,1.0,0.5
2024-2025,19,2025-01-24,Auxerre,Saint-Étienne,1.0,1.0,0.5
2024-2025,19,2025-01-25,Monaco,Rennes,3.0,2.0,1.0
2024-2025,19,2025-01-25,Strasbourg,Lille,2.0,1.0,1.0
2024-2025,19,2025-01-25,Paris S-G,Reims,1.0,1.0,0.5
2024-2025,19,2025-01-26,Le Havre,Brest,0.0,1.0,0.0
2024-2025,19,2025-01-26,Lens,Angers,1.0,0.0,1.0
2024-2025,19,2025-01-26,Toulouse,Montpellier,1.0,2.0,0.0
2024-2025,19,2025-01-26,Nantes,Lyon,1.0,1.0,0.5
2024-2025,19,2025-01-26,Nice,Marseille,2.0,0.0,1.0
2024-2025,20,2025-01-31,Montpellier,Lens,0.0,2.0,0.0
2024-2025,20,2025-02-01,Brest,Paris S-G,2.0,5.0,0.0
2024-2025,20,2025-02-01,Monaco,Auxerre,4.0,2.0,1.0
2024-2025,20,2025-02-01,Lille,Saint-Étienne,4.0,1.0,1.0
2024-2025,20,2025-02-02,Toulouse,Nice,1.0,1.0,0.5
2024-2025,20,2025-02-02,Angers,Le Havre,1.0,1.0,0.5
2024-2025,20,2025-02-02,Rennes,Strasbourg,1.0,0.0,1.0
2024-2025,20,2025-02-02,Reims,Nantes,1.0,2.0,0.0
2024-2025,20,2025-02-02,Marseille,Lyon,3.0,2.0,1.0
2024-2025,21,2025-02-07,Nantes,Brest,0.0,2.0,0.0
2024-2025,21,2025-02-07,Paris S-G,Monaco,4.0,1.0,1.0
2024-2025,21,2025-02-08,Nice,Lens,2.0,0.0,1.0
2024-2025,21,2025-02-08,Lille,Le Havre,1.0,2.0,0.0
2024-2025,21,2025-02-08,Saint-Étienne,Rennes,0.0,2.0,0.0
2024-2025,21,2025-02-09,Lyon,Reims,4.0,0.0,1.0
2024-2025,21,2025-02-09,Auxerre,Toulouse,2.0,2.0,0.5
2024-2025,21,2025-02-09,Strasbourg,Montpellier,2.0,0.0,1.0
2024-2025,21,2025-02-09,Angers,Marseille,0.0,2.0,0.0
2024-2025,22,2025-02-14,Brest,Auxerre,2.0,2.0,0.5
2024-2025,22,2025-02-15,Marseille,Saint-Étienne,5.0,1.0,1.0
2024-2025,22,2025-02-15,Monaco,Nantes,7.0,1.0,1.0
2024-2025,22,2025-02-15,Toulouse,Paris S-G,0.0,1.0,0.0
2024-2025,22,2025-02-16,Montpellier,Lyon,1.0,4.0,0.0
2024-2025,22,2025-02-16,Reims,Angers,0.0,1.0,0.0
2024-2025,22,2025-02-16,Lens,Strasbourg,0.0,2.0,0.0
2024-2025,22,2025-02-16,Le Havre,Nice,1.0,3.0,0.0
2024-2025,22,2025-02-16,Rennes,Lille,0.0,2.0,0.0
2024-2025,23,2025-02-21,Rennes,Reims,1.0,0.0,1.0
2024-2025,23,2025-02-22,Lille,Monaco,,,0.5
2024-2025,23,2025-02-22,Saint-Étienne,Angers,,,0.5
2024-2025,23,2025-02-22,Auxerre,Marseille,,,0.5
2024-2025,23,2025-02-23,Nantes,Lens,,,0.5
2024-2025,23,2025-02-23,Strasbourg,Brest,,,0.5
2024-2025,23,2025-02-23,Le Havre,Toulouse,,,0.5
2024-2025,23,2025-02-23,Nice,Montpellier,,,0.5
2024-2025,23,2025-02-23,Lyon,Paris S-G,,,0.5
2024-2025,24,2025-02-28,Monaco,Reims,,,0.5
2024-2025,24,2025-03-01,Saint-Étienne,Nice,,,0.5
