Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,1,2019-08-03,Kisvárda,Paks,1,0,1.0
2019-2020,1,2019-08-03,Újpest,Puskás,1,3,0.0
2019-2020,1,2019-08-03,Mezőkövesd,Zalaegerszeg,1,0,1.0
2019-2020,1,2019-08-04,Diósgyőr,Honvéd,2,1,1.0
2019-2020,1,2019-08-04,Vidi,Kaposvári,4,2,1.0
2019-2020,2,2019-08-10,Kaposvári,Mezőkövesd,1,2,0.0
2019-2020,2,2019-08-10,Diósgyőr,Újpest,1,2,0.0
2019-2020,2,2019-08-11,Puskás,Vidi,0,2,0.0
2019-2020,2,2019-08-11,Paks,Honvéd,3,1,1.0
2019-2020,2,2019-08-11,Debrecen,Kisvárda,4,1,1.0
2019-2020,3,2019-08-17,Debrecen,Zalaegerszeg,3,2,1.0
2019-2020,3,2019-08-17,Újpest,Paks,1,1,0.5
2019-2020,3,2019-08-17,Mezőkövesd,Puskás,1,0,1.0
2019-2020,3,2019-08-17,Honvéd,Kisvárda,1,3,0.0
2019-2020,3,2019-08-17,Ferencváros,Kaposvári,1,0,1.0
2019-2020,3,2019-08-17,Vidi,Diósgyőr,5,1,1.0
2019-2020,4,2019-08-24,Honvéd,Debrecen,2,3,0.0
2019-2020,4,2019-08-24,Paks,Vidi,0,2,0.0
2019-2020,4,2019-08-24,Kaposvári,Zalaegerszeg,0,4,0.0
2019-2020,4,2019-08-24,Diósgyőr,Mezőkövesd,0,3,0.0
2019-2020,4,2019-08-24,Kisvárda,Újpest,2,0,1.0
2019-2020,4,2019-08-25,Puskás,Ferencváros,4,1,1.0
2019-2020,5,2019-08-31,Mezőkövesd,Paks,0,2,0.0
2019-2020,5,2019-08-31,Vidi,Kisvárda,3,0,1.0
2019-2020,5,2019-08-31,Újpest,Honvéd,2,3,0.0
2019-2020,5,2019-08-31,Zalaegerszeg,Puskás,1,1,0.5
2019-2020,5,2019-08-31,Debrecen,Kaposvári,0,1,0.0
2019-2020,5,2019-09-01,Ferencváros,Diósgyőr,1,0,1.0
2019-2020,6,2019-09-14,Diósgyőr,Zalaegerszeg,1,0,1.0
2019-2020,6,2019-09-14,Puskás,Kaposvári,2,0,1.0
2019-2020,6,2019-09-14,Honvéd,Vidi,0,1,0.0
2019-2020,6,2019-09-14,Kisvárda,Mezőkövesd,1,2,0.0
2019-2020,6,2019-09-14,Újpest,Debrecen,3,2,1.0
2019-2020,6,2019-09-14,Paks,Ferencváros,0,4,0.0
2019-2020,2,2019-09-22,Zalaegerszeg,Ferencváros,1,2,0.0
2019-2020,7,2019-09-28,Zalaegerszeg,Paks,3,1,1.0
2019-2020,7,2019-09-28,Debrecen,Puskás,1,2,0.0
2019-2020,7,2019-09-28,Mezőkövesd,Honvéd,1,2,0.0
2019-2020,7,2019-09-28,Kaposvári,Diósgyőr,2,0,1.0
2019-2020,7,2019-09-28,Vidi,Újpest,0,2,0.0
2019-2020,7,2019-09-29,Ferencváros,Kisvárda,1,0,1.0
2019-2020,8,2019-10-05,Újpest,Mezőkövesd,1,2,0.0
2019-2020,8,2019-10-05,Paks,Kaposvári,2,1,1.0
2019-2020,8,2019-10-05,Kisvárda,Zalaegerszeg,3,3,0.5
2019-2020,8,2019-10-05,Diósgyőr,Puskás,1,1,0.5
2019-2020,8,2019-10-05,Vidi,Debrecen,2,1,1.0
2019-2020,8,2019-10-06,Honvéd,Ferencváros,0,0,0.5
2019-2020,9,2019-10-19,Mezőkövesd,Vidi,0,0,0.5
2019-2020,9,2019-10-19,Puskás,Paks,4,2,1.0
2019-2020,9,2019-10-19,Kaposvári,Kisvárda,0,2,0.0
2019-2020,9,2019-10-19,Debrecen,Diósgyőr,2,1,1.0
2019-2020,9,2019-10-19,Zalaegerszeg,Honvéd,0,1,0.0
2019-2020,9,2019-10-19,Ferencváros,Újpest,1,0,1.0
2019-2020,10,2019-10-26,Mezőkövesd,Debrecen,3,1,1.0
2019-2020,10,2019-10-26,Honvéd,Kaposvári,2,0,1.0
2019-2020,10,2019-10-26,Újpest,Zalaegerszeg,0,0,0.5
2019-2020,10,2019-10-26,Kisvárda,Puskás,0,1,0.0
2019-2020,10,2019-10-26,Paks,Diósgyőr,1,2,0.0
2019-2020,10,2019-10-27,Vidi,Ferencváros,1,2,0.0
2019-2020,11,2019-11-02,Puskás,Honvéd,1,2,0.0
2019-2020,11,2019-11-02,Debrecen,Paks,3,1,1.0
2019-2020,11,2019-11-02,Zalaegerszeg,Vidi,3,3,0.5
2019-2020,11,2019-11-02,Kaposvári,Újpest,2,3,0.0
2019-2020,11,2019-11-02,Diósgyőr,Kisvárda,3,1,1.0
2019-2020,11,2019-11-02,Ferencváros,Mezőkövesd,1,1,0.5
2019-2020,12,2019-11-09,Paks,Kisvárda,1,1,0.5
2019-2020,12,2019-11-09,Puskás,Újpest,1,3,0.0
2019-2020,12,2019-11-09,Kaposvári,Vidi,0,2,0.0
2019-2020,12,2019-11-09,Zalaegerszeg,Mezőkövesd,1,1,0.5
2019-2020,12,2019-11-09,Honvéd,Diósgyőr,1,0,1.0
2019-2020,12,2019-11-10,Debrecen,Ferencváros,1,6,0.0
2019-2020,13,2019-11-23,Honvéd,Paks,2,1,1.0
2019-2020,13,2019-11-23,Mezőkövesd,Kaposvári,2,0,1.0
2019-2020,13,2019-11-23,Kisvárda,Debrecen,1,0,1.0
2019-2020,13,2019-11-23,Vidi,Puskás,1,3,0.0
2019-2020,13,2019-11-23,Újpest,Diósgyőr,0,2,0.0
2019-2020,13,2019-11-24,Ferencváros,Zalaegerszeg,3,2,1.0
2019-2020,14,2019-11-30,Zalaegerszeg,Debrecen,0,2,0.0
2019-2020,14,2019-11-30,Puskás,Mezőkövesd,1,1,0.5
2019-2020,14,2019-11-30,Paks,Újpest,2,4,0.0
2019-2020,14,2019-11-30,Kisvárda,Honvéd,2,0,1.0
2019-2020,14,2019-11-30,Diósgyőr,Vidi,1,3,0.0
2019-2020,14,2019-12-01,Kaposvári,Ferencváros,2,3,0.0
2019-2020,15,2019-12-07,Mezőkövesd,Diósgyőr,0,1,0.0
2019-2020,15,2019-12-07,Zalaegerszeg,Kaposvári,2,0,1.0
2019-2020,15,2019-12-07,Debrecen,Honvéd,1,1,0.5
2019-2020,15,2019-12-07,Vidi,Paks,0,2,0.0
2019-2020,15,2019-12-07,Újpest,Kisvárda,1,0,1.0
2019-2020,15,2019-12-08,Ferencváros,Puskás,2,2,0.5
2019-2020,16,2019-12-14,Puskás,Zalaegerszeg,0,1,0.0
2019-2020,16,2019-12-14,Kisvárda,Vidi,0,2,0.0
2019-2020,16,2019-12-14,Kaposvári,Debrecen,4,1,1.0
2019-2020,16,2019-12-14,Paks,Mezőkövesd,1,0,1.0
2019-2020,16,2019-12-14,Honvéd,Újpest,0,0,0.5
2019-2020,16,2019-12-15,Diósgyőr,Ferencváros,0,1,0.0
2019-2020,17,2020-01-25,Ferencváros,Paks,4,0,1.0
2019-2020,17,2020-01-25,Zalaegerszeg,Diósgyőr,1,3,0.0
2019-2020,17,2020-01-25,Kaposvári,Puskás,1,1,0.5
2019-2020,17,2020-01-25,Mezőkövesd,Kisvárda,1,0,1.0
2019-2020,17,2020-01-25,Vidi,Honvéd,0,0,0.5
2019-2020,17,2020-01-25,Debrecen,Újpest,4,0,1.0
2019-2020,18,2020-02-01,Kisvárda,Ferencváros,1,2,0.0
2019-2020,18,2020-02-01,Paks,Zalaegerszeg,2,0,1.0
2019-2020,18,2020-02-01,Diósgyőr,Kaposvári,2,0,1.0
2019-2020,18,2020-02-01,Puskás,Debrecen,0,0,0.5
2019-2020,18,2020-02-01,Honvéd,Mezőkövesd,1,2,0.0
2019-2020,18,2020-02-01,Újpest,Vidi,0,1,0.0
2019-2020,19,2020-02-04,Mezőkövesd,Újpest,2,2,0.5
2019-2020,19,2020-02-05,Kaposvári,Paks,0,3,0.0
2019-2020,19,2020-02-05,Puskás,Diósgyőr,2,2,0.5
2019-2020,19,2020-02-05,Zalaegerszeg,Kisvárda,1,1,0.5
2019-2020,19,2020-02-05,Debrecen,Vidi,1,1,0.5
2019-2020,19,2020-02-05,Ferencváros,Honvéd,0,0,0.5
2019-2020,20,2020-02-08,Paks,Puskás,0,2,0.0
2019-2020,20,2020-02-08,Vidi,Mezőkövesd,2,1,1.0
2019-2020,20,2020-02-08,Kisvárda,Kaposvári,5,3,1.0
2019-2020,20,2020-02-08,Diósgyőr,Debrecen,1,2,0.0
2019-2020,20,2020-02-08,Honvéd,Zalaegerszeg,2,0,1.0
2019-2020,21,2020-02-15,Diósgyőr,Paks,2,0,1.0
2019-2020,21,2020-02-15,Debrecen,Mezőkövesd,1,3,0.0
2019-2020,21,2020-02-15,Puskás,Kisvárda,3,1,1.0
2019-2020,21,2020-02-15,Kaposvári,Honvéd,0,1,0.0
2019-2020,21,2020-02-15,Zalaegerszeg,Újpest,2,1,1.0
2019-2020,21,2020-02-15,Ferencváros,Vidi,1,0,1.0
2019-2020,22,2020-02-22,Kisvárda,Diósgyőr,2,2,0.5
2019-2020,22,2020-02-22,Kaposvári,Újpest,0,1,0.0
2019-2020,22,2020-02-22,Vidi,Zalaegerszeg,4,1,1.0
2019-2020,22,2020-02-22,Honvéd,Puskás,1,1,0.5
2019-2020,22,2020-02-22,Paks,Debrecen,4,2,1.0
2019-2020,22,2020-02-22,Mezőkövesd,Ferencváros,3,0,1.0
2019-2020,23,2020-02-29,Újpest,Puskás,2,3,0.0
2019-2020,23,2020-02-29,Vidi,Kaposvári,3,0,1.0
2019-2020,23,2020-02-29,Honvéd,Diósgyőr,0,4,0.0
2019-2020,23,2020-02-29,Kisvárda,Paks,2,0,1.0
2019-2020,23,2020-02-29,Mezőkövesd,Zalaegerszeg,1,2,0.0
2019-2020,23,2020-02-29,Ferencváros,Debrecen,2,0,1.0
2019-2020,24,2020-03-07,Diósgyőr,Újpest,2,1,1.0
2019-2020,24,2020-03-07,Puskás,Vidi,1,4,0.0
2019-2020,24,2020-03-07,Paks,Honvéd,0,0,0.5
2019-2020,24,2020-03-07,Kaposvári,Mezőkövesd,0,4,0.0
2019-2020,24,2020-03-07,Debrecen,Kisvárda,1,0,1.0
2019-2020,24,2020-03-07,Zalaegerszeg,Ferencváros,1,1,0.5
2019-2020,25,2020-03-14,Mezőkövesd,Puskás,0,0,0.5
2019-2020,25,2020-03-14,Újpest,Paks,1,1,0.5
2019-2020,25,2020-03-14,Ferencváros,Kaposvári,5,0,1.0
2019-2020,25,2020-03-14,Debrecen,Zalaegerszeg,0,3,0.0
2019-2020,25,2020-03-14,Honvéd,Kisvárda,1,5,0.0
2019-2020,25,2020-03-14,Vidi,Diósgyőr,1,1,0.5
2019-2020,1,2020-05-23,Ferencváros,Debrecen,2,1,1.0
2019-2020,20,2020-05-27,Újpest,Ferencváros,0,1,0.0
2019-2020,26,2020-05-29,Kaposvári,Zalaegerszeg,0,6,0.0
2019-2020,26,2020-05-30,Kisvárda,Újpest,1,0,1.0
2019-2020,26,2020-05-30,Diósgyőr,Mezőkövesd,1,0,1.0
2019-2020,26,2020-05-30,Paks,Vidi,0,0,0.5
2019-2020,26,2020-05-31,Honvéd,Debrecen,3,1,1.0
2019-2020,26,2020-05-31,Puskás,Ferencváros,1,1,0.5
2019-2020,27,2020-06-05,Debrecen,Kaposvári,1,1,0.5
2019-2020,27,2020-06-06,Mezőkövesd,Paks,0,2,0.0
2019-2020,27,2020-06-06,Vidi,Kisvárda,2,0,1.0
2019-2020,27,2020-06-06,Újpest,Honvéd,1,0,1.0
2019-2020,27,2020-06-07,Zalaegerszeg,Puskás,2,0,1.0
2019-2020,27,2020-06-07,Ferencváros,Diósgyőr,3,0,1.0
2019-2020,28,2020-06-09,Kisvárda,Mezőkövesd,1,1,0.5
2019-2020,28,2020-06-09,Újpest,Debrecen,3,1,1.0
2019-2020,28,2020-06-09,Honvéd,Vidi,1,1,0.5
2019-2020,28,2020-06-10,Diósgyőr,Zalaegerszeg,1,1,0.5
2019-2020,28,2020-06-10,Puskás,Kaposvári,2,1,1.0
2019-2020,28,2020-06-10,Paks,Ferencváros,2,2,0.5
2019-2020,29,2020-06-12,Mezőkövesd,Honvéd,1,2,0.0
2019-2020,29,2020-06-13,Ferencváros,Kisvárda,1,0,1.0
2019-2020,29,2020-06-13,Debrecen,Puskás,2,2,0.5
2019-2020,29,2020-06-13,Zalaegerszeg,Paks,3,3,0.5
2019-2020,29,2020-06-14,Kaposvári,Diósgyőr,3,0,1.0
2019-2020,29,2020-06-14,Vidi,Újpest,2,2,0.5
2019-2020,30,2020-06-16,Kisvárda,Zalaegerszeg,0,1,0.0
2019-2020,30,2020-06-16,Honvéd,Ferencváros,0,2,0.0
