Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
1953-1954,1,1953-08-19,Tottenham,Aston Villa,1,0,1.0
1953-1954,1,1953-08-19,Sheffield Weds,Manchester City,2,0,1.0
1953-1954,1,1953-08-19,Burnley,Wolves,4,1,1.0
1953-1954,1,1953-08-19,Charlton Ath,Sunderland,5,3,1.0
1953-1954,1,1953-08-19,Liverpool,Portsmouth,3,1,1.0
1953-1954,1,1953-08-19,Preston,Huddersfield,1,2,0.0
1953-1954,1,1953-08-19,West Brom,Arsenal,2,0,1.0
1953-1954,1,1953-08-19,Manchester Utd,Chelsea,1,1,0.5
1953-1954,1,1953-08-19,Middlesbrough,Cardiff City,0,0,0.5
1953-1954,2,1953-08-22,Cardiff City,Aston Villa,2,1,1.0
1953-1954,2,1953-08-22,Liverpool,Manchester Utd,4,4,0.5
1953-1954,2,1953-08-22,Manchester City,Wolves,0,4,0.0
1953-1954,2,1953-08-22,Charlton Ath,Burnley,3,1,1.0
1953-1954,2,1953-08-22,Blackpool,Chelsea,2,1,1.0
1953-1954,2,1953-08-22,Arsenal,Huddersfield,0,0,0.5
1953-1954,2,1953-08-22,Middlesbrough,Preston,0,4,0.0
1953-1954,2,1953-08-22,Sheffield Weds,Tottenham,2,1,1.0
1953-1954,2,1953-08-22,Newcastle Utd,Sunderland,2,1,1.0
1953-1954,2,1953-08-22,Portsmouth,Sheffield Utd,3,4,0.0
1953-1954,2,1953-08-22,West Brom,Bolton,1,1,0.5
1953-1954,3,1953-08-24,Aston Villa,Manchester City,3,0,1.0
1953-1954,3,1953-08-24,Sheffield Utd,Arsenal,1,0,1.0
1953-1954,3,1953-08-25,Burnley,Blackpool,2,1,1.0
1953-1954,3,1953-08-25,Chelsea,Portsmouth,4,3,1.0
1953-1954,3,1953-08-26,Preston,Sheffield Weds,6,0,1.0
1953-1954,3,1953-08-26,Bolton,Middlesbrough,3,2,1.0
1953-1954,3,1953-08-26,Sunderland,Wolves,3,2,1.0
1953-1954,3,1953-08-26,Huddersfield,Cardiff City,2,0,1.0
1953-1954,3,1953-08-26,Manchester Utd,West Brom,1,3,0.0
1953-1954,3,1953-08-26,Liverpool,Newcastle Utd,2,2,0.5
1953-1954,3,1953-08-26,Tottenham,Charlton Ath,3,1,1.0
1953-1954,4,1953-08-29,Aston Villa,Arsenal,2,1,1.0
1953-1954,4,1953-08-29,Bolton,Liverpool,2,0,1.0
1953-1954,4,1953-08-29,Tottenham,Middlesbrough,4,1,1.0
1953-1954,4,1953-08-29,Manchester Utd,Newcastle Utd,1,1,0.5
1953-1954,4,1953-08-29,Sunderland,Manchester City,4,5,0.0
1953-1954,4,1953-08-29,Huddersfield,Portsmouth,5,1,1.0
1953-1954,4,1953-08-29,Preston,West Brom,0,2,0.0
1953-1954,4,1953-08-29,Wolves,Cardiff City,3,1,1.0
1953-1954,4,1953-08-29,Burnley,Sheffield Weds,4,1,1.0
1953-1954,4,1953-08-29,Chelsea,Charlton Ath,3,1,1.0
1953-1954,4,1953-08-29,Sheffield Utd,Blackpool,3,4,0.0
1953-1954,5,1953-08-31,Wolves,Sunderland,3,1,1.0
1953-1954,5,1953-08-31,Blackpool,Burnley,2,0,1.0
1953-1954,5,1953-09-01,Arsenal,Sheffield Utd,1,1,0.5
1953-1954,5,1953-09-02,Newcastle Utd,Liverpool,4,0,1.0
1953-1954,5,1953-09-02,Middlesbrough,Bolton,3,2,1.0
1953-1954,5,1953-09-02,West Brom,Manchester Utd,2,0,1.0
1953-1954,5,1953-09-02,Cardiff City,Huddersfield,2,1,1.0
1953-1954,5,1953-09-02,Sheffield Weds,Preston,4,2,1.0
1953-1954,5,1953-09-02,Portsmouth,Chelsea,3,2,1.0
1953-1954,5,1953-09-02,Manchester City,Aston Villa,0,1,0.0
1953-1954,5,1953-09-03,Charlton Ath,Tottenham,0,1,0.0
1953-1954,6,1953-09-05,Blackpool,Huddersfield,3,1,1.0
1953-1954,6,1953-09-05,Liverpool,Preston,1,5,0.0
1953-1954,6,1953-09-05,Chelsea,Sheffield Utd,1,2,0.0
1953-1954,6,1953-09-05,Sheffield Weds,Charlton Ath,1,2,0.0
1953-1954,6,1953-09-05,Middlesbrough,Burnley,1,3,0.0
1953-1954,6,1953-09-05,Newcastle Utd,Bolton,2,3,0.0
1953-1954,6,1953-09-05,Manchester City,Manchester Utd,2,0,1.0
1953-1954,6,1953-09-05,Arsenal,Wolves,2,3,0.0
1953-1954,6,1953-09-05,Cardiff City,Sunderland,1,1,0.5
1953-1954,6,1953-09-05,Portsmouth,Aston Villa,2,1,1.0
1953-1954,6,1953-09-05,West Brom,Tottenham,3,0,1.0
1953-1954,7,1953-09-07,Sheffield Utd,Cardiff City,0,1,0.0
1953-1954,7,1953-09-07,Burnley,Tottenham,4,2,1.0
1953-1954,7,1953-09-07,Wolves,Liverpool,2,1,1.0
1953-1954,7,1953-09-07,Blackpool,Portsmouth,1,1,0.5
1953-1954,7,1953-09-08,Arsenal,Chelsea,1,2,0.0
1953-1954,7,1953-09-09,Huddersfield,Manchester City,1,1,0.5
1953-1954,7,1953-09-09,West Brom,Newcastle Utd,2,2,0.5
1953-1954,7,1953-09-09,Bolton,Sheffield Weds,2,1,1.0
1953-1954,7,1953-09-09,Manchester Utd,Middlesbrough,2,2,0.5
1953-1954,7,1953-09-09,Preston,Charlton Ath,2,0,1.0
1953-1954,8,1953-09-12,Preston,Newcastle Utd,2,2,0.5
1953-1954,8,1953-09-12,Aston Villa,Blackpool,2,1,1.0
1953-1954,8,1953-09-12,Sunderland,Arsenal,7,1,1.0
1953-1954,8,1953-09-12,Manchester City,Cardiff City,1,1,0.5
1953-1954,8,1953-09-12,Wolves,Portsmouth,4,3,1.0
1953-1954,8,1953-09-12,Burnley,West Brom,1,4,0.0
1953-1954,8,1953-09-12,Bolton,Manchester Utd,0,0,0.5
1953-1954,8,1953-09-12,Tottenham,Liverpool,2,1,1.0
1953-1954,8,1953-09-12,Huddersfield,Chelsea,3,1,1.0
1953-1954,8,1953-09-12,Sheffield Utd,Sheffield Weds,2,0,1.0
1953-1954,8,1953-09-12,Charlton Ath,Middlesbrough,8,1,1.0
1953-1954,9,1953-09-14,Aston Villa,Sunderland,3,1,1.0
1953-1954,9,1953-09-15,Chelsea,Arsenal,0,2,0.0
1953-1954,9,1953-09-16,Manchester City,Huddersfield,0,1,0.0
1953-1954,9,1953-09-16,Middlesbrough,Manchester Utd,1,4,0.0
1953-1954,9,1953-09-16,Liverpool,Wolves,1,1,0.5
1953-1954,9,1953-09-16,Portsmouth,Blackpool,4,4,0.5
1953-1954,9,1953-09-16,Cardiff City,Sheffield Utd,2,0,1.0
1953-1954,9,1953-09-16,Tottenham,Burnley,2,3,0.0
1953-1954,9,1953-09-16,Newcastle Utd,West Brom,3,7,0.0
1953-1954,9,1953-09-16,Sheffield Weds,Bolton,2,1,1.0
1953-1954,9,1953-09-17,Charlton Ath,Preston,2,1,1.0
1953-1954,10,1953-09-19,Portsmouth,Sunderland,4,1,1.0
1953-1954,10,1953-09-19,Chelsea,Aston Villa,1,2,0.0
1953-1954,10,1953-09-19,Middlesbrough,Sheffield Weds,4,1,1.0
