Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2001-2002,1,2001-08-10,Boavista,Beira-Mar,3,0,1.0
2001-2002,1,2001-08-11,Braga,União de Leiria,0,0,0.5
2001-2002,1,2001-08-11,Varzim,Benfica,2,2,0.5
2001-2002,1,2001-08-12,Sporting CP,Porto,1,0,1.0
2001-2002,1,2001-08-12,Vitória Guimarães,Gil Vicente,0,2,0.0
2001-2002,1,2001-08-12,Paços de Ferreira,Belenenses,3,1,1.0
2001-2002,1,2001-08-12,SC Salgueiros,Farense,0,2,0.0
2001-2002,1,2001-08-13,Marítimo,Vitória Setúbal,3,1,1.0
2001-2002,2,2001-08-18,Gil Vicente,Braga,2,1,1.0
2001-2002,2,2001-08-18,Belenenses,Sporting CP,3,0,1.0
2001-2002,2,2001-08-19,Beira-Mar,Marítimo,2,0,1.0
2001-2002,2,2001-08-19,União de Leiria,Santa Clara,2,2,0.5
2001-2002,2,2001-08-19,Alverca,Paços de Ferreira,1,0,1.0
2001-2002,2,2001-08-19,Benfica,SC Salgueiros,2,0,1.0
2001-2002,2,2001-08-19,Porto,Boavista,4,1,1.0
2001-2002,2,2001-08-19,Vitória Setúbal,Varzim,2,0,1.0
2001-2002,2,2001-08-20,Farense,Vitória Guimarães,0,1,0.0
2001-2002,3,2001-08-25,Santa Clara,Gil Vicente,0,0,0.5
2001-2002,3,2001-08-25,Benfica,Vitória Setúbal,3,2,1.0
2001-2002,3,2001-08-25,Sporting CP,Alverca,0,1,0.0
2001-2002,3,2001-08-26,Braga,Farense,4,0,1.0
2001-2002,3,2001-08-26,Boavista,Belenenses,2,0,1.0
2001-2002,3,2001-08-26,Paços de Ferreira,União de Leiria,1,2,0.0
2001-2002,3,2001-08-26,Varzim,Beira-Mar,1,1,0.5
2001-2002,3,2001-08-27,Marítimo,Porto,1,3,0.0
2001-2002,3,2001-08-27,SC Salgueiros,Vitória Guimarães,1,3,0.0
2001-2002,1,2001-09-02,Santa Clara,Alverca,2,1,1.0
2001-2002,4,2001-09-07,Alverca,Boavista,1,2,0.0
2001-2002,4,2001-09-08,União de Leiria,Sporting CP,1,1,0.5
2001-2002,4,2001-09-08,Belenenses,Marítimo,0,1,0.0
2001-2002,4,2001-09-09,Beira-Mar,Benfica,3,3,0.5
2001-2002,4,2001-09-09,Farense,Santa Clara,1,0,1.0
2001-2002,4,2001-09-09,Porto,Varzim,3,0,1.0
2001-2002,4,2001-09-09,Gil Vicente,Paços de Ferreira,1,1,0.5
2001-2002,4,2001-09-09,Vitória Setúbal,SC Salgueiros,3,0,1.0
2001-2002,4,2001-09-10,Vitória Guimarães,Braga,2,1,1.0
2001-2002,5,2001-09-14,Varzim,Belenenses,1,5,0.0
2001-2002,5,2001-09-15,Benfica,Porto,0,0,0.5
2001-2002,5,2001-09-15,Boavista,União de Leiria,1,0,1.0
2001-2002,5,2001-09-16,Paços de Ferreira,Farense,1,1,0.5
2001-2002,5,2001-09-16,Vitória Setúbal,Beira-Mar,4,1,1.0
2001-2002,5,2001-09-16,Sporting CP,Gil Vicente,3,1,1.0
2001-2002,5,2001-09-16,SC Salgueiros,Braga,1,0,1.0
2001-2002,5,2001-09-16,Santa Clara,Vitória Guimarães,2,0,1.0
2001-2002,5,2001-09-16,Marítimo,Alverca,5,0,1.0
2001-2002,6,2001-09-21,Braga,Santa Clara,6,0,1.0
2001-2002,6,2001-09-22,Porto,Vitória Setúbal,3,0,1.0
2001-2002,6,2001-09-22,Gil Vicente,Boavista,0,3,0.0
2001-2002,6,2001-09-23,Belenenses,Benfica,1,1,0.5
2001-2002,6,2001-09-23,Vitória Guimarães,Paços de Ferreira,1,1,0.5
2001-2002,6,2001-09-23,Farense,Sporting CP,1,3,0.0
2001-2002,6,2001-09-23,União de Leiria,Marítimo,2,0,1.0
2001-2002,6,2001-09-23,Alverca,Varzim,4,2,1.0
2001-2002,6,2001-09-23,Beira-Mar,SC Salgueiros,1,1,0.5
2001-2002,7,2001-09-28,Vitória Setúbal,Belenenses,0,1,0.0
2001-2002,7,2001-09-29,Paços de Ferreira,Braga,0,0,0.5
2001-2002,7,2001-09-29,Beira-Mar,Porto,2,0,1.0
2001-2002,7,2001-09-30,Varzim,União de Leiria,2,0,1.0
2001-2002,7,2001-09-30,Benfica,Alverca,3,2,1.0
2001-2002,7,2001-09-30,Boavista,Farense,1,1,0.5
2001-2002,7,2001-09-30,SC Salgueiros,Santa Clara,2,1,1.0
2001-2002,7,2001-10-01,Marítimo,Gil Vicente,2,1,1.0
2001-2002,7,2001-10-01,Sporting CP,Vitória Guimarães,5,0,1.0
2001-2002,10,2001-10-07,Santa Clara,Boavista,0,2,0.0
2001-2002,8,2001-10-12,Vitória Guimarães,Boavista,2,0,1.0
2001-2002,8,2001-10-13,União de Leiria,Benfica,1,1,0.5
2001-2002,8,2001-10-13,Porto,SC Salgueiros,3,0,1.0
2001-2002,8,2001-10-13,Braga,Sporting CP,2,1,1.0
2001-2002,8,2001-10-13,Santa Clara,Paços de Ferreira,1,1,0.5
2001-2002,8,2001-10-14,Alverca,Vitória Setúbal,1,1,0.5
2001-2002,8,2001-10-14,Farense,Marítimo,2,1,1.0
2001-2002,8,2001-10-14,Gil Vicente,Varzim,1,0,1.0
2001-2002,8,2001-10-15,Belenenses,Beira-Mar,1,5,0.0
2001-2002,9,2001-10-19,Marítimo,Vitória Guimarães,2,0,1.0
2001-2002,9,2001-10-20,Porto,Belenenses,1,2,0.0
2001-2002,9,2001-10-20,Benfica,Gil Vicente,2,0,1.0
2001-2002,9,2001-10-20,Boavista,Braga,3,0,1.0
2001-2002,9,2001-10-21,Vitória Setúbal,União de Leiria,1,1,0.5
2001-2002,9,2001-10-21,Beira-Mar,Alverca,6,2,1.0
2001-2002,9,2001-10-21,Varzim,Farense,2,0,1.0
2001-2002,9,2001-10-21,SC Salgueiros,Paços de Ferreira,3,2,1.0
2001-2002,9,2001-10-22,Sporting CP,Santa Clara,0,0,0.5
2001-2002,10,2001-10-26,Farense,Benfica,0,2,0.0
2001-2002,10,2001-10-27,Vitória Guimarães,Varzim,4,0,1.0
2001-2002,10,2001-10-27,Paços de Ferreira,Sporting CP,0,6,0.0
2001-2002,10,2001-10-27,Braga,Marítimo,1,0,1.0
2001-2002,10,2001-10-28,Gil Vicente,Vitória Setúbal,2,1,1.0
2001-2002,10,2001-10-28,Alverca,Porto,0,1,0.0
2001-2002,10,2001-10-28,União de Leiria,Beira-Mar,4,1,1.0
2001-2002,10,2001-10-29,Belenenses,SC Salgueiros,1,0,1.0
2001-2002,11,2001-11-02,Varzim,Braga,0,0,0.5
2001-2002,11,2001-11-03,Benfica,Vitória Guimarães,0,0,0.5
2001-2002,11,2001-11-03,Vitória Setúbal,Farense,2,0,1.0
2001-2002,11,2001-11-04,Marítimo,Santa Clara,1,0,1.0
2001-2002,11,2001-11-04,Beira-Mar,Gil Vicente,2,2,0.5
2001-2002,11,2001-11-04,Porto,União de Leiria,2,1,1.0
2001-2002,11,2001-11-04,Belenenses,Alverca,1,1,0.5
2001-2002,11,2001-11-05,SC Salgueiros,Sporting CP,1,5,0.0
2001-2002,11,2001-11-06,Boavista,Paços de Ferreira,5,0,1.0
2001-2002,12,2001-11-23,Vitória Guimarães,Vitória Setúbal,0,0,0.5
2001-2002,12,2001-11-24,Braga,Benfica,0,1,0.0
2001-2002,12,2001-11-24,Alverca,SC Salgueiros,1,2,0.0
2001-2002,12,2001-11-25,União de Leiria,Belenenses,3,0,1.0
2001-2002,12,2001-11-25,Farense,Beira-Mar,1,0,1.0
2001-2002,12,2001-11-25,Paços de Ferreira,Marítimo,2,1,1.0
2001-2002,12,2001-11-25,Santa Clara,Varzim,1,0,1.0
2001-2002,12,2001-11-25,Gil Vicente,Porto,2,5,0.0
2001-2002,12,2001-11-26,Sporting CP,Boavista,2,0,1.0
2001-2002,13,2001-11-30,Porto,Farense,2,0,1.0
2001-2002,13,2001-12-01,SC Salgueiros,Boavista,1,1,0.5
2001-2002,13,2001-12-01,Marítimo,Sporting CP,0,2,0.0
2001-2002,13,2001-12-02,Alverca,União de Leiria,1,1,0.5
2001-2002,13,2001-12-02,Benfica,Santa Clara,2,1,1.0
2001-2002,13,2001-12-02,Belenenses,Gil Vicente,1,0,1.0
2001-2002,13,2001-12-02,Beira-Mar,Vitória Guimarães,0,0,0.5
2001-2002,13,2001-12-02,Varzim,Paços de Ferreira,0,3,0.0
2001-2002,13,2001-12-03,Vitória Setúbal,Braga,0,0,0.5
2001-2002,14,2001-12-07,Farense,Belenenses,2,2,0.5
2001-2002,14,2001-12-08,Paços de Ferreira,Benfica,2,1,1.0
2001-2002,14,2001-12-08,Vitória Guimarães,Porto,2,0,1.0
2001-2002,14,2001-12-08,Braga,Beira-Mar,3,2,1.0
2001-2002,14,2001-12-09,União de Leiria,SC Salgueiros,7,0,1.0
2001-2002,14,2001-12-09,Sporting CP,Varzim,4,0,1.0
2001-2002,14,2001-12-09,Boavista,Marítimo,0,1,0.0
2001-2002,14,2001-12-09,Santa Clara,Vitória Setúbal,1,0,1.0
2001-2002,15,2001-12-15,União de Leiria,Gil Vicente,2,1,1.0
2001-2002,15,2001-12-15,SC Salgueiros,Marítimo,2,1,1.0
2001-2002,15,2001-12-15,Alverca,Farense,1,0,1.0
2001-2002,15,2001-12-15,Belenenses,Vitória Guimarães,2,1,1.0
2001-2002,15,2001-12-15,Porto,Braga,0,0,0.5
2001-2002,15,2001-12-15,Varzim,Boavista,0,2,0.0
2001-2002,15,2001-12-15,Beira-Mar,Santa Clara,0,1,0.0
2001-2002,15,2001-12-15,Vitória Setúbal,Paços de Ferreira,1,3,0.0
2001-2002,15,2001-12-15,Benfica,Sporting CP,2,2,0.5
2001-2002,16,2001-12-22,Marítimo,Varzim,1,1,0.5
