Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2022-2023,Russian Premier League,1,2022-07-15,FC Khimki,Zenit,1,1,0.5
2022-2023,Russian Premier League,1,2022-07-16,CSKA Moscow,Ural,2,0,1.0
2022-2023,Russian Premier League,1,2022-07-16,Orenburg,Samara,2,4,0.0
2022-2023,Russian Premier League,1,2022-07-16,Akhmat Grozny,Spartak Moscow,1,1,0.5
2022-2023,Russian Premier League,1,2022-07-17,Torpedo Moscow,Sochi,1,3,0.0
2022-2023,Russian Premier League,1,2022-07-17,Loko Moscow,Nizhny Novgorod,1,1,0.5
2022-2023,Russian Premier League,1,2022-07-17,Dynamo Mosc,Rostov,1,1,0.5
2022-2023,Russian Premier League,1,2022-07-17,Krasnodar,Fakel Voronezh,2,2,0.5
2022-2023,Russian Premier League,2,2022-07-22,Zenit,Samara,3,0,1.0
2022-2023,Russian Premier League,2,2022-07-23,CSKA Moscow,Sochi,3,0,1.0
2022-2023,Russian Premier League,2,2022-07-23,Orenburg,Ural,3,0,1.0
2022-2023,Russian Premier League,2,2022-07-23,Krasnodar,Spartak Moscow,1,4,0.0
2022-2023,Russian Premier League,2,2022-07-24,FC Khimki,Nizhny Novgorod,3,0,1.0
2022-2023,Russian Premier League,2,2022-07-24,Dynamo Mosc,Torpedo Moscow,4,0,1.0
2022-2023,Russian Premier League,2,2022-07-24,Akhmat Grozny,Fakel Voronezh,2,1,1.0
2022-2023,Russian Premier League,2,2022-07-24,Loko Moscow,Rostov,2,2,0.5
2022-2023,Russian Premier League,3,2022-07-29,Ural,Krasnodar,1,3,0.0
2022-2023,Russian Premier League,3,2022-07-30,Fakel Voronezh,Dynamo Mosc,3,3,0.5
2022-2023,Russian Premier League,3,2022-07-30,Zenit,Loko Moscow,5,0,1.0
2022-2023,Russian Premier League,3,2022-07-30,Sochi,Akhmat Grozny,2,1,1.0
2022-2023,Russian Premier League,3,2022-07-31,Nizhny Novgorod,CSKA Moscow,2,2,0.5
2022-2023,Russian Premier League,3,2022-07-31,Spartak Moscow,Orenburg,4,1,1.0
2022-2023,Russian Premier League,3,2022-07-31,Samara,Torpedo Moscow,1,1,0.5
2022-2023,Russian Premier League,3,2022-07-31,Rostov,FC Khimki,1,0,1.0
2022-2023,Russian Premier League,4,2022-08-06,Ural,Spartak Moscow,0,2,0.0
2022-2023,Russian Premier League,4,2022-08-06,CSKA Moscow,Fakel Voronezh,4,1,1.0
2022-2023,Russian Premier League,4,2022-08-06,Krasnodar,Loko Moscow,3,0,1.0
2022-2023,Russian Premier League,4,2022-08-06,Akhmat Grozny,Zenit,0,0,0.5
2022-2023,Russian Premier League,4,2022-08-07,Torpedo Moscow,FC Khimki,1,3,0.0
2022-2023,Russian Premier League,4,2022-08-07,Samara,Dynamo Mosc,0,2,0.0
2022-2023,Russian Premier League,4,2022-08-07,Rostov,Orenburg,2,1,1.0
2022-2023,Russian Premier League,4,2022-08-07,Sochi,Nizhny Novgorod,2,1,1.0
2022-2023,Russian Premier League,5,2022-08-12,Fakel Voronezh,Ural,0,0,0.5
2022-2023,Russian Premier League,5,2022-08-13,Loko Moscow,Samara,1,1,0.5
2022-2023,Russian Premier League,5,2022-08-13,Zenit,CSKA Moscow,2,1,1.0
2022-2023,Russian Premier League,5,2022-08-13,Dynamo Mosc,Krasnodar,0,0,0.5
2022-2023,Russian Premier League,5,2022-08-14,FC Khimki,Akhmat Grozny,1,3,0.0
2022-2023,Russian Premier League,5,2022-08-14,Nizhny Novgorod,Rostov,3,4,0.0
2022-2023,Russian Premier League,5,2022-08-14,Orenburg,Torpedo Moscow,1,0,1.0
2022-2023,Russian Premier League,5,2022-08-14,Spartak Moscow,Sochi,3,0,1.0
2022-2023,Russian Premier League,6,2022-08-19,Samara,Fakel Voronezh,1,1,0.5
2022-2023,Russian Premier League,6,2022-08-20,FC Khimki,Loko Moscow,0,3,0.0
2022-2023,Russian Premier League,6,2022-08-20,Ural,Nizhny Novgorod,0,1,0.0
2022-2023,Russian Premier League,6,2022-08-20,Dynamo Mosc,Spartak Moscow,1,0,1.0
