Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,Regular season,1,2015-08-01,Celtic,Ross County,2,0,1.0
2015-2016,Regular season,1,2015-08-01,Inverness CT,Motherwell,0,1,0.0
2015-2016,Regular season,1,2015-08-01,Kilmarnock,Dundee,0,4,0.0
2015-2016,Regular season,1,2015-08-01,Hamilton,Partick Thistle,0,0,0.5
2015-2016,Regular season,1,2015-08-02,Hearts,St Johnstone,4,3,1.0
2015-2016,Regular season,1,2015-08-02,Dundee United,Aberdeen,0,1,0.0
2015-2016,Regular season,2,2015-08-08,Motherwell,Dundee United,0,2,0.0
2015-2016,Regular season,2,2015-08-08,Ross County,Hamilton,2,0,1.0
2015-2016,Regular season,2,2015-08-08,St Johnstone,Inverness CT,1,1,0.5
2015-2016,Regular season,2,2015-08-08,Dundee,Hearts,1,2,0.0
2015-2016,Regular season,2,2015-08-09,Partick Thistle,Celtic,0,2,0.0
2015-2016,Regular season,2,2015-08-09,Aberdeen,Kilmarnock,2,0,1.0
2015-2016,Regular season,3,2015-08-11,St Johnstone,Ross County,1,1,0.5
2015-2016,Regular season,3,2015-08-11,Dundee United,Dundee,2,2,0.5
2015-2016,Regular season,3,2015-08-12,Kilmarnock,Celtic,2,2,0.5
2015-2016,Regular season,3,2015-08-12,Inverness CT,Partick Thistle,0,0,0.5
2015-2016,Regular season,3,2015-08-12,Hearts,Motherwell,2,0,1.0
2015-2016,Regular season,4,2015-08-15,Motherwell,Aberdeen,1,2,0.0
2015-2016,Regular season,4,2015-08-15,Ross County,Hearts,1,2,0.0
2015-2016,Regular season,4,2015-08-15,Celtic,Inverness CT,4,2,1.0
2015-2016,Regular season,4,2015-08-15,Hamilton,Dundee United,4,0,1.0
2015-2016,Regular season,4,2015-08-15,Dundee,St Johnstone,2,1,1.0
2015-2016,Regular season,4,2015-08-15,Partick Thistle,Kilmarnock,2,2,0.5
2015-2016,Regular season,5,2015-08-22,Dundee United,Celtic,1,3,0.0
2015-2016,Regular season,5,2015-08-22,Hearts,Partick Thistle,3,0,1.0
2015-2016,Regular season,5,2015-08-22,St Johnstone,Motherwell,2,1,1.0
2015-2016,Regular season,5,2015-08-22,Kilmarnock,Ross County,0,4,0.0
2015-2016,Regular season,5,2015-08-22,Aberdeen,Dundee,2,0,1.0
2015-2016,Regular season,5,2015-08-22,Inverness CT,Hamilton,0,2,0.0
2015-2016,Regular season,6,2015-08-29,Celtic,St Johnstone,3,1,1.0
2015-2016,Regular season,6,2015-08-29,Motherwell,Kilmarnock,1,0,1.0
2015-2016,Regular season,6,2015-08-29,Partick Thistle,Aberdeen,0,2,0.0
2015-2016,Regular season,6,2015-08-29,Dundee,Inverness CT,1,1,0.5
2015-2016,Regular season,6,2015-08-29,Hamilton,Hearts,3,2,1.0
2015-2016,Regular season,6,2015-08-29,Ross County,Dundee United,2,1,1.0
2015-2016,Regular season,7,2015-09-11,Inverness CT,Hearts,2,0,1.0
2015-2016,Regular season,7,2015-09-12,Aberdeen,Celtic,2,1,1.0
2015-2016,Regular season,7,2015-09-12,Partick Thistle,Dundee,0,1,0.0
2015-2016,Regular season,7,2015-09-12,Motherwell,Ross County,1,1,0.5
2015-2016,Regular season,7,2015-09-12,Dundee United,Kilmarnock,1,2,0.0
2015-2016,Regular season,7,2015-09-12,St Johnstone,Hamilton,4,1,1.0
2015-2016,Regular season,3,2015-09-15,Aberdeen,Hamilton,1,0,1.0
2015-2016,Regular season,8,2015-09-19,Ross County,Partick Thistle,1,0,1.0
2015-2016,Regular season,8,2015-09-19,Dundee United,Inverness CT,1,1,0.5
2015-2016,Regular season,8,2015-09-19,Kilmarnock,St Johnstone,2,1,1.0
2015-2016,Regular season,8,2015-09-19,Hamilton,Motherwell,1,0,1.0
2015-2016,Regular season,8,2015-09-20,Hearts,Aberdeen,1,3,0.0
2015-2016,Regular season,8,2015-09-20,Celtic,Dundee,6,0,1.0
2015-2016,Regular season,9,2015-09-26,Inverness CT,Aberdeen,2,1,1.0
2015-2016,Regular season,9,2015-09-26,Motherwell,Partick Thistle,2,1,1.0
2015-2016,Regular season,9,2015-09-26,Dundee,Ross County,3,3,0.5
2015-2016,Regular season,9,2015-09-26,Kilmarnock,Hamilton,1,2,0.0
2015-2016,Regular season,9,2015-09-26,Celtic,Hearts,0,0,0.5
