Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,1,2014-08-09,Borac Čačak,Donji Srem,2,0,1.0
2014-2015,1,2014-08-09,Voždovac,Partizan,1,3,0.0
2014-2015,1,2014-08-09,Red Star,Radnički Niš,2,0,1.0
2014-2015,1,2014-08-09,Vojvodina,OFK Beograd,3,0,1.0
2014-2015,1,2014-08-09,Spartak Subotic,Radnički Krag,1,0,1.0
2014-2015,1,2014-08-09,Napredak Kruš,Čukarički,0,2,0.0
2014-2015,1,2014-08-09,Novi Pazar,Rad,1,0,1.0
2014-2015,1,2014-08-09,Jagodina,Mladost Lučani,1,1,0.5
2014-2015,2,2014-08-16,Rad,Borac Čačak,2,1,1.0
2014-2015,2,2014-08-16,OFK Beograd,Spartak Subotic,0,0,0.5
2014-2015,2,2014-08-16,Donji Srem,Voždovac,1,0,1.0
2014-2015,2,2014-08-16,Mladost Lučani,Vojvodina,1,2,0.0
2014-2015,2,2014-08-16,Čukarički,Novi Pazar,1,1,0.5
2014-2015,2,2014-08-16,Radnički Niš,Partizan,1,4,0.0
2014-2015,2,2014-08-16,Red Star,Jagodina,3,0,1.0
2014-2015,2,2014-08-16,Radnički Krag,Napredak Kruš,0,0,0.5
2014-2015,3,2014-08-23,Napredak Kruš,OFK Beograd,2,4,0.0
2014-2015,3,2014-08-23,Spartak Subotic,Mladost Lučani,1,0,1.0
2014-2015,3,2014-08-23,Novi Pazar,Radnički Krag,2,0,1.0
2014-2015,3,2014-08-23,Vojvodina,Red Star,0,1,0.0
2014-2015,3,2014-08-23,Partizan,Donji Srem,3,0,1.0
2014-2015,3,2014-08-23,Jagodina,Radnički Niš,3,1,1.0
2014-2015,3,2014-08-23,Voždovac,Rad,1,6,0.0
2014-2015,3,2014-08-23,Borac Čačak,Čukarički,0,0,0.5
2014-2015,4,2014-08-30,Radnički Krag,Borac Čačak,0,1,0.0
2014-2015,4,2014-08-30,Jagodina,Vojvodina,2,3,0.0
2014-2015,4,2014-08-30,Rad,Partizan,0,4,0.0
2014-2015,4,2014-08-30,OFK Beograd,Novi Pazar,3,2,1.0
2014-2015,4,2014-08-30,Čukarički,Voždovac,2,0,1.0
2014-2015,4,2014-08-30,Radnički Niš,Donji Srem,0,1,0.0
2014-2015,4,2014-08-30,Red Star,Spartak Subotic,1,0,1.0
2014-2015,4,2014-08-30,Mladost Lučani,Napredak Kruš,2,1,1.0
2014-2015,5,2014-09-13,Napredak Kruš,Red Star,0,0,0.5
2014-2015,5,2014-09-13,Spartak Subotic,Jagodina,2,0,1.0
2014-2015,5,2014-09-13,Novi Pazar,Mladost Lučani,1,2,0.0
2014-2015,5,2014-09-13,Donji Srem,Rad,1,1,0.5
2014-2015,5,2014-09-13,Borac Čačak,OFK Beograd,1,1,0.5
2014-2015,5,2014-09-13,Partizan,Čukarički,4,2,1.0
2014-2015,5,2014-09-13,Vojvodina,Radnički Niš,3,0,1.0
2014-2015,5,2014-09-13,Voždovac,Radnički Krag,0,1,0.0
2014-2015,6,2014-09-20,Red Star,Novi Pazar,2,0,1.0
2014-2015,6,2014-09-20,Radnički Krag,Partizan,0,3,0.0
2014-2015,6,2014-09-20,Radnički Niš,Rad,3,0,1.0
2014-2015,6,2014-09-20,Mladost Lučani,Borac Čačak,2,1,1.0
2014-2015,6,2014-09-20,OFK Beograd,Voždovac,1,0,1.0
2014-2015,6,2014-09-20,Čukarički,Donji Srem,1,1,0.5
2014-2015,6,2014-09-20,Jagodina,Napredak Kruš,1,1,0.5
2014-2015,6,2014-09-20,Vojvodina,Spartak Subotic,5,2,1.0
2014-2015,7,2014-09-28,Napredak Kruš,Vojvodina,0,1,0.0
2014-2015,7,2014-09-28,Voždovac,Mladost Lučani,2,0,1.0
2014-2015,7,2014-09-28,Novi Pazar,Jagodina,3,0,1.0
2014-2015,7,2014-09-28,Spartak Subotic,Radnički Niš,1,0,1.0
2014-2015,7,2014-09-28,Partizan,OFK Beograd,1,1,0.5
2014-2015,7,2014-09-28,Donji Srem,Radnički Krag,1,0,1.0
2014-2015,7,2014-09-28,Borac Čačak,Red Star,0,1,0.0
2014-2015,7,2014-09-28,Rad,Čukarički,1,3,0.0
2014-2015,8,2014-10-04,Vojvodina,Novi Pazar,1,0,1.0
2014-2015,8,2014-10-04,Radnički Niš,Čukarički,2,1,1.0
2014-2015,8,2014-10-04,Radnički Krag,Rad,0,3,0.0
2014-2015,8,2014-10-04,Red Star,Voždovac,2,2,0.5
2014-2015,8,2014-10-04,Spartak Subotic,Napredak Kruš,0,0,0.5
