Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,1,2017-08-19,Xanthi,PAS Lamia,0,0,0.5
2017-2018,1,2017-08-19,Asteras Tripoli,PAS Giannina,1,2,0.0
2017-2018,1,2017-08-19,Olympiacos,Larissa,4,1,1.0
2017-2018,1,2017-08-20,Kerkyra,Panionios,0,1,0.0
2017-2018,1,2017-08-20,Levadiakos,PAOK,0,0,0.5
2017-2018,1,2017-08-20,AEK Athens,Panetolikos,2,0,1.0
2017-2018,1,2017-08-20,Platanias,Panathinaikos,1,1,0.5
2017-2018,1,2017-08-21,Atromitos,Apollon Smyrnis,1,1,0.5
2017-2018,2,2017-08-26,Platanias,Xanthi,0,2,0.0
2017-2018,2,2017-08-26,Panetolikos,Atromitos,2,2,0.5
2017-2018,2,2017-08-26,PAS Lamia,Olympiacos,0,1,0.0
2017-2018,2,2017-08-27,PAOK,Kerkyra,3,1,1.0
2017-2018,2,2017-08-27,Panionios,Apollon Smyrnis,2,0,1.0
2017-2018,2,2017-08-27,Panathinaikos,Levadiakos,0,0,0.5
2017-2018,2,2017-08-27,PAS Giannina,AEK Athens,0,0,0.5
2017-2018,2,2017-08-28,Larissa,Asteras Tripoli,1,1,0.5
2017-2018,3,2017-09-09,Asteras Tripoli,PAS Lamia,1,3,0.0
2017-2018,3,2017-09-09,Atromitos,PAS Giannina,0,0,0.5
2017-2018,3,2017-09-09,Xanthi,Olympiacos,1,1,0.5
2017-2018,3,2017-09-10,Panionios,Panetolikos,1,1,0.5
2017-2018,3,2017-09-10,Levadiakos,Platanias,1,1,0.5
2017-2018,3,2017-09-10,AEK Athens,Larissa,4,0,1.0
2017-2018,3,2017-09-10,Kerkyra,Panathinaikos,1,0,1.0
2017-2018,3,2017-09-11,Apollon Smyrnis,PAOK,0,0,0.5
2017-2018,4,2017-09-16,Levadiakos,Xanthi,1,0,1.0
2017-2018,4,2017-09-16,PAOK,Panetolikos,1,0,1.0
2017-2018,4,2017-09-16,Olympiacos,Asteras Tripoli,1,1,0.5
2017-2018,4,2017-09-17,Panathinaikos,Apollon Smyrnis,1,0,1.0
2017-2018,4,2017-09-17,Larissa,Atromitos,0,0,0.5
2017-2018,4,2017-09-17,Platanias,Kerkyra,0,0,0.5
2017-2018,4,2017-09-17,PAS Lamia,AEK Athens,0,1,0.0
2017-2018,4,2017-09-18,PAS Giannina,Panionios,1,1,0.5
2017-2018,5,2017-09-23,Apollon Smyrnis,Platanias,0,1,0.0
2017-2018,5,2017-09-23,Atromitos,PAS Lamia,3,0,1.0
2017-2018,5,2017-09-23,Panetolikos,Panathinaikos,2,0,1.0
2017-2018,5,2017-09-24,PAOK,PAS Giannina,1,0,1.0
2017-2018,5,2017-09-24,Kerkyra,Levadiakos,1,1,0.5
2017-2018,5,2017-09-24,Panionios,Larissa,4,1,1.0
2017-2018,5,2017-09-24,AEK Athens,Olympiacos,3,2,1.0
2017-2018,5,2017-09-25,Xanthi,Asteras Tripoli,0,0,0.5
2017-2018,6,2017-09-30,Platanias,Panetolikos,0,3,0.0
2017-2018,6,2017-09-30,Panathinaikos,PAS Giannina,2,0,1.0
2017-2018,6,2017-09-30,Larissa,PAOK,1,1,0.5
2017-2018,6,2017-10-01,Olympiacos,Atromitos,0,1,0.0
2017-2018,6,2017-10-01,Levadiakos,Apollon Smyrnis,2,1,1.0
2017-2018,6,2017-10-01,Kerkyra,Xanthi,0,2,0.0
2017-2018,6,2017-10-01,Asteras Tripoli,AEK Athens,2,0,1.0
2017-2018,6,2017-10-02,PAS Lamia,Panionios,1,0,1.0
2017-2018,7,2017-10-14,PAS Giannina,Platanias,3,1,1.0
2017-2018,7,2017-10-14,Atromitos,Asteras Tripoli,1,0,1.0
2017-2018,7,2017-10-14,Panionios,Olympiacos,3,4,0.0
2017-2018,7,2017-10-15,PAOK,PAS Lamia,4,0,1.0
2017-2018,7,2017-10-15,Panetolikos,Levadiakos,0,1,0.0
2017-2018,7,2017-10-15,Apollon Smyrnis,Kerkyra,0,0,0.5
2017-2018,7,2017-10-15,Xanthi,AEK Athens,1,1,0.5
2017-2018,7,2017-10-16,Panathinaikos,Larissa,2,1,1.0
2017-2018,8,2017-10-21,Levadiakos,PAS Giannina,1,1,0.5
2017-2018,8,2017-10-21,Kerkyra,Panetolikos,1,0,1.0
2017-2018,8,2017-10-21,PAS Lamia,Panathinaikos,1,1,0.5
2017-2018,8,2017-10-22,Asteras Tripoli,Panionios,0,1,0.0
2017-2018,8,2017-10-22,Platanias,Larissa,0,1,0.0
2017-2018,8,2017-10-22,Apollon Smyrnis,Xanthi,2,0,1.0
2017-2018,8,2017-10-22,Olympiacos,PAOK,1,0,1.0
2017-2018,8,2017-10-23,AEK Athens,Atromitos,0,1,0.0
2017-2018,9,2017-10-28,Larissa,Levadiakos,1,0,1.0
2017-2018,9,2017-10-28,PAS Giannina,Kerkyra,2,1,1.0
2017-2018,9,2017-10-28,Panathinaikos,Olympiacos,1,0,1.0
2017-2018,9,2017-10-29,Xanthi,Atromitos,0,2,0.0
2017-2018,9,2017-10-29,Panetolikos,Apollon Smyrnis,1,1,0.5
2017-2018,9,2017-10-29,PAS Lamia,Platanias,2,0,1.0
2017-2018,9,2017-10-29,Panionios,AEK Athens,0,1,0.0
2017-2018,9,2017-10-30,PAOK,Asteras Tripoli,2,0,1.0
2017-2018,10,2017-11-04,Panetolikos,Xanthi,1,3,0.0
2017-2018,10,2017-11-04,Atromitos,Panionios,0,0,0.5
2017-2018,10,2017-11-04,Asteras Tripoli,Panathinaikos,1,0,1.0
2017-2018,10,2017-11-05,Olympiacos,Platanias,5,1,1.0
2017-2018,10,2017-11-05,Kerkyra,Larissa,1,1,0.5
2017-2018,10,2017-11-05,Apollon Smyrnis,PAS Giannina,4,3,1.0
2017-2018,10,2017-11-05,AEK Athens,PAOK,1,0,1.0
2017-2018,10,2017-11-06,Levadiakos,PAS Lamia,0,0,0.5
2017-2018,11,2017-11-18,PAS Lamia,Kerkyra,1,1,0.5
2017-2018,11,2017-11-18,Larissa,Apollon Smyrnis,1,0,1.0
2017-2018,11,2017-11-18,Olympiacos,Levadiakos,2,1,1.0
2017-2018,11,2017-11-19,Xanthi,Panionios,2,0,1.0
2017-2018,11,2017-11-19,Platanias,Asteras Tripoli,0,3,0.0
2017-2018,11,2017-11-19,PAS Giannina,Panetolikos,1,1,0.5
