Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,1,2019-08-16,Denizlispor,Galatasaray,2,0,1.0
2019-2020,1,2019-08-17,Gençlerbirliği,Rizespor,0,1,0.0
2019-2020,1,2019-08-17,Kayserispor,Alanyaspor,0,1,0.0
2019-2020,1,2019-08-17,Sivasspor,Beşiktaş,3,0,1.0
2019-2020,1,2019-08-18,Konyaspor,Ankaragücü,0,0,0.5
2019-2020,1,2019-08-18,Göztepe,Antalyaspor,0,1,0.0
2019-2020,1,2019-08-18,Yeni Mal'spor,Başakşehir,3,0,1.0
2019-2020,1,2019-08-18,Kasımpaşa,Trabzonspor,1,1,0.5
2019-2020,1,2019-08-19,Fenerbahçe,Gaziantep FK,5,0,1.0
2019-2020,2,2019-08-23,Beşiktaş,Göztepe,3,0,1.0
2019-2020,2,2019-08-24,Ankaragücü,Kayserispor,1,1,0.5
2019-2020,2,2019-08-24,Alanyaspor,Kasımpaşa,4,1,1.0
2019-2020,2,2019-08-24,Başakşehir,Fenerbahçe,1,2,0.0
2019-2020,2,2019-08-25,Rizespor,Sivasspor,2,1,1.0
2019-2020,2,2019-08-25,Trabzonspor,Yeni Mal'spor,2,1,1.0
2019-2020,2,2019-08-25,Antalyaspor,Denizlispor,0,2,0.0
2019-2020,2,2019-08-25,Galatasaray,Konyaspor,1,1,0.5
2019-2020,2,2019-08-26,Gaziantep FK,Gençlerbirliği,4,1,1.0
2019-2020,3,2019-08-30,Kayserispor,Galatasaray,2,3,0.0
2019-2020,3,2019-08-30,Kasımpaşa,Ankaragücü,0,1,0.0
2019-2020,3,2019-08-31,Konyaspor,Antalyaspor,2,2,0.5
2019-2020,3,2019-08-31,Göztepe,Denizlispor,0,0,0.5
2019-2020,3,2019-08-31,Beşiktaş,Rizespor,1,1,0.5
2019-2020,3,2019-09-01,Gençlerbirliği,Başakşehir,1,2,0.0
2019-2020,3,2019-09-01,Sivasspor,Gaziantep FK,1,1,0.5
2019-2020,3,2019-09-01,Yeni Mal'spor,Alanyaspor,2,3,0.0
2019-2020,3,2019-09-01,Fenerbahçe,Trabzonspor,1,1,0.5
2019-2020,4,2019-09-13,Galatasaray,Kasımpaşa,1,0,1.0
2019-2020,4,2019-09-14,Başakşehir,Sivasspor,1,1,0.5
2019-2020,4,2019-09-14,Gaziantep FK,Beşiktaş,3,2,1.0
2019-2020,4,2019-09-14,Antalyaspor,Kayserispor,2,2,0.5
2019-2020,4,2019-09-15,Ankaragücü,Yeni Mal'spor,0,4,0.0
2019-2020,4,2019-09-15,Rizespor,Göztepe,0,0,0.5
2019-2020,4,2019-09-15,Trabzonspor,Gençlerbirliği,2,2,0.5
2019-2020,4,2019-09-15,Denizlispor,Konyaspor,0,1,0.0
2019-2020,4,2019-09-16,Alanyaspor,Fenerbahçe,3,1,1.0
2019-2020,5,2019-09-20,Göztepe,Konyaspor,1,0,1.0
2019-2020,5,2019-09-21,Kasımpaşa,Antalyaspor,3,0,1.0
2019-2020,5,2019-09-21,Kayserispor,Denizlispor,1,1,0.5
2019-2020,5,2019-09-21,Fenerbahçe,Ankaragücü,2,1,1.0
2019-2020,5,2019-09-22,Rizespor,Gaziantep FK,1,2,0.0
2019-2020,5,2019-09-22,Gençlerbirliği,Alanyaspor,1,1,0.5
2019-2020,5,2019-09-22,Yeni Mal'spor,Galatasaray,1,1,0.5
2019-2020,5,2019-09-23,Beşiktaş,Başakşehir,1,1,0.5
2019-2020,5,2019-09-23,Sivasspor,Trabzonspor,2,1,1.0
2019-2020,6,2019-09-27,Başakşehir,Rizespor,5,0,1.0
2019-2020,6,2019-09-28,Denizlispor,Kasımpaşa,0,1,0.0
2019-2020,6,2019-09-28,Alanyaspor,Sivasspor,1,1,0.5
2019-2020,6,2019-09-28,Galatasaray,Fenerbahçe,0,0,0.5
2019-2020,6,2019-09-29,Konyaspor,Kayserispor,2,1,1.0
2019-2020,6,2019-09-29,Ankaragücü,Gençlerbirliği,2,1,1.0
2019-2020,6,2019-09-29,Antalyaspor,Yeni Mal'spor,3,0,1.0
2019-2020,6,2019-09-29,Trabzonspor,Beşiktaş,4,1,1.0
2019-2020,6,2019-09-30,Gaziantep FK,Göztepe,1,1,0.5
2019-2020,7,2019-10-04,Yeni Mal'spor,Denizlispor,5,1,1.0
2019-2020,7,2019-10-04,Fenerbahçe,Antalyaspor,0,1,0.0
2019-2020,7,2019-10-05,Kasımpaşa,Konyaspor,1,4,0.0
2019-2020,7,2019-10-05,Göztepe,Kayserispor,4,0,1.0
2019-2020,7,2019-10-05,Gençlerbirliği,Galatasaray,0,0,0.5
2019-2020,7,2019-10-06,Sivasspor,Ankaragücü,3,1,1.0
2019-2020,7,2019-10-06,Beşiktaş,Alanyaspor,2,0,1.0
2019-2020,7,2019-10-06,Gaziantep FK,Başakşehir,1,2,0.0
2019-2020,7,2019-10-06,Rizespor,Trabzonspor,1,2,0.0
2019-2020,8,2019-10-18,Galatasaray,Sivasspor,3,2,1.0
2019-2020,8,2019-10-19,Antalyaspor,Gençlerbirliği,0,6,0.0
2019-2020,8,2019-10-19,Başakşehir,Göztepe,2,1,1.0
2019-2020,8,2019-10-19,Trabzonspor,Gaziantep FK,4,1,1.0
2019-2020,8,2019-10-19,Ankaragücü,Beşiktaş,0,0,0.5
2019-2020,8,2019-10-20,Kayserispor,Kasımpaşa,1,1,0.5
2019-2020,8,2019-10-20,Alanyaspor,Rizespor,5,2,1.0
2019-2020,8,2019-10-20,Denizlispor,Fenerbahçe,1,2,0.0
2019-2020,8,2019-10-21,Konyaspor,Yeni Mal'spor,0,2,0.0
2019-2020,9,2019-10-25,Rizespor,Ankaragücü,2,0,1.0
2019-2020,9,2019-10-26,Sivasspor,Antalyaspor,2,1,1.0
2019-2020,9,2019-10-26,Gaziantep FK,Alanyaspor,1,1,0.5
2019-2020,9,2019-10-26,Fenerbahçe,Konyaspor,5,1,1.0
2019-2020,9,2019-10-27,Yeni Mal'spor,Kayserispor,4,0,1.0
2019-2020,9,2019-10-27,Gençlerbirliği,Denizlispor,0,2,0.0
2019-2020,9,2019-10-27,Göztepe,Kasımpaşa,1,4,0.0
2019-2020,9,2019-10-27,Beşiktaş,Galatasaray,1,0,1.0
2019-2020,9,2019-10-28,Başakşehir,Trabzonspor,2,2,0.5
2019-2020,10,2019-11-01,Galatasaray,Rizespor,2,0,1.0
2019-2020,10,2019-11-02,Konyaspor,Gençlerbirliği,1,1,0.5
2019-2020,10,2019-11-02,Trabzonspor,Göztepe,0,1,0.0
2019-2020,10,2019-11-02,Alanyaspor,Başakşehir,0,0,0.5
2019-2020,10,2019-11-02,Antalyaspor,Beşiktaş,1,2,0.0
2019-2020,10,2019-11-03,Denizlispor,Sivasspor,0,2,0.0
2019-2020,10,2019-11-03,Kasımpaşa,Yeni Mal'spor,2,2,0.5
2019-2020,10,2019-11-03,Kayserispor,Fenerbahçe,1,0,1.0
2019-2020,10,2019-11-04,Ankaragücü,Gaziantep FK,1,2,0.0
2019-2020,11,2019-11-08,Fenerbahçe,Kasımpaşa,3,2,1.0
2019-2020,11,2019-11-09,Gençlerbirliği,Kayserispor,2,1,1.0
2019-2020,11,2019-11-09,Sivasspor,Konyaspor,2,0,1.0
2019-2020,11,2019-11-09,Rizespor,Antalyaspor,1,0,1.0
2019-2020,11,2019-11-09,Gaziantep FK,Galatasaray,0,2,0.0
2019-2020,11,2019-11-10,Göztepe,Yeni Mal'spor,1,1,0.5
2019-2020,11,2019-11-10,Trabzonspor,Alanyaspor,1,0,1.0
2019-2020,11,2019-11-10,Başakşehir,Ankaragücü,2,1,1.0
2019-2020,11,2019-11-10,Beşiktaş,Denizlispor,1,0,1.0
2019-2020,12,2019-11-22,Galatasaray,Başakşehir,0,1,0.0
2019-2020,12,2019-11-23,Denizlispor,Rizespor,2,0,1.0
2019-2020,12,2019-11-23,Ankaragücü,Trabzonspor,0,3,0.0
2019-2020,12,2019-11-23,Konyaspor,Beşiktaş,0,1,0.0
2019-2020,12,2019-11-24,Kayserispor,Sivasspor,1,4,0.0
2019-2020,12,2019-11-24,Alanyaspor,Göztepe,0,1,0.0
2019-2020,12,2019-11-24,Kasımpaşa,Gençlerbirliği,1,2,0.0
2019-2020,12,2019-11-24,Yeni Mal'spor,Fenerbahçe,0,0,0.5
2019-2020,12,2019-11-25,Antalyaspor,Gaziantep FK,1,1,0.5
2019-2020,13,2019-11-29,Gençlerbirliği,Yeni Mal'spor,3,3,0.5
2019-2020,13,2019-11-30,Sivasspor,Kasımpaşa,2,0,1.0
2019-2020,13,2019-11-30,Rizespor,Konyaspor,3,1,1.0
2019-2020,13,2019-11-30,Alanyaspor,Ankaragücü,5,0,1.0
2019-2020,13,2019-11-30,Göztepe,Fenerbahçe,2,2,0.5
2019-2020,13,2019-12-01,Gaziantep FK,Denizlispor,1,2,0.0
