Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2021-2022,Swiss Super League,1,2021-07-24,Luzern,Young Boys,3,4,0.0
2021-2022,Swiss Super League,1,2021-07-24,Lausanne-Sport,St. Gallen,1,2,0.0
2021-2022,Swiss Super League,1,2021-07-25,Lugano,Zürich,0,2,0.0
2021-2022,Swiss Super League,1,2021-07-25,Grasshopper,Basel,0,2,0.0
2021-2022,Swiss Super League,1,2021-07-25,Sion,Servette FC,1,2,0.0
2021-2022,Swiss Super League,2,2021-07-31,Zürich,Lausanne-Sport,3,1,1.0
2021-2022,Swiss Super League,2,2021-07-31,Young Boys,Grasshopper,0,0,0.5
2021-2022,Swiss Super League,2,2021-08-01,St. Gallen,Luzern,2,2,0.5
2021-2022,Swiss Super League,2,2021-08-01,Basel,Sion,6,1,1.0
2021-2022,Swiss Super League,2,2021-08-01,Servette FC,Lugano,0,2,0.0
2021-2022,Swiss Super League,3,2021-08-07,Sion,Young Boys,1,0,1.0
2021-2022,Swiss Super League,3,2021-08-07,Grasshopper,Lausanne-Sport,3,1,1.0
2021-2022,Swiss Super League,3,2021-08-08,Lugano,St. Gallen,2,1,1.0
2021-2022,Swiss Super League,3,2021-08-08,Basel,Servette FC,5,1,1.0
2021-2022,Swiss Super League,3,2021-08-08,Luzern,Zürich,1,3,0.0
2021-2022,Swiss Super League,4,2021-08-21,Zürich,Grasshopper,2,1,1.0
2021-2022,Swiss Super League,4,2021-08-21,St. Gallen,Sion,1,1,0.5
2021-2022,Swiss Super League,4,2021-08-22,Lausanne-Sport,Basel,2,2,0.5
2021-2022,Swiss Super League,4,2021-08-22,Servette FC,Luzern,4,1,1.0
2021-2022,Swiss Super League,5,2021-08-28,St. Gallen,Zürich,3,3,0.5
2021-2022,Swiss Super League,5,2021-08-28,Sion,Lugano,3,2,1.0
2021-2022,Swiss Super League,5,2021-08-29,Luzern,Lausanne-Sport,1,1,0.5
2021-2022,Swiss Super League,5,2021-08-29,Basel,Young Boys,1,1,0.5
2021-2022,Swiss Super League,5,2021-08-29,Grasshopper,Servette FC,1,1,0.5
