Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2024-2025,1,2024-07-20,Yverdon-Sport,Zürich,0.0,2.0,0.0
2024-2025,1,2024-07-20,Lugano,Grasshopper,2.0,1.0,1.0
2024-2025,1,2024-07-20,FC Winterthur,St. Gallen,1.0,0.0,1.0
2024-2025,1,2024-07-21,Young Boys,Sion,1.0,2.0,0.0
2024-2025,1,2024-07-21,Luzern,Servette FC,1.0,2.0,0.0
2024-2025,1,2024-07-21,Lausanne-Sport,Basel,3.0,2.0,1.0
2024-2025,5,2024-07-24,Servette FC,Young Boys,3.0,1.0,1.0
2024-2025,2,2024-07-27,Sion,Lausanne-Sport,4.0,0.0,1.0
2024-2025,2,2024-07-27,Grasshopper,Luzern,2.0,2.0,0.5
2024-2025,2,2024-07-27,Basel,Lugano,1.0,2.0,0.0
2024-2025,2,2024-07-28,Servette FC,Yverdon-Sport,3.0,2.0,1.0
2024-2025,2,2024-07-28,St. Gallen,Young Boys,4.0,0.0,1.0
2024-2025,2,2024-07-28,Zürich,FC Winterthur,4.0,2.0,1.0
2024-2025,3,2024-08-03,Grasshopper,Basel,0.0,3.0,0.0
2024-2025,3,2024-08-03,Lugano,Servette FC,3.0,1.0,1.0
2024-2025,3,2024-08-03,Luzern,Sion,1.0,0.0,1.0
2024-2025,3,2024-08-04,Lausanne-Sport,St. Gallen,3.0,4.0,0.0
2024-2025,3,2024-08-04,Young Boys,Zürich,2.0,2.0,0.5
2024-2025,3,2024-08-04,FC Winterthur,Yverdon-Sport,0.0,0.0,0.5
2024-2025,4,2024-08-10,Sion,FC Winterthur,2.0,0.0,1.0
2024-2025,4,2024-08-10,Yverdon-Sport,Young Boys,2.0,2.0,0.5
2024-2025,4,2024-08-11,St. Gallen,Grasshopper,1.0,0.0,1.0
2024-2025,4,2024-08-11,Zürich,Lausanne-Sport,2.0,0.0,1.0
2024-2025,4,2024-08-11,Servette FC,Basel,0.0,6.0,0.0
2024-2025,4,2024-08-11,Lugano,Luzern,2.0,3.0,0.0
2024-2025,5,2024-08-24,Luzern,FC Winterthur,3.0,0.0,1.0
2024-2025,5,2024-08-24,Grasshopper,Sion,3.0,1.0,1.0
2024-2025,5,2024-08-25,Basel,Yverdon-Sport,2.0,0.0,1.0
2024-2025,6,2024-08-31,Yverdon-Sport,Grasshopper,2.0,1.0,1.0
2024-2025,6,2024-08-31,Sion,Basel,1.0,1.0,0.5
2024-2025,6,2024-08-31,Young Boys,Lausanne-Sport,1.0,1.0,0.5
