Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,1,2014-07-25,Met Donetsk,Dnipro,0,2,0.0
2014-2015,1,2014-07-26,Mariupol,Volyn Lutsk,1,2,0.0
2014-2015,1,2014-07-26,Chornomorets,Olimpik Donetsk,4,0,1.0
2014-2015,1,2014-07-27,Hoverla,Karpaty Lviv,2,2,0.5
2014-2015,1,2014-07-27,Dynamo Kyiv,Vorskla Poltava,1,0,1.0
2014-2015,1,2014-07-27,Shakhtar,Met Zaporizhya,2,0,1.0
2014-2015,1,2014-07-27,Zorya Luhansk,Metalist Kharkiv,1,2,0.0
2014-2015,2,2014-08-01,Vorskla Poltava,Shakhtar,1,2,0.0
2014-2015,2,2014-08-02,Metalist Kharkiv,Dynamo Kyiv,1,2,0.0
2014-2015,2,2014-08-02,Volyn Lutsk,Dnipro,0,1,0.0
2014-2015,2,2014-08-02,Met Zaporizhya,Hoverla,2,1,1.0
2014-2015,2,2014-08-03,Olimpik Donetsk,Zorya Luhansk,1,0,1.0
2014-2015,2,2014-08-03,Karpaty Lviv,Met Donetsk,0,1,0.0
2014-2015,2,2014-08-04,Mariupol,Chornomorets,3,3,0.5
2014-2015,3,2014-08-08,Hoverla,Vorskla Poltava,0,0,0.5
2014-2015,3,2014-08-09,Met Donetsk,Met Zaporizhya,1,1,0.5
2014-2015,3,2014-08-09,Dynamo Kyiv,Olimpik Donetsk,0,0,0.5
2014-2015,3,2014-08-09,Shakhtar,Metalist Kharkiv,1,0,1.0
2014-2015,3,2014-08-10,Dnipro,Karpaty Lviv,4,0,1.0
2014-2015,3,2014-08-11,Chornomorets,Volyn Lutsk,1,0,1.0
2014-2015,3,2014-08-11,Zorya Luhansk,Mariupol,1,0,1.0
2014-2015,4,2014-08-15,Olimpik Donetsk,Shakhtar,0,5,0.0
2014-2015,4,2014-08-15,Met Zaporizhya,Dnipro,0,1,0.0
2014-2015,4,2014-08-16,Vorskla Poltava,Met Donetsk,2,1,1.0
2014-2015,4,2014-08-16,Chornomorets,Zorya Luhansk,0,0,0.5
2014-2015,4,2014-08-16,Metalist Kharkiv,Hoverla,1,0,1.0
2014-2015,4,2014-08-17,Volyn Lutsk,Karpaty Lviv,0,2,0.0
2014-2015,4,2014-08-17,Mariupol,Dynamo Kyiv,1,4,0.0
2014-2015,5,2014-08-29,Shakhtar,Mariupol,3,0,1.0
2014-2015,5,2014-08-30,Hoverla,Olimpik Donetsk,0,1,0.0
2014-2015,5,2014-08-30,Dynamo Kyiv,Chornomorets,2,0,1.0
2014-2015,5,2014-08-31,Karpaty Lviv,Met Zaporizhya,1,2,0.0
