Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Ukrainian Premier League,1,2019-07-28,Vorskla Poltava,Zorya Luhansk,0.0,1.0,0.0
2019-2020,Ukrainian Premier League,1,2019-07-30,FK Kolos,FC Mariupol,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,1,2019-07-30,Desna Chernihiv,FC Lviv,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,1,2019-07-31,FC Oleksandriya,Shakhtar,1.0,3.0,0.0
2019-2020,Ukrainian Premier League,1,2019-07-31,SK Dnipro-1,Olimpik Donetsk,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,1,2019-07-31,Karpaty Lviv,Dynamo Kyiv,0.0,2.0,0.0
2019-2020,Ukrainian Premier League,2,2019-08-03,FC Mariupol,FC Oleksandriya,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,2,2019-08-03,FC Lviv,Dynamo Kyiv,0.0,3.0,0.0
2019-2020,Ukrainian Premier League,2,2019-08-03,Desna Chernihiv,Vorskla Poltava,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,2,2019-08-04,Olimpik Donetsk,FK Kolos,0.0,1.0,0.0
2019-2020,Ukrainian Premier League,2,2019-08-04,Shakhtar,Karpaty Lviv,3.0,0.0,1.0
2019-2020,Ukrainian Premier League,2,2019-08-04,Zorya Luhansk,SK Dnipro-1,1.0,1.0,0.5
2019-2020,Ukrainian Premier League,3,2019-08-10,Dynamo Kyiv,Shakhtar,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,3,2019-08-10,Vorskla Poltava,FC Lviv,3.0,2.0,1.0
2019-2020,Ukrainian Premier League,3,2019-08-10,FC Oleksandriya,Olimpik Donetsk,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,3,2019-08-11,SK Dnipro-1,Desna Chernihiv,0.0,1.0,0.0
2019-2020,Ukrainian Premier League,3,2019-08-11,FK Kolos,Zorya Luhansk,1.0,3.0,0.0
2019-2020,Ukrainian Premier League,3,2019-08-11,Karpaty Lviv,FC Mariupol,1.0,1.0,0.5
2019-2020,Ukrainian Premier League,4,2019-08-17,Vorskla Poltava,SK Dnipro-1,1.0,1.0,0.5
2019-2020,Ukrainian Premier League,4,2019-08-17,Desna Chernihiv,FK Kolos,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,4,2019-08-18,Olimpik Donetsk,Karpaty Lviv,1.0,3.0,0.0
2019-2020,Ukrainian Premier League,4,2019-08-18,Zorya Luhansk,FC Oleksandriya,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,4,2019-08-18,FC Lviv,Shakhtar,0.0,2.0,0.0
2019-2020,Ukrainian Premier League,5,2019-08-24,FK Kolos,Vorskla Poltava,0.0,3.0,0.0
2019-2020,Ukrainian Premier League,5,2019-08-24,FC Oleksandriya,Desna Chernihiv,0.0,3.0,0.0
