Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014,17,2014-04-06,RoPS,VPS,0,2,0.0
2014,17,2014-04-06,MyPa,FC Honka,4,3,1.0
2014,19,2014-04-06,HJK,FF Jaro,1,0,1.0
2014,1,2014-04-12,TPS,FC Honka,0,1,0.0
2014,1,2014-04-12,RoPS,SJK,1,1,0.5
2014,1,2014-04-12,HJK,KuPS,3,1,1.0
2014,1,2014-04-13,MyPa,Lahti,1,1,0.5
2014,1,2014-04-13,FF Jaro,Inter Turku,0,2,0.0
2014,1,2014-04-13,IFK Mariehamn,VPS,0,3,0.0
2014,2,2014-04-19,Inter Turku,SJK,2,1,1.0
2014,2,2014-04-19,Lahti,HJK,3,1,1.0
2014,2,2014-04-19,IFK Mariehamn,RoPS,2,0,1.0
2014,2,2014-04-19,KuPS,FF Jaro,1,4,0.0
2014,2,2014-04-19,FC Honka,MyPa,1,2,0.0
2014,2,2014-04-19,VPS,TPS,1,0,1.0
2014,3,2014-04-22,HJK,FC Honka,2,2,0.5
2014,3,2014-04-23,TPS,IFK Mariehamn,0,1,0.0
2014,3,2014-04-23,RoPS,Inter Turku,1,0,1.0
2014,3,2014-04-23,MyPa,VPS,1,1,0.5
2014,3,2014-04-23,FF Jaro,Lahti,2,1,1.0
2014,3,2014-04-23,SJK,KuPS,2,0,1.0
2014,4,2014-04-26,HJK,TPS,0,1,0.0
2014,4,2014-04-27,KuPS,Lahti,0,2,0.0
2014,4,2014-04-27,RoPS,MyPa,0,1,0.0
2014,4,2014-04-27,FC Honka,Inter Turku,3,1,1.0
2014,4,2014-04-27,IFK Mariehamn,FF Jaro,1,3,0.0
2014,5,2014-05-03,TPS,RoPS,0,2,0.0
2014,5,2014-05-04,Lahti,SJK,1,1,0.5
2014,5,2014-05-04,Inter Turku,KuPS,1,1,0.5
2014,5,2014-05-04,FC Honka,FF Jaro,1,1,0.5
2014,5,2014-05-04,IFK Mariehamn,MyPa,2,1,1.0
2014,5,2014-05-04,VPS,HJK,0,2,0.0
2014,6,2014-05-08,Lahti,Inter Turku,0,0,0.5
2014,6,2014-05-08,MyPa,TPS,4,1,1.0
2014,6,2014-05-08,HJK,IFK Mariehamn,1,0,1.0
2014,6,2014-05-08,FF Jaro,VPS,1,0,1.0
2014,6,2014-05-08,KuPS,RoPS,1,0,1.0
2014,6,2014-05-08,SJK,FC Honka,0,0,0.5
2014,7,2014-05-12,MyPa,FF Jaro,3,2,1.0
2014,7,2014-05-12,FC Honka,Lahti,1,0,1.0
2014,7,2014-05-12,TPS,SJK,2,0,1.0
2014,7,2014-05-12,IFK Mariehamn,Inter Turku,2,2,0.5
2014,7,2014-05-12,RoPS,HJK,0,1,0.0
2014,7,2014-05-12,VPS,KuPS,1,1,0.5
2014,8,2014-05-16,HJK,MyPa,4,0,1.0
2014,8,2014-05-17,SJK,IFK Mariehamn,3,0,1.0
2014,8,2014-05-17,FF Jaro,TPS,2,0,1.0
2014,8,2014-05-17,Lahti,RoPS,1,0,1.0
2014,8,2014-05-17,KuPS,FC Honka,2,0,1.0
2014,8,2014-05-17,Inter Turku,VPS,0,0,0.5
2014,9,2014-05-23,MyPa,KuPS,2,0,1.0
2014,9,2014-05-23,SJK,FF Jaro,0,1,0.0
2014,9,2014-05-23,Lahti,TPS,2,0,1.0
2014,9,2014-05-23,VPS,RoPS,2,0,1.0
2014,9,2014-05-23,FC Honka,IFK Mariehamn,2,2,0.5
2014,10,2014-05-26,TPS,KuPS,0,3,0.0
2014,10,2014-05-26,VPS,FC Honka,3,0,1.0
