Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2021,Regular season,13,2021-04-24,HJK,FC Honka,4,2,1.0
2021,Regular season,13,2021-04-24,Inter Turku,KuPS,1,0,1.0
2021,Regular season,5,2021-05-02,KuPS,HJK,0,0,0.5
2021,Regular season,5,2021-05-03,AC Oulu,Ilves,0,2,0.0
2021,Regular season,5,2021-05-03,SJK,KTP,1,1,0.5
2021,Regular season,5,2021-05-03,HIFK,Haka,2,0,1.0
2021,Regular season,5,2021-05-03,Lahti,Inter Turku,2,1,1.0
2021,Regular season,5,2021-05-03,FC Honka,IFK Mariehamn,0,2,0.0
2021,Regular season,6,2021-05-07,SJK,HIFK,1,1,0.5
2021,Regular season,6,2021-05-07,KTP,FC Honka,1,3,0.0
2021,Regular season,6,2021-05-09,Inter Turku,Haka,2,1,1.0
2021,Regular season,6,2021-05-09,IFK Mariehamn,AC Oulu,3,1,1.0
2021,Regular season,6,2021-05-11,Lahti,KuPS,2,4,0.0
2021,Regular season,6,2021-05-11,Ilves,HJK,0,3,0.0
2021,Regular season,7,2021-05-14,Haka,KTP,0,3,0.0
2021,Regular season,7,2021-05-14,KuPS,IFK Mariehamn,2,0,1.0
2021,Regular season,7,2021-05-14,FC Honka,Inter Turku,1,2,0.0
2021,Regular season,7,2021-05-15,HIFK,Ilves,1,1,0.5
2021,Regular season,7,2021-05-15,AC Oulu,SJK,0,2,0.0
2021,Regular season,7,2021-05-17,HJK,Lahti,2,0,1.0
2021,Regular season,8,2021-05-22,Inter Turku,KTP,2,1,1.0
2021,Regular season,8,2021-05-22,Lahti,FC Honka,1,0,1.0
2021,Regular season,8,2021-05-22,SJK,HJK,0,2,0.0
2021,Regular season,8,2021-05-22,Ilves,KuPS,3,2,1.0
2021,Regular season,8,2021-05-23,IFK Mariehamn,Haka,0,3,0.0
2021,Regular season,8,2021-05-23,AC Oulu,HIFK,1,2,0.0
2021,Regular season,9,2021-05-28,HJK,AC Oulu,3,1,1.0
2021,Regular season,9,2021-05-28,Ilves,KTP,2,0,1.0
2021,Regular season,9,2021-05-29,FC Honka,SJK,0,1,0.0
2021,Regular season,9,2021-05-29,KuPS,Haka,1,2,0.0
2021,Regular season,9,2021-05-29,HIFK,Inter Turku,1,4,0.0
2021,Regular season,9,2021-05-30,IFK Mariehamn,Lahti,0,3,0.0
2021,Regular season,10,2021-06-10,Inter Turku,IFK Mariehamn,3,0,1.0
2021,Regular season,10,2021-06-10,KTP,HIFK,0,2,0.0
2021,Regular season,10,2021-06-10,Haka,HJK,1,2,0.0
2021,Regular season,10,2021-06-10,SJK,KuPS,0,1,0.0
2021,Regular season,10,2021-06-10,Lahti,Ilves,3,1,1.0
2021,Regular season,10,2021-06-11,AC Oulu,FC Honka,0,2,0.0
2021,Regular season,1,2021-06-14,KuPS,Inter Turku,1,0,1.0
2021,Regular season,1,2021-06-14,SJK,Ilves,1,0,1.0
2021,Regular season,1,2021-06-14,IFK Mariehamn,HJK,0,1,0.0
2021,Regular season,1,2021-06-15,HIFK,FC Honka,1,0,1.0
2021,Regular season,1,2021-06-15,KTP,AC Oulu,1,3,0.0
2021,Regular season,1,2021-06-15,Haka,Lahti,1,1,0.5
2021,Regular season,14,2021-06-18,HJK,Ilves,2,1,1.0
2021,Regular season,2,2021-06-18,Inter Turku,SJK,2,0,1.0
2021,Regular season,15,2021-06-19,KuPS,FC Honka,2,1,1.0
2021,Regular season,11,2021-06-23,Lahti,HIFK,0,0,0.5
2021,Regular season,11,2021-06-23,Ilves,Inter Turku,2,1,1.0
2021,Regular season,11,2021-06-24,AC Oulu,KuPS,0,2,0.0
2021,Regular season,11,2021-06-24,HJK,KTP,2,0,1.0
2021,Regular season,11,2021-06-24,IFK Mariehamn,SJK,0,1,0.0
2021,Regular season,11,2021-06-24,FC Honka,Haka,2,1,1.0
2021,Regular season,12,2021-06-30,Haka,FC Honka,1,1,0.5
2021,Regular season,12,2021-06-30,Inter Turku,Lahti,1,1,0.5
2021,Regular season,12,2021-06-30,SJK,IFK Mariehamn,3,0,1.0
2021,Regular season,12,2021-06-30,KuPS,AC Oulu,2,0,1.0
2021,Regular season,12,2021-06-30,HIFK,HJK,0,1,0.0
2021,Regular season,12,2021-06-30,KTP,Ilves,1,1,0.5
2021,Regular season,13,2021-07-04,Lahti,SJK,2,1,1.0
2021,Regular season,13,2021-07-04,IFK Mariehamn,HIFK,0,0,0.5
2021,Regular season,13,2021-07-05,Ilves,Haka,1,0,1.0
2021,Regular season,13,2021-07-05,AC Oulu,KTP,1,1,0.5
2021,Regular season,14,2021-07-11,FC Honka,AC Oulu,1,0,1.0
2021,Regular season,14,2021-07-11,Haka,KuPS,0,1,0.0
2021,Regular season,14,2021-07-12,KTP,IFK Mariehamn,1,3,0.0
2021,Regular season,14,2021-07-12,HIFK,Lahti,0,1,0.0
2021,Regular season,15,2021-07-16,Ilves,SJK,0,1,0.0
2021,Regular season,15,2021-07-16,Lahti,IFK Mariehamn,1,1,0.5
2021,Regular season,15,2021-07-17,AC Oulu,HJK,2,1,1.0
2021,Regular season,15,2021-07-19,Inter Turku,HIFK,0,1,0.0
2021,Regular season,15,2021-07-19,KTP,Haka,0,0,0.5
2021,Regular season,16,2021-07-23,HIFK,KTP,2,2,0.5
2021,Regular season,16,2021-07-24,SJK,AC Oulu,3,2,1.0
2021,Regular season,16,2021-07-24,HJK,Haka,2,0,1.0
2021,Regular season,16,2021-07-25,IFK Mariehamn,Inter Turku,0,2,0.0
2021,Regular season,16,2021-07-25,KuPS,Ilves,1,0,1.0
2021,Regular season,16,2021-07-25,FC Honka,Lahti,1,1,0.5
2021,Regular season,17,2021-07-30,Ilves,AC Oulu,1,0,1.0
2021,Regular season,17,2021-07-30,Lahti,KTP,3,0,1.0
2021,Regular season,17,2021-07-31,HJK,SJK,0,0,0.5
2021,Regular season,17,2021-08-02,Inter Turku,FC Honka,2,2,0.5
2021,Regular season,18,2021-08-07,AC Oulu,IFK Mariehamn,1,0,1.0
2021,Regular season,18,2021-08-07,KTP,HJK,0,1,0.0
2021,Regular season,18,2021-08-08,Haka,Inter Turku,1,0,1.0
2021,Regular season,18,2021-08-08,FC Honka,Ilves,4,1,1.0
2021,Regular season,18,2021-08-08,KuPS,Lahti,2,2,0.5
2021,Regular season,19,2021-08-13,Lahti,Haka,0,2,0.0
2021,Regular season,19,2021-08-14,AC Oulu,Inter Turku,2,0,1.0
2021,Regular season,19,2021-08-15,HJK,IFK Mariehamn,1,0,1.0
2021,Regular season,19,2021-08-15,KuPS,KTP,4,0,1.0
2021,Regular season,19,2021-08-16,SJK,FC Honka,3,2,1.0
2021,Regular season,20,2021-08-20,Haka,AC Oulu,0,1,0.0
2021,Regular season,20,2021-08-21,Inter Turku,Ilves,2,0,1.0
2021,Regular season,20,2021-08-22,IFK Mariehamn,FC Honka,1,3,0.0
2021,Regular season,20,2021-08-22,HIFK,KuPS,1,5,0.0
2021,Regular season,20,2021-08-23,Lahti,HJK,0,1,0.0
2021,Regular season,21,2021-08-27,SJK,Haka,4,0,1.0
2021,Regular season,21,2021-08-28,FC Honka,HIFK,0,3,0.0
2021,Regular season,21,2021-08-28,AC Oulu,Lahti,1,1,0.5
2021,Regular season,21,2021-08-29,IFK Mariehamn,Ilves,1,0,1.0
2021,Regular season,21,2021-08-29,HJK,KuPS,1,1,0.5
2021,Regular season,21,2021-08-31,KTP,Inter Turku,1,3,0.0
2021,Regular season,17,2021-09-05,IFK Mariehamn,KuPS,0,1,0.0
2021,Regular season,18,2021-09-07,HIFK,SJK,1,0,1.0
2021,Regular season,22,2021-09-11,Ilves,Lahti,1,0,1.0
2021,Regular season,22,2021-09-11,HIFK,AC Oulu,3,1,1.0
2021,Regular season,22,2021-09-11,FC Honka,KTP,3,1,1.0
2021,Regular season,22,2021-09-11,Haka,IFK Mariehamn,1,2,0.0
2021,Regular season,22,2021-09-11,KuPS,SJK,3,0,1.0
2021,Regular season,22,2021-09-11,Inter Turku,HJK,1,3,0.0
2021,Regular season,19,2021-09-14,Ilves,HIFK,1,0,1.0
2021,Regular season,20,2021-09-14,KTP,SJK,0,1,0.0
2021,Regular season,2,2021-09-18,HIFK,IFK Mariehamn,0,3,0.0
2021,Regular season,2,2021-09-18,Lahti,AC Oulu,0,0,0.5
2021,Regular season,2,2021-09-18,KTP,KuPS,1,2,0.0
2021,Regular season,2,2021-09-18,Haka,Ilves,0,1,0.0
2021,Regular season,14,2021-09-18,SJK,Inter Turku,2,2,0.5
2021,Regular season,2,2021-09-19,FC Honka,HJK,0,0,0.5
2021,Regular season,4,2021-09-22,HJK,HIFK,0,2,0.0
2021,Regular season,4,2021-09-22,Inter Turku,AC Oulu,4,0,1.0
2021,Regular season,4,2021-09-22,FC Honka,KuPS,0,1,0.0
2021,Regular season,4,2021-09-22,KTP,Lahti,1,2,0.0
2021,Regular season,4,2021-09-22,Ilves,IFK Mariehamn,2,0,1.0
2021,Regular season,4,2021-09-22,Haka,SJK,4,0,1.0
2021,Regular season,3,2021-09-26,IFK Mariehamn,KTP,4,2,1.0
2021,Regular season,3,2021-09-26,AC Oulu,Haka,0,1,0.0
2021,Regular season,3,2021-09-26,HJK,Inter Turku,0,1,0.0
2021,Regular season,3,2021-09-26,KuPS,HIFK,0,0,0.5
2021,Regular season,3,2021-09-26,SJK,Lahti,4,1,1.0
2021,Regular season,3,2021-09-26,Ilves,FC Honka,0,0,0.5
2021,Regular season,17,2021-09-30,Haka,HIFK,2,0,1.0
2021,Relegation round,1,2021-10-02,FC Honka,IFK Mariehamn,1,1,0.5
2021,Championship round,1,2021-10-02,KuPS,Ilves,2,1,1.0
2021,Relegation round,1,2021-10-03,Lahti,KTP,2,1,1.0
2021,Championship round,1,2021-10-03,Inter Turku,HIFK,2,0,1.0
2021,Relegation round,1,2021-10-03,Haka,AC Oulu,0,0,0.5
2021,Championship round,1,2021-10-03,HJK,SJK,2,3,0.0
2021,Championship round,2,2021-10-16,Ilves,HJK,2,3,0.0
2021,Championship round,2,2021-10-16,Inter Turku,KuPS,2,3,0.0
2021,Championship round,2,2021-10-16,HIFK,SJK,2,2,0.5
2021,Relegation round,2,2021-10-16,AC Oulu,IFK Mariehamn,1,2,0.0
2021,Relegation round,2,2021-10-16,Haka,Lahti,1,1,0.5
2021,Relegation round,2,2021-10-16,KTP,FC Honka,2,0,1.0
2021,Relegation round,3,2021-10-22,Lahti,AC Oulu,0,0,0.5
2021,Championship round,3,2021-10-22,SJK,Ilves,4,2,1.0
2021,Relegation round,3,2021-10-23,FC Honka,Haka,0,2,0.0
2021,Championship round,3,2021-10-23,KuPS,HIFK,0,0,0.5
2021,Relegation round,3,2021-10-23,IFK Mariehamn,KTP,5,1,1.0
2021,Championship round,3,2021-10-24,HJK,Inter Turku,2,1,1.0
2021,Championship round,4,2021-10-27,HJK,HIFK,1,0,1.0
2021,Championship round,4,2021-10-27,Ilves,Inter Turku,0,2,0.0
2021,Championship round,4,2021-10-27,SJK,KuPS,2,2,0.5
2021,Relegation round,4,2021-10-27,IFK Mariehamn,Lahti,0,3,0.0
2021,Relegation round,4,2021-10-27,KTP,Haka,2,4,0.0
2021,Relegation round,4,2021-10-27,FC Honka,AC Oulu,6,1,1.0
2021,Relegation round,5,2021-10-31,AC Oulu,KTP,2,1,1.0
2021,Relegation round,5,2021-10-31,Lahti,FC Honka,2,3,0.0
2021,Relegation round,5,2021-10-31,Haka,IFK Mariehamn,2,0,1.0
2021,Championship round,5,2021-10-31,KuPS,HJK,1,1,0.5
2021,Championship round,5,2021-10-31,Inter Turku,SJK,2,5,0.0
2021,Championship round,5,2021-10-31,HIFK,Ilves,0,3,0.0
2021,Finnish 1/2 Relegation/Promotion Play-off,,2021-11-03,RoPS,AC Oulu,2,1,1.0
2021,Finnish 1/2 Relegation/Promotion Play-off,,2021-11-07,AC Oulu,RoPS,2,0,1.0
